scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D F2 L B D U' B' U2,U L R2 U B U B' U2 F2 L' U2 R U,F2 L' F2 U B2 F R D R F' R2 B2 U',R' F L2 R2 B' R B L2 R2 F',44
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D2 U' F' L' B' D2 F U',L' D2 L' D' F' L2 U R2 B' U' B' U' R2,R2 D' B D R2 U B2 D2 R D2 B2 U',R U' R' F' L' B' U B L F,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D R B' D' L2 D L' F,R F2 L F D' U' L2 U' B' D R' F' U2,B2 D2 B D R' B' R B D' B2 D2 B',B' D' F' U' R U F D B R',43
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,B R B2 D B2 U2 F' D,B' U' R F' R' U2 F' U2 B' F2 D B2 U,R U2 L U L' U B F2 L B' L' F2 R',R' F L2 R2 B' R B L2 R2 F',44
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U R2 U' B L R F2 D2,L U' L2 R2 D L2 R2 U' L' F2 D2 F2,L R2 B' D' F' R2 D' F2 L2 U' F' D2 L' R2,R B' D' F' U' R' U F D B,44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U2 F D2 U' L' F' R2,L D2 B R B' L D2 B2 D2 R2 B2 L2,U F' L' B' U2 B2 L' F' L B' L2 F2 U',B D2 U2 F' L' F D2 U2 B' R,42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U' B2 D2 F' D U' F2,B' L' U R U' F L B2 D L' F' L B',F2 D' L2 D L2 D F' D' F2 U F,R B' R' B' R2 F D B D' B' F' R2 B2,44
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U2 B L D' L2 U2 F L2,B D2 R' D R D2 B',D2 B R' B' R B D' B2 L' D' L B2 D',R B' D' F' U' R' U F D B,38
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D2 R' U' F R2 U' F,L' D' B' F2 D2 R' D2 B F D2 F D2 L D,F' L U2 B' L' U R' U' L R B L' F,U R U' L' R' B2 R2 B R' B' R' B2 L,47
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B2 D R' U2 B2 D U B' U2,D' R2 F' U' F' L2 R' B R B2 U' B' F2,D2 U' B D2 F L2 F' D' B D' B2 D2 U,R B' D' F' U' R' U F D B,45
