scramble,orientation,step_0,step_1,step_2,total_moves
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,U' L B' D2 F' D R' D' L,D L' D2 L F D' R' B' R' F' R2 D' F',L2 B2 L B L D' B' L' B2 L D B' L,35
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,D2 F2 D F2 R B' R' U' R,B D' B' R' F2 D F2 U' B L B' R2 U R',U' L' F2 U2 L' D2 B2 U2 R' D2 L U,35
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D' B F D B2 L U2 R D' L2 F,F U2 B L B D' R' U2 R B L' D' U2 F',D B D B D' B' D' B' D' B,35
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,D2 F L2 U' R2 F2 L' D' R2,D' R2 U F2 L2 U2 L B2 R' D U R2 B2 R B',D' R' B' U' B2 U R B D B2,34
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,D' U2 L F2 D2 B D' R2 D' B2,L' D B F R' D U' R2 D U2 L' F L' R',B' R' U2 B2 R2 F2 D2 L2 F2 R' B,35
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,U R' B F R U2 L D2 U',B U2 F U2 L2 U R U' L2 D B' D' B',L F' D' U L B' L' D U' F,32
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,D F' L2 U2 F U' F R D' R,U2 R' D' B2 F2 L2 B U B' L2 R2 B2 U2 L' D,B D2 F' R' B' R B F D2 B2 D' B D,38
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,D U2 B R' B2 U2 B' F R U',B D2 F D2 L2 B2 D R2 F' L U' F' U' B U2 R2,R U B2 D' U' B' L2 D2 L2 B' D R',38
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,D' U2 B R2 U' R2 D F' R' B2,B2 D U' L D B U' F U2 B2 U' B D' L2 U B2,U' L' F2 D2 U2 R' D' U F R2 F D' U2,39
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,B' U' F' L' D' B L' B2 D U,L' R2 F R D' R' D B' D' L' D B F' L B R,B2 D' B' R' U' B2 U B R D,36
