scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,R D' B R2 D',D2 F' L D2 B D' R2 F U L2 B',F' L B' D L' D' F U' B R' U R,U R D L B R' B' L' U' B',L D2 R' B' L' B L R D2 L2 D' L D,51
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,D2 F' U2 L U' F,F2 D2 F D2 L' D' U2 F U2 L F,F' L B' L' F U' R B R2 U R,L' U F U2 R2 B2 R2 U2 F2 L2 F U' L,U R B' L' R D2 L R' B' R' U',52
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,R D2 B R2 D,F2 D R' B R F' R' U' F' L2 B',U2 L' B' D L2 U' L' U2 L' D' L U,F D2 F' D' L' D' F' L B R D R' B',,41
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,L D B' U2 R2,L F U2 F2 D L' B D' L F,B' U R B U' F2 D F L2 F U R' B,D' L2 R2 U L' R B D2 L' R F2 D',U R B L' R D2 L R' B R' U',51
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,U2 F' R D',R' D2 B' L D U2 R D' B2 F2 R2 B',U' R2 F2 R' B L' B' R F2 R U R,L D2 L R D' F2 R2 B2 U' R,U' L U L2 R2 D' L' D L2 R2,48
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,D B F U2 F2,B2 R2 B' D2 R F' L' U2 L,L2 B2 L' R2 D' R F L2 U2 R B L,D L2 R2 U' R' F U2 L R' F2 D' L,L U' L' D' B2 U B U B' U2 B2 D U,51
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,R D2 U' F2 D2,D' L U B' F' D' B' R F L' D',B' U B' L B R B2 R2 U R B2 L' U',D2 R' F2 L R' U L2 R2 D' U2 L D2,D2 R' U' L' B L U R D B' D,52
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,U2 B F U' F,R2 D' R B' L2 D2 R B' F' L' F2,B U L2 B' L' B2 U B' L' U2 L' B2 U,D2 R' B' L R' U L' R2 D2,R2 D U R U2 B2 U2 R D' U',48
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D B2 R' D2 B',R' B2 D U B' R2 U2 L' D F',U' B R' U L2 F L' U' R B' L U L2,L2 R' D2 L' D' L' D' L R F L F,U R B L' R D2 L R' B R' U',51
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,F2 D' L F2 D',B2 U' R' F' D2 U' B U2 R2 D2 R,U' B U' B U2 L' R' U2 F2 U' R U' L,U' F L B' F U' B2 F L2 B' F U',U R B L' R D2 L R' B R' U',52
