scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,L2 F' U2 L' D B,D2 R B2 U2 B2 R F2,L' D F D' L' B' U2 F' L' F L U' B,B2 R U2 R' B R B' U2 B R' B,D F D' F2 D2 B F R F' R' B' D2 F,50
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,D' B' D' U B D2,D F D F R' D2 R,L R B2 F U B' U B U' B2 F' L' R',D' U' F D2 R D' R' B' D2 F' D B U,,39
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,F' R D2 U B' D2,D2 F' D' F2 D2 F D,B' F2 U2 R2 D R F' R F U' F' U' B F2,U2 L2 D R2 D' L U F2 U' L U2,D F D' F2 D2 B F R F' R' B' D2 F,51
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,B' U2 R2 D B',B2 R' D B D F2 U2 L' D2,B2 D L U' B' U2 B L2 F' L D' B2,F' U2 L D' B2 D L2 U' L' U L2 U2 F,D F D' F2 D2 B F R F' R' B' D2 F,52
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,R F' D F' U2 B,F' D2 L F2 D F' L',D2 U' F R' F2 U R U' R' U F D R' D,D2 L F L' D L F' D F D F' D' L' D,D F D' F2 D2 B F R F' R' B' D2 F,54
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,R B' D F U B,D' F' L D' L D2 L2 D,F2 D2 U R D2 F D2 R F R2 D2 U' F2,F' D2 U B' R' B R B D B2 D U' F L2,D F D' F2 D2 B F R F' R' B' D2 F,54
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,F' U' R B' D2 B2,U' R F R D' U F',F U' B' U' B F' L2 D' U2 B' R' U2 R2 D U2,R2 D' R' U2 R D R' U2 R',D F D' F2 D2 B F R F' R' B' D2 F,50
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,R U F2 R F' L2,L2 B' U' B L2 U2 R2 U2,U2 L' F' L2 B2 L' R D' L R' F L' U,D' L2 U' F R D' R' B' D' B D F' U L2 D,D F D' F2 D2 B F R F' R' B' D2 F,55
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,L2 U L' U' R' D B',D2 F' D2 B R2 U B' R',L' F2 U B U R2 F L' B' D R2 U B L2 F,R' F' L B R2 B' L' F D2 R,D F D' F2 D2 B F R F' R' B' D2 F,53
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,D' U F L F U2,F' L F' D L' F2,L2 B2 D2 R B2 R2 B' D' B2 L2 F R' F2 U R2,F' R2 D2 R' D R2 U' R U R2 D R2 F,,40
D L' D' F2 R B L2 F U2 L' D F2 D' R2 D R2 U L B2 U' F D2 U2,x2,R2 F2 D2 L B',R' F' D' F R U2 R2 U2,D' B2 R B2 D2 F' L D' R2 F' D F R2,F R B R2 F R' B' D2 R2 D2 R D2 F2,,39
L' U' L2 D' B2 D U B2 F D' B R' U2 F2 L D U2 R U2 F U2 F U2,x2,R' B' L B',F2 L F2 D' F D L',L2 D L F2 L B2 D2 F2 U' B2 U' F2 D,B' L' D L' D L D2 B2 U R U' B2 L B,,38
L2 U' L' U2 L D2 R U L2 R' U' F2 L B2 D' R B' F2 L B2 U2 L D R,x2,U2 L D' B' L' R',B U' R2 D F D' B' R,F' U' L' U2 F' L' U' B R' U2 L2 R U F2,D2 F' U2 F L' B' R2 B' R' B2 L D2,D F D' F2 D2 B F R F' R' B' D2 F,53
B' U2 L R D2 R D L2 F' R' D' B U' F U2 D2 B' R' U2 B D R' F2,x2,U F L' D' B' D2,L F2 L2 F2 L,F2 R D2 R' F R2 B D2 U F R2 B' D' L2,D2 F D R B R U R2 U' B' D' F' R D2,D F D' F2 D2 B F R F' R' B' D2 F,52
R2 U2 B2 F' U' F2 B L' F' R F2 L2 F' B D2 F D2 U2 R2 D' R' F U',x2,U2 B R' D' L U,L' D L' U2 B' D' U2 L,R D L D2 R F' R2 D2 F L' F2 D' R',U2 B' U2 F' U B D' B D U' L2 F,,39
D B' R2 U' D2 R' B L2 F' U D B2 F2 R U' L' U L2 R2 D',x2,R F2 U' L2 F' R,F D2 F D2 L F2 L',B D' R' D' F D2 B' L2 D L F' D',U' F2 D' B' D L' B' L' B L B F2 U,D F D' F2 D2 B F R F' R' B' D2 F,51
