scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L U D' F2 U B2 R' U D' B2 U2 F' U F2 D' U' R2 L2 U R' U' L' R' B2 U2,x2,U L' R' D' B' L2,B' D' B2 R' U R' B' D,D' B R2 U L2 R' B D' R' D B' L2 U' B' D,D' F2 D' B' D F2 D' B D2,38
U D2 R' L F' L2 B D L' F D' L2 R2 D2 L2 F' D2 R' F U' B' D2,x2,D2 L U2 B D' F,L D' F2 D L F2 D L F2,U' L' D L U' B D2 B' L2 D U B2 D2 U,,29
F2 U2 R D R' U' D2 L R2 F2 R L D' F D' F2 U B2 F' U D' F R' L,x2,B' U' R B' L' D2,L' R' D' F2 D B2 R U' B2 R,D U' L' B' L2 U' L' R' F2 L U2 L2 R B D',R U L' U' R' U L U',39
R D2 F' B' U2 D F2 R2 F' D' L2 F2 R' D' L U2 D L2 F R' D2 R B,x2,D' B' R B F L2,F' L' B' U F' L' B' F2 U2 B2,U2 B' L2 B2 F D' B' D U B' U' F' L' U2,F L F' R' F L' F' R,38
F U' R' B' L' R D R2 B2 L F' U D L2 B2 R' U' F U F2 B,x2,D' U F2 L B' F' L',B' D' B D' U2 F' D2 L2 B',B' F2 D' R B2 R' D B2 L B2 L' B' F2,F' U2 L B' U2 B U2 B L B' L2 F U2,42
R2 L' U' B2 U F2 D F2 L2 R D2 L' B' U' L' B' L2 B R2 L U' F2 U',x2,L' B L' F',L B R' U2 R2 B U' L2 R' B2,R2 U2 L2 B' L' U' R' D2 L R U' R2 F' D2,D2 B' D F2 D' B D F2 D,37
L' D B R U2 L B L2 R2 B F R2 L B2 U L' U2 D' R2 B' L,x2,D' R2 F L' R2 U,B R U F R' F R' F2 R' B',D2 F' L' B' D B2 R2 B' L F L' D2 L D2,L' U F2 U' L U L' F2 L U',40
U2 L2 B' F U R L D' L2 F2 L2 B2 R2 D' U' F' U' R' D F R2 L2,x2,R2 B2 F2 L U L2,F' U' R B' F' R' F U R',U R2 U' R2 B2 U' L' B' L2 B2 F' D F U B',L2 U2 L' D2 L U2 L' D2 L',39
U F' R' U' R F L U F' U' R L U' D R' L' U' L' R U D,x2,L2 U F R' D' B',L' U2 L U' L B L B2 U',B' R2 B2 R' U' L' D L' D' B U' L2 U2 R' B,F' U2 L B' U2 B U2 B L B' L2 F U2,43
L' B R2 F2 R2 D B' F2 D U' L B D L2 U' R' B' D2 L2 U' B' L' B R,x2,B' L' U L2 D B' R,D2 R2 D R' B2 U' B2 R D,B2 D' R' B' U' B2 L2 D L' D' L' U R B D,L2 U2 L' D2 L U2 L' D2 L',40
R2 D L' D2 B2 U2 F' R2 U2 B R' B2 D' F R' D' B2 U B2 R2 F D L' B' U',x2,U F L2 D R' B',R B2 L' B' U' B' R' D F' D',D' R D B2 U2 L U2 F2 D' B' U L2 D U' B2,U2 F' L U2 B' U2 B L2 F' L F U2 F,44
L2 R' D L2 U D2 L B D2 R F' U2 L D B2 F R' U2 L' F' L2 R' U2,x2,U' B F D' R B',F2 D2 B2 F U B F' D2 B F2,U' B D' B R' B R2 D B2 U2 F2 L F2 U',D' F2 D' B' D F2 D' B D2,39
L2 D2 L' F B D' R F B2 D2 R' B2 U2 L' R U2 L2 U' B2 R U' B2 U2,x2,L2 R U2 B F',D2 R' F2 R' B U' B' R' F' R2 D2,D2 U2 L' B2 D' L D' F' D' F D2 B2 D2 L' U2,D' L' U L D L' U' L,39
D R2 F' L2 F2 U B2 L2 F' B' D' R2 L' U D B2 D' L B F' R F2,x2,D' F' R' B' L',B' D L' F' D' B' L U2 L2 B2,R' U L D F' D' U L B' U2 B R B',F D' F U B' F' L2 B D2 F2 U' F D',41
F2 U' F' U F2 R B D' F2 B' U' D2 F' L' U' D2 B2 U2 L' R B' R B',x2,L' R D' R2 B2 R,F U F' D2 U F2 R D2 B' U' B',U' B U R B2 U2 F2 D2 F D F U2 B R' B',,32
F R2 D' R B' L' R F' B2 R2 L2 D F' R2 B' U B2 F2 U' L F,x2,R2 U B' R B' F,U2 F U' F2 L2 B F L B2,R2 U2 F L2 U' F' D F2 U' R' B D2 B2 R',D2 B' D F2 D' B D F2 D,38
B' R2 B2 U B' U2 F2 D R2 F U2 L R U R' B L D U' R' B F' U B',x2,F2 R2 B D' R B2,B2 U L' F' U' L U' B2 F,B L F2 D' B' R2 B' R' B R2 D B2 F2 L' B',R2 D B2 U' B D B2 U B2 D' B R2 D',43
F L' F2 B L' R D L' F D U' F' L' F R' B F U R' F B2 D2 L2 B2,x2,D F L B' D' F',D2 B R' F R U B' R' F D2,U2 L2 B' F2 U' F' L U L' F' U2 R2 D F' R2,U L' U' R U L U' R',39
F' R D2 R U2 R2 U2 R' B' D2 R D2 B D2 L2 F' B2 D R2 L' D F' L,x2,F' L R2 B' L',L' D' B2 R2 B D U B L2,F' R' D' R' U L' F L D B D' B' U' F D,L' U L D' L' U' L D,37
U' F U B2 L R2 D' B2 R2 L' F R2 D2 F L2 U D F R U2 R' F R,x2,F2 U2 R F U2 R',D' R2 D B' L B D2 R F D2,D' B D' U R F' R F' R U F U2 R D2 B',F2 R D' B2 D R' F2 R D' B2 D R',43
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,B2 F' U' F' L' D R,B2 D' B' U' B2 R2 B D B' U',D R2 D B' D B F D F' U2 L2 D L U2,U2 F' L U2 B' U2 B L2 F' L F U2 F,44
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,B R' U2 F2 R U,D' R2 D' B' F2 L2 D L2 B D2,U' B D' U' L' D L2 D' L' U B D B' U,R' F L F' R F L' F',38
