scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D2 F' U L' U2 B',D2 U B2 D' B L B D2 L2 D U',B2 R D R' D2 L D' L' D2 B2,U R2 U' B2 D B' U' B2 D' B2 U B' R2,40
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,L R2 F U' L2 R F2,F R2 B R B' L2 R F' D2 L2,L' B' U' R2 F2 R2 U B2 L2 B' L,R' F' L2 F R F' L2 F,36
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F L' U' B' L' D2 U2,L2 D2 L2 D2 L' B D' B' L D',L F R' B' U' F U B F' L' R F',R2 B R2 B L2 B' R2 B L2 B2 R2,40
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U2 L' U R' B2 F U',L F L R' D' L2 R' B' U' B R2 F,B2 L' R D' B2 D B2 D' L R',F' U2 F' D F U2 F' D' F2,38
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R' F L R2 U' B D,D' L2 D2 F2 D R' D2 R F2 D',L' R2 D' R D2 L R U' R2 B2 R2 U,L' F' L B2 L' F L B2,37
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,F' R' U2 R' B D,U2 B2 D B2 R' B R U2 L' D',L2 B D2 L' U' R F2 R' U L B' L2,L R B R B' L' B R2 F2 R B' R' F2,41
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' L B L' U B2,B U2 L B' D2 B2 L' U2 B' L',U2 F U2 F' L F' L B L B' L2 F L',B' R' B2 D2 L' D2 L B' D2 B' R B D2,42
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R' D F L2 B' L' U,R2 D2 F R2 F' D' L2 D' R2 D2 F,D2 B' D F' D' B L' D L F D,R D' R' B' R2 U2 B R D R' B' U2 R2 B,43
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D2 R B R B' U' L2,L R F R' B' L2 B D2 L',R2 F' U2 R' D2 L' D L D R U2 F R2,D' R2 D F' R2 U2 L2 B' D B D B' L2 U2,43
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L F2 U L2 B' L' U,B L D2 R F' L' R' B' D2 L' D2,R' F2 L2 F' L' F2 L' F L F L' R,U' L U' L' D' L U2 R U' L' U R' D,43
