scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,D R' U B' D' U2 B2 L' B,L F2 L' U' F' U F',B R' D L' U' L2 D U2 F' D2 R U' B,D' F' D' R B2 D2 F2 L U F U' R' U2 F2,,43
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R' U R' U L2 F U2,L U F' U' L' D R D',L' B' F' R B U B U' R' B F L,B2 D' L2 D2 U B' D B' U' L2 D2 B2,U R' B2 R U' F2 U R' B2 R U' F2,51
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,D2 R F' L' R' D2 U L,D2 U2 R2 B D2 B' U2 L2,U' L2 B L2 U2 B' L2 B2 L2 B U',U' R2 D U2 B' U B2 U R2 D' F U F2,,40
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,U R2 B' L' R' D2 B F2,L F2 L' D U' R2 D' F U,L2 U' L B' L' D' B' D B U L2,D U B D U' B L2 B' L2 D' B' D',,40
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,D' B R' B2 F U' B' R,D2 B2 R' B2 D2 F L' F',D' B' R2 F' U2 L2 D' L2 U2 F R2 B D,B2 D2 L F U L' U' F' D' L U' L2 D' U,U R' B2 R U' F2 U R' B2 R U' F2,55
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B D2 L2 U' R' D2 U2,D' B2 F2 R' F2 R2 B2 D,L' U R' B2 U2 B2 U' L U' R U',D' R' B2 L2 D' B2 D L2 F U B2 F' R D,,40
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,D F2 R D' B2 D2 B2,B D R' D' U F U' B',U B' U' B R B R' B2 D L D',B2 R D' L' F' D L F L' R F R2 B2,U R' B2 R U' F2 U R' B2 R U' F2,51
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,R U2 L2 B F2 R B2,D' L B' F D B F' R' D,U' B L2 F' D F L2 B D U B' D' B2,U' F' R' F' U R' F D' L F L2 F' D R2 F,F2 U R' B2 R U' F2 U R' B2 R U',56
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,R2 U2 B2 U' B' F2 D R2,L R' D L' U' F U R,B' U' B2 D2 L' U L B D2 B F2 U2 F2,R' F R U R2 F R F2 L' F' L' F L U R,,44
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D R2 F U' L2 B' L R2,L2 D' F D' F' L' D L',U B U' B' U' L B L' B' L' U B,U' R' F' U' R D2 B2 U' B L2 U' L D F2 D F2,,44
