scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B2 D2 R' D F U' L2,D' L F' L2 R B' F L U2,R2 U' F2 D' B F D' B' D L F U R2,L' B' L' B' L' B L B L B,39
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L2 B R U' F2 L2 B,R B2 R B U2 R2 U2 B' R2,U2 F L U' B' D F' D2 B D B U F' U2,L' U B2 F2 D' R D B2 F2 U',40
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,D L D' U' L' F2 L',R' B' R F2 U' F2 U' B2 D2 U,F2 R U2 B' U2 R' U2 R B2 R' U' F' L F',F' D2 B2 D B' D' B' D2 F L B L' B',44
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,D R2 F U R2 B' U R',B' F U2 L' U2 F' D B D' B',U2 L2 F' U F' U' B' U2 B F' U2 R2 B2 R2,B' U B2 F2 D' B D B2 F2 U',42
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,U' B' D L2 D' L,L2 B' L2 D L' B D' L2,L2 D' B' L F2 R' B' F' U F R2 F2 D' B2 D2,L B' L' D' R' U' B U R D,39
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F' U' F2 R2 U2 B',B' F2 L2 U F' L' D2 F' R B',B' D U' R' F2 D F2 D2 U B2 D R D' U B',U B2 F2 D' R' D B2 F2 U' L,41
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,L2 F D U2 F' D',D B U B U2 B D' U B2,L2 B R B2 D' L D' F L2 B F' L2 B' R' B2,L U' L' D' B2 U B U B' U2 B2 D U,43
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,D U2 F U2 F2 L,B2 L' D' U' B' D' L' U L,B' F' L2 D2 F' U' R2 F D2 L2 B D' B' D F,U B2 F2 D' B' D B2 F2 U' B,40
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F D R B2 F2 D2 R B',D' F' R U2 R F D B' R2,R2 D F2 D U2 L' F L' F' U2 R2 B2 D2 U L2,L' U B2 F2 D' R D B2 F2 U',42
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' L2 F' L F2 L',R' F U2 B' L2 U' F L2 R2 F2 R',B' R2 U' L D U2 B D2 F2 U2 L2 D F L' U B,U B2 F2 D' R' D B2 F2 U' L,43
