scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,L2 R' B' U2 R2 U B2 U F2 R,B2 U L2 R U' L2 R' U' B2,B2 U' L' B' L2 U' L' U R' U R U B,L' U' R' U L U' R U,40
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D2 L2 B' D L F2 L B2 L D',D2 R2 U' R B2 R' B2 R' D2 U,U2 L' B L B2 F' L2 B2 D L' D' L' B F,,34
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,L2 U2 F2 L2 D B' D' L' D L',D F D' F' R' F' R F,U' L' B' U2 B D' B D B' U2 B L U,R' D F2 D' R D R' F2 R D',41
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,R2 B2 L2 D2 U' B D U2 R B',D2 U' B D B2 D' B U R D2,B' L B R B' L' R2 F' U2 F R U' B U,L2 U B2 D' B U B2 D B2 U' B L2 U',47
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R' D R D2 R2 B L2 B2,D2 B U F R F' U' R' B' D2,D' U2 B U2 B D' R2 U' R2 D2 F' L2 F U2,R' D F2 D' R D R' F2 R D',42
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,L R2 B' U2 R2 B2 U' R U',U L2 F2 L2 D2 U' R' D' R' D',D2 U2 L F' D R2 D' R2 F' R2 F2 L' D2 U2,U' R' U L' U' R U L,41
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,U F' D R' U B' R F R B',D2 R B R F' U' F R' B' D2,L2 D' F' D F2 L' B2 U' F U B2 R' F2 L',L' U' R' U L U' R U,42
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,D' L2 B2 U F L2 R' U' B R',U' L2 F' U' F U L2 U,U2 B' U F' L2 F D' B2 D F' L B' L B F,F2 R D' B2 D R' F2 R D' B2 D R',45
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F D2 U2 R B2 U R2 U2 R',B' L' R2 B2 L R2 B,B U L' B2 L F2 R' F2 U F U F R B' F2,R D' B2 D R' F2 R D' B2 D R' F2,43
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,D' U' B R U R F L B F2,D2 R2 B2 R B2 D U B D U',D' B2 L2 D L D' L B U' B U2 B U' B' D,L2 F' D2 B D' F' D2 B' D2 F D' L2 F,48
