scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,U2 L2 F2 L' R' B2 U' B,F2 U L2 U F' D R D F U2 F2 D',U L F R' U R U' F' L' B2 U' B2,B2 L U' L' B' R' F' U F R B',43
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L2 R F' L' B2 U B' L2 R U,R U2 B2 L2 F' L2 U R2 F' R2 F R' B',U R U R2 F2 L D L' F2 R U2,R' U' R D U B2 U2 B' U B U B2 D',47
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,F R U L D' F2 R B' F,U' B2 U2 B U B2 F' R' B' U' R B F U2,R' B U2 R2 F R F2 U' F U R2 B',U B U' B' F' L2 B2 L B' L' B' L2 F,48
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B L F2 R D F2 D B' U,F L' B U2 F2 D F2 U2 B2 D2 L B F',R' B2 U B U2 B2 R B R' B U2 B R,L' D' U B U B' D U' L U',45
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,R D2 B F D L' B2 L' B',B2 D2 R2 U' B U' F' R2 F' D2 B D F2,R B R2 F' U2 F U' R U B U' B2,U B U' B' F' L2 B2 L B' L' B' L2 F,47
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,F D2 U' B2 D R F L,D2 R2 U' B' L B2 U B U2 L' U R2 D,D' R' F R' F R D R' D' F2 R D,F R' B F' U2 B' F R' F',42
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,L2 U2 L' D' B' D U2 F',F U' B2 R' D B2 D2 R D U R F',B R2 U' F' U F2 R' F' R2 U2 B' R,U B' U' B' U' B' U B U B,42
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,R B L F' U F' U' L2 F',D2 B2 F2 D2 B U' F2 U L2 D' F' L2 B2,B U B U B' R2 F R2 F' U2 R2 B' R2,F2 L2 B F D F' D' B' L2 F L F L',48
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,B' D2 B U' L' D' F R' B' D',L2 F' D2 U2 B L D' B L' D' B' U2 L2 F,F2 D2 B' D' L' D' F2 U' R U' R' U2 B,,37
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,R2 U R2 F' D2 F2 L2 U R,D' U2 L2 U' F L' F' R' D2 B R D' F2 U',L2 B' F2 D2 B D R D' R' D2 F2 L2,L' D' U B U B' D U' L U',45
