scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,L' U2 F' R' D',D L' D B D F2 R F2 R2 D R2,D B2 L2 B' R B2 L B' L B' R' B' D',R2 B F' U2 B' F,35
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,L2 U' L' R B,B' R D2 B' F' D B R F R2 D' B L,L2 D' U' F U' R2 D B D' B2 R2 U2 F' D,L B F' D R2 D' B' F L D2 L2,43
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L D' R B' U2 B2,L2 D' B' F2 R2 B2 F R2 B' D2 R' F D',D U B2 F R' D' R' D R2 U2 F' U B2 D',B F' U2 B' F R2,39
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L' F2 L2 U' B,L' B2 D B' D2 U' B2 D' B U L2,B2 R' F' R' F' U F' U' R F2 R' F' R2 B2,L B' F U' R2 U B F' L' U2,40
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B' U2 L B F,D' L D' B2 L2 R B L2 D L2 D R',D' B2 F' U' F U B2 F L' U L D U',U2 L B' F U' R2 U B F' L',40
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F D' F' D2 R,B2 L2 D L F' D2 F D' L D2 B2,U' F L' U R U' R' U2 F' R' F L R U,B2 U L' B U' L B2 F2 R' D B' R D' F2,44
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L' U' L2 B R2,L' U' L B' F2 U R' B2 U' B' F2 U,F' D2 F' D2 F' L' F L F L D2 L2 F2 L,D' B F' R U2 R' B' F D R2,41
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R2 U R B,R' U2 B2 D' F U R2 B F' D U R,D2 F' D' F L2 D U F' D F U' B D B',L2 D2 L' B F' D R2 D' B' F L',41
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,L B' R2 D' U',F D' U F2 R B2 U B' F2 D L F' D',B2 U' R2 B R2 D B D' R2 B2 R2 B U B2,L B F' D R2 D' B' F L D2 L2,43
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,F2 D' B2 D' R,L2 F L U F R2 B2 U2 F2 D2 L,L' F2 L B2 F R' F R' B' R' D2 R B' L,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,44
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U2 B2 L U' F,F2 R2 B2 D U2 L' D U2 R' B2 L U2,D2 U' F' U F' U' F' U F2 D2,R2 D' B F' R U2 R' B' F D,37
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,F L R' D F2,L B2 F' L2 R D' L2 B2 R2 F' R F2,D U2 F' L' B L' B2 L' F L2 B L D',B F' U2 B' F R2,36
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,L2 D' R' B' U R',B' R2 D' B R U F2 U R F U2,D' R' U' L' U L U2 F' R U' R' U' R D,B2 U L' B U' L B2 F2 R' D B' R D' F2,45
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,B2 F' L' U',D2 L' F2 L' U2 B2 U2 L F' U F',F2 L2 F U' L2 U L2 F U L2 D F2 D' L2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,43
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,L R U R' B,D2 R2 U F2 U2 F L F2 U R2 D L',F2 L2 B D F2 D2 B R2 B' L2 B' U F U2,,31
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U R F D F',L2 D' R D F' R' D R B' F R' D,B F L' F' L D2 B2 L F L' B F' L',L2 D2 L' B F' D R2 D' B' F L',41
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,R F2 U' B F,L U2 F2 L2 R B D2 B' R2 U' F' U' L,L F' R' F' R B2 D2 R2 B2 F' L2 F' L U2,F2 R B' F D B2 L2 B2 D' B F' R' F2 U2,46
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,R B' U2 L2 F,U R' F' L' U' R F U' R2 F' L U',B2 D' U2 F L2 B L' F' L B' L2 D U2 B2,L B' F U' R2 U B F' L' U2,41
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,U' L' F2 U B F,D2 B' L D' B' D' B F2 U' F2 L' B',U B' R D' F2 D F R' B2 R F' R' B' U',R2 B F' U2 B' F,38
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R' D F R',B2 F' R F2 D2 B U2 F2 D' U F R2 B,D U2 F' L' B L2 F L B' L' D L D' L2 D',,32
