scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F L D2 R2 U D' L' F B R' F' D' R' L' U R' D L2 B F2 R2 L' F',x2,D2 U2 L' R2 D,B' F2 R U2 L2 U2 F2 R B R D2 F' R2,F L' F2 U L' R B' U2 R B' L2 R2,F' L' R U2 L R' F',L D L' D2 L2 D U B D' B' U' L2 D,50
F2 D L2 D U' B2 U2 R' F' R2 F' U2 R B L U L2 R U R2 B',x2,F2 D U2 B D',F2 U2 R2 D' R' B2 R2 D R2 F2 U2 B2 F2,U2 R U L R' F' L' U2,U F' L' B2 D' R' D B2 U' L F' L' U2 L,,40
R' U2 R D L R D F' L2 R B2 F2 L' B R L2 F' L R U' L',x2,U' B' U B2 R',L2 B D B' R D' L2 F D2 F2 R',L' F' U' L' U2 L F U L F2,L2 D2 L' D' L D2 R' D R' B' L2 R2,F L R' D2 L' R F,45
U2 D' L' F B L' F' L' B' U2 R D' B F L' B L' R2 U2 F,x2,L' U2 B R2 U' L',L' B2 U F' U2 B2 R2 F2 R' F' L,D' L2 B' U2 L2 D2 B' D2 B F' D',L2 U R U' B2 L2 U2 R' F R' F' R U2,D R' B2 U2 F2 L' U2 B2 D,50
L' F2 D L B' F' L' U' R2 U F U2 L' F' L' R' B F2 D' R2 B2 U' B' L,x2,B' L R2 B' U' B',R2 U' L' D R' B' D U F' R' B2,R D' L D' B' D2 R2 D' L' D R,L D L' F L' F' L2 D2 R' B' R D L',L D L' D2 L2 D U B D' B' U' L2 D,54
R2 F2 R' B2 F' L2 D' U' B' R D2 U2 R B U L2 U B2 L2 U2 D B' R2,x2,B D' L D2 R F' L,R D2 F R' D' B2 F2 R' B2 R B2 F2,R' F2 L2 R2 B' L R' U' L,B2 D2 B2 L F L' B2 F' D2 B2 L' U' L U,D' F' D' F D U' R' D R U,52
L F2 L B D2 L2 D2 B' L2 R' F2 R L2 U L D2 R2 L2 U B L' U B,x2,F' U L B U' L,D' R' B2 F2 L' U2 L2 D B L' B,B2 D2 L' U' L' R B L2 R' D2 B2,B2 D2 B2 L F L' B2 F' D2 B2 L' U' L U,R' B' F D' L2 F2 L2 D B F' R D2 F2 D2,56
B2 F U' B2 F' L2 B U L' U R U2 L' R2 D' B U2 F2 L B2 R' F2 D,x2,U' B F R' F',R2 D2 U R2 F L B L2 F U2 L F' U',R' F' L2 D2 L2 F' R2 U2 R',F2 R2 D B2 R B D' B' R F2 L U L',F' L R' D2 L' R F',47
U' R' D2 R B' L D2 R2 L' B' U L2 U2 R' L2 B2 U R2 U R2 L' D' B D2,x2,D2 L' F R U,B U2 F2 L2 U2 L U2 L' B' R D2 R2,L' U R U L2 R2 D' L2 R U' L,L2 D' R' U R2 D B R B' R2 U' L2 R,F D2 F' D' U L D2 L' D U',51
L B2 D2 L U D2 L' D2 L2 D B2 U' F D2 R F' B U' D R2 D L B',x2,B D2 L B' D' F2,D L2 U' B2 L2 R D R2 F2 D R2,L2 U' B' U B L2 U F U' F',L2 B L2 B' U L2 F' L2 F U2 B' U B,,40
