scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,B D R2 U,F2 U F R D2 U' L2 B' U R' D2 F,B' R D' B' D B R' B,R2 D R B' R' D' B' L B L' R B R,37
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,L2 B F,L' F2 D' U2 L2 F' D F2 U' L2 F2,B L2 U' F2 U L2 B2 R2 D B,L2 D' U' L2 U' B' U B L U L D U L2,38
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' L U,B' D2 L2 B D R2 D2 F' R' B' R' D2,U2 F' D U B' D' U' F U2,R U L' U' R' B2 F2 D R D' B2 F2,36
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F2 D2 U' F,L B2 F' L B2 U' L2 U2 R' U' F U,R U2 B D2 B' U2 R' B D2 B',B R' D2 B' D2 B R F D F' D B R2 B2,40
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L2 R B' F,F' L' F' R U2 L2 F2 U L U2 R',B R2 B R' B' R D2 R D2 R B',L B' R2 F2 D' F2 U R2 B L2 B U' B' L,40
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R U2 L' B U,L2 U' L2 D2 U L' U2 B' L B' D2,U' F' D2 F U2 B L2 B2 L2 B' U',B F' D2 U' L' B L2 B' L U L2 B' F L2,41
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,D' L B2 F2 D',L U' L' R' F' L2 F2 U' L2 F' L' R,R' B2 F2 U2 L U2 F2 R B2,U2 L D L2 D' L2 D2 L D B D B' U2,39
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,L B' U2 F2,R2 U F L' R D' U' B' D R' U2 R2,B' R2 D R2 B2 R2 D' R2 B',R2 B' L R2 B R2 B R B L' D2 R' D2 B,39
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D' R2 D' R,R2 B2 R' D' L2 B2 R F R2 F L,D R B2 R' B' U' B2 U B D',R2 U' R' D2 B U R B R' B' D2 U' R U R2,40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D2 U2 F2 R2,B U' R2 F R2 F' L' F' R' F2 D2,F2 U B2 R2 F' L2 F' D B2 L2,R D' B D R' U2 B F' D' F' D' B' F2 L2 U2,40
