scramble,orientation,step_0,step_1,step_2,step_3,step_4,step_5,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B' R F' L' D L2,F U' B' U R2 U2 B F',U' B F U2 B' R F2 U F,U R D' F' D F U F' U2,R D' U F U F D U' R' U' R2,F R F R' F2 R2 B F U F' U' B' R2,56
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L' D L B D,B2 R' U' B2 U2 B2 U' B2,U' R' U' R U R2 F' U F,U F U' R B' R2 B U F' R' U' R,D' U2 L F' D F' D' F2 L2 U L D U,,47
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,U2 B D B F,R D U B2 D',U2 F U' B' R2 B R' U2 R2 F',U F' R' F' R F' D R D' F2 U',B2 D2 F' D F' R2 F R' F' R2 F2 D B2,,44
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L2 R2 B' F,D F D' L2 D' B U2 F2 D,L' R' D B D' R' U' L R2,U2 F U' R F R' F' R2 F' R2 U' R',B' D U' B D L2 D2 B U B' D B2 D' B,,48
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U' R2 B2 L' D,B' L' B L' B' L2 B,L D' F2 D L',U R2 F R' F R U F U' F2 R2 U',R' B' R' B R2 U2 L D' F D L' U2,,41
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,L F R' D' B,B' U L' U L R2 B R U,R F U' R F2 U F R2 U,R2 F U' R' U' R F' R U2 R2 U2 R,D B' D2 F2 R F D' F D2 B2 R' B2 R B,,49
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,L' F' R' D' F,B' R2 F' U F R' U2 B,U2 B F U2 B' U2 R' U2 F',U F2 R D2 U L' F' L F D' U2 R2 D',R2 U' B2 U B2 R U2 R' D' R U2 R D,F R F R' F2 R2 B F U F' U' B' R2,61
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U' L B L,D F U2 F' D U' L' D2,R2 F2 U' F2 U' F2 U2 F2 U,B2 L D F' L2 F D' F' L2 F L' B2,B' R2 B U R B' D2 F2 D2 B U' R',F R F R' F2 R2 B F U F' U' B' R2,58
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F D' B F',D2 F' L' R2 D2 B' U2 L2,R2 U2 F2 R2 F U F R,D R2 U R F R F' R' D' F U',B' F' R' U F U' R F R2 U' R U R B,,45
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R B' D' L D',U' R F U B' F' U2 R' B,F' L' U L R2 F' R2 U' F,F D2 B U' B' U2 B U B' D2 F2 U' F,D' U F U F2 L F R' F L' F' R D U2,F R F R' F2 R2 B F U F' U' B' R2,63
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,F' L2 B2,F' L F2 U F' U2 L' R',U R2 B U B' R' U' R2,F2 D2 B L' U L' U L U' L B' D2 F2,B R D U' B2 D' U R B',,41
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R' B' D F2,U2 F L U' F' U2 L' F',F' U' F R F' U F,R' U R F R' F' R' U' R2,R' U B U2 L2 D F U' F2 D' U2 B' R,F R F R' F2 R2 B F U F' U' B' R2,54
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,F' R' D' L2 B,B2 D' B R' U' R2 D B L',L' R' F' U' F U' L U2 R2,R2 F2 D' U F D R2 U' R' F2 R2,R B' D' R2 D B' D B D2 R D R B,F R F R' F2 R2 B F U F' U' B' R2,60
