scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' U2 L R D2 R D L2 F' R' D' B U' F U2 D2 B' R' U2 B D R' F2,x2,F' L2 F' D' L R' U,F' D R D2 R' F2 D' F R2 F D F',D2 B D' R B2 U R U' R' B D',B' U' B2 U' F U B2 U' F' U2 B,41
L2 U' L' U2 L D2 R U L2 R' U' F2 L B2 D' R B' F2 L B2 U2 L D R,x2,F' U F L B' L' R2,F2 D2 F' R B2 F' L2 U L2 B D' B,D2 B R2 F D2 F' R' B R' B2 D2,U' B' D2 B U B' D2 B,38
L F R2 B' D F2 R' U2 F2 R B2 F' U L F' D B D' L U D' F' L' B,x2,B L2 R B' R' U B',D' F R2 B' D' B D F2 R F2 R' F',F' R2 D R D2 F D F2 R F2,F2 R B R' F2 L R B' R' B L' B',41
D B' R2 U' D2 R' B L2 F' U D B2 F2 R U' L' U L2 R2 D',x2,L D2 R B' L U' F,F2 D2 F R' F R2 D2 R' F R2 F' R,F' R B R' F R B' R',F2 D' B D F2 D' B' D,35
L' U' L2 D' B2 D U B2 F D' B R' U2 F2 L D U2 R U2 F U2 F U2,x2,D2 R' F' L' B D L2 F',D2 R' U2 R' D B' R' B R' D R' U2,B' F' R' F D B' D' B R B R',L U2 L U2 L' U2 B L F' L F L B',44
D' L2 B' D' B' D U' F B' D B' R' B' D2 R' F' L2 R' U R',x2,B2 D R' B,D' R' F2 U2 B F' U2 L2 R B L2 B2,U' B' D R D' R' B U,D' F U' B L2 D2 B U F' D R2 B2 D2,37
R2 U2 B2 F' U' F2 B L' F' R F2 L2 F' B D2 F D2 U2 R2 D' R' F U',x2,F L R D' B' F' U',D F' R B R' B2 F' D' B F2,B' D' F D' L D L' D B F',F2 R B' R' F2 R B2 L B' R' B L' B',40
L R' B F D2 R2 U' L' F U L2 U L B D' L' R2 B U2 F B L2 R',x2,L U' R2 U2 B D F',D' R D' R' D B' F2 D' B F2,U' L2 B' R D R' D' B L2 U,B' R B L2 B' F' R' B' R F R' B2 L2,40
F' B2 L2 D2 U R U2 R B' F' D2 L U2 B' F2 R' B' D R2 F2 R2 D2 R',x2,U' B L' R' U2 F' D' B',U2 L' B F R U F' U' B2 L' U L2,L2 B' R' F' R2 F R' B L2,U' B' U2 F2 R2 F D' F' D R2 F2 U' B,42
D L' D' F2 R B L2 F U2 L' D F2 D' R2 D R2 U L B2 U' F D2 U2,x2,R2 U' L' U' F' R' B,U R' D2 R' B D2 F R B' U2 B L2 U,D R D2 R' D2 B F' R' F R' B' R D,B' U' B2 D' B' U' B' U2 F R2 B' F' D B2,47
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,L' U2 L D B' L2 F,L2 F' R2 B R D2 B F R2 U2 R2 B2,F2 U' B' R' D' R' D B U R F2,D' F' U2 L2 F' D B' U' F2 R2 U' B,42
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,F2 R D B F L U F,R U' B R2 B F2 L2 F2 R' D' R U B2,U' F2 U B U' F2 U B',R B' R' F2 L R B R B' L' B R2 F2,42
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,D F U2 R' U' B' L' U',U2 L U B2 U L' D F L R' F' D2,R' F' R B' U' R2 U R' F R' B,U2 F U' F2 L2 D' B' D2 F' R2 F D' L2 F,45
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,D2 L' R2 F L2 F,D2 F2 R F L' B U R' U B' L D' R2,F' R' F' U' R' U R F2,B U2 B D B' U2 B D' B2,36
R2 F2 D' B2 U L' U D' R2 F' R' D2 F2 L D2 U' L R' U B',x2,R B2 R2 D' B' U' B',D R2 B U F' U' F R' B' D' R2 D,R' F' R B' U' R2 U R F R B,U2 L' U L U' L' U L U' L' U L U,43
U' D R' B2 U2 L U2 L D B' F' L2 R' D B2 D' R' U2 D2 F D',x2,L2 U2 F D' L F' R2,D' B2 D2 F' D' B R2 B R' D F D',D R' D2 R F D2 B F2 R' F R2 B' D,R' U L' U' R U L U',40
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,R D L F' R' B2,B2 U L F2 R U' R' B D2 B R F2 D,F' R' F R B2 D B R' B' D' B2,U2 F U B' D B2 U B2 D' R2 B U F' U',44
D2 R2 U2 L' B D2 B' F L' D' B2 R U L2 U' F2 L2 R D2 F L' U B L',x2,L2 B U2 L' U L,F2 R F2 R F' U' F' D' F R2 U F2 R',U' L2 B' D R D' R' B L2 U,B2 D F2 L2 D' R2 U B2 L2 U' R2 B2,41
L R2 D' U F' R' L2 D' F2 U2 B2 U B' D U' L' B U B' U' L' D2 U2 B U,x2,U' B' F L2 U B' L,L B U' L2 B2 R D2 L2 B' R2 U L' U' R,F' R' F L2 F2 U' R' U R F2 L2,D R' B2 R F R' B2 R F' D',42
L' B' R D' U F L' U L2 U' F' B2 D2 L' D' U B2 R2 L2 B L,x2,U' L' R' U' B' L U',F2 R2 F D F' D' R2 F' R F',R2 D2 L B L' D2 B' R' B R',L2 D2 R B' R' D2 R' F' R F L2 U2 F' U2,41
U' R2 L' D F' B' L' U2 R U R L' B U D2 R2 B' F2 R D2 R D' R2 D2 F,x2,U L2 R2 U' F L F2,D' L D U2 B' D' U B2 U L' D2,U2 L' B D B' D' L' D L2 U2,B' R B L2 B2 L B R' B' L' B2 L2,40
L R2 F R B L D B' D' F' L2 D R' U' D B' L F2 U' D B2,x2,L R' B U' R2 B,F' R B' L B' D2 L' D2 B2 F' D' F2,B2 D B2 R2 B2 D' B2 R2,D F D U B' D' B U' B' F' D B D2,39
L2 R2 F2 L U' F' B' L2 U2 F R' F2 U2 B U L R' D U2 F U2 L B2 L2 R,x2,F R F U B2 D F',R' F' D2 R D2 F' R D2 R' F2 R,B' R2 B U F2 U F2 L F' L' U2,U2 F2 L' D2 L F2 U2 F' R' B2 R F,41
U D2 F' R2 D' L U' B F U2 L2 B' F2 L R' D B F' D' R F2 L' F,x2,F U L' U F' R F2,D' B R2 D2 F D' R F' D2 B' D2 R,R' D R' D' F' R' F R2,R' F2 L' R B' R' B L B' F2 R B,39
D' R F2 R F' B U2 L2 R2 F U D B2 R2 F' D' R2 F2 R2 D2 F2 B2 D2 U' R',x2,L' R D2 B' D B' F U',D' B F' D' L2 B L2 F D2 F' D' B' F,R B' D2 R' D R F D F' D B R',U F' R2 F U' L2 U F' R2 F U' L2,45
L' F D B' D' F B' U' D' R2 D2 B' U' D2 F B2 R L' D F2 U2,x2,U F2 D2 L F2 U L,D' U2 R B' D2 U2 L2 F' L' F2 L' D',R2 B' R2 B' D B2 R' B' R' D' B,B2 D' B D B U' B U' L2 U L2 B' U,43
L U B2 L B' L' U' L' U2 B U' L R U2 L' B F D2 U' R U',x2,F2 R2 D B',R' U2 L F R2 D' B L R D' L2 F R2,U' B' R F' R F R2 B U,R' U2 F2 R' B' L F' D2 R2 F' L' B,38
L2 F2 B' L' D L F2 L D' R2 F' B2 R2 B' F R' U' F' L' R2 F' B R2,x2,B F2 L U L2 F2,D2 B2 R2 U F' L' B2 F D F2 L2 F2,B' R D R' D' F' R' B F,L2 B2 R F' R' B R B F L2 B' R' B,40
F R2 L' U2 R2 U' F2 B R2 L B' L2 R B F' R2 L' U R2 B2 F' L',x2,R2 D F R' B2 R2 F2,R2 D' F' D' L R2 B D B' L' D',D F2 U L2 U' B F' D2 B' F' D2,B2 D' B D B U' B U' L2 U L2 B' U,42
D2 R' B2 R U B2 U' B2 U2 F L' F U B R L2 F2 R' L' U' D2 L2 D2 R',x2,R B2 U F' R' U2 F2,L' D' R2 D F2 L B R' B' R U' R U,U R U' R B2 L' D L B2 R2,R2 B U' B2 D B2 U B D' B2 U R2 U',43
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,U2 F L U L R' U2,D' F' R F' D' R' D R D' R F2,L' U2 L B' R2 F R F2 R B,U2 R' B D2 B' R U2 R' B D2 B' R,40
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,D2 U B2 L B' F U',R' B' U' B2 R D' U B' U2 B2 D2 U2,R U2 B L2 B L2 B2 U2 R2 F' R,B' U F2 U' B U F2 U',38
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,U L B2 D' F D2 B',R U2 L B R' B L' D R D2 U2 R',F L2 B2 R2 B2 L2 F U F2 U',D2 L2 F2 R D2 B2 R' F2 L U2 B2 L D2,42
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,R' U B F D' U2 L,R' F D' R' B' D B R2 F D2 F2 R' D,D' R' D' R2 U L' F2 L U' R' D',L2 D R2 D' L2 D R2 D',39
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,D R D U B' L2 R2,B' L B2 F U2 R2 U2 F' U B2 L' B,R' F' R B' R F R' B,U2 L' U L U' L' U L U' L' U L U,40
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,U2 B R D' U2 L U,L' F' U F2 R2 D2 U' R' F D' L B2,L2 B2 R D R' D' F' R' B2 F L2,U2 F U2 B' R2 U F D' F D F U' B,43
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,B2 F D' B R U' L,B' U F2 U' B L2 F' R F L2 D F2,U L2 B2 R2 D B2 L2 F2,U2 F U' F2 L2 D' B' D2 F' R2 F D' L2 F,41
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,F U2 L' R' B' D F' L',B F2 R' F' R2 F2 R F' R' B' R' F2,F2 U F U' R U' R' U F,U' L' U' L U' R' F2 D R2 U' R2 D' R,42
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,R U L' B F' U' F,D' U L2 R D2 F2 D' F2 D L2 R' U',R' U R' U' B' R' B U R2 U',F2 L2 F L F R' F' D2 L2 D2 L' F R,42
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,B U L' D2 L2 B R2,L D2 F2 U' B2 D' B2 D B D2 U F2 L',F' R2 D B' D L2 F L2 D2 R F R' B,R' U2 L' U' R U2 B2 U B2 U' B2 L U,46
