scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D2 R2 F' D L B D2 U',U2 B2 F2 R2 D R' B2 F2 L' U2 L,F' D2 L D2 B' D L2 B L2 D' B F,D2 R' F U2 F' R D2 R' F U2 F' R,43
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,R' U' B2 U2 L' D F2 D' B' D2,R2 U2 R' B' R U2 L R2 B' L' B U,L' R2 U B F' D L' D' B' L F L R2,D2 B' R2 B D' F' U2 B' F' U' B F2 D',48
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D2 U' B U L2 B D U',U2 L' B' D U2 L' U2 L D' B U',F2 R' B' R' B R2 F' R U' R' U' F' U,,32
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B2 L2 F' D' F R2 D B F U',B' D2 R' U2 R D' F2 U F2 D' B,R B U2 F' L U2 L' F U2 B' R U2 R2,F U2 R2 D' F D' F' D2 R2 U' B' U' F',47
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,B' L R' B U' L2 D2 R' F' R',L' R' B2 D2 R F D2 B2 L U2 R,D' R U L U' R' D R2 U' R2 D' L' D,D2 B' R2 B D' F' U2 B' F' U' B F2 D',47
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,F2 U2 R D2 F' R2 D L,F R' B' U B R U' R F2 L' F,D' U2 L U R' F2 R F' L F L2 D,B' L2 B2 L R D L' D' R' B2 L B L,44
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,B2 U2 R D R B' R' D R2 B2,B2 R' U' R U B L2 U' L2 U' B,D L' B' L D' R' U2 R' U' R2 D B' D',B2 L' U L U2 F2 D R D' F2 U B2,46
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B' R' D' L2 F2 L2 B R U' F',L' F U2 B' U2 R' B F' L' U L2,F' D L R' U R B' D' B' R' U' B2 R F,D2 B' R2 B D' F' U2 B' F' U' B F2 D',48
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,R' B2 D R B' R' U' R2 F L' D,B' F2 D2 B2 F2 L D L' D' U2 B' L',R' D B D2 L2 D R D' F' L2 D,L' D' L R F2 U' F U' R U B' R' U R' F,49
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,F2 D B2 U B D' L2 F' R' U B,B' U2 B L U2 B U2 L' U2 B' U2,L2 U B' F R' U B' R' B F' U B L,F' R U' R B U' R' U F' U F2 L' R' D L,50
