scramble,orientation,step_0,step_1,step_2,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B' U2 F2 L U2 L U' B2 D2,R' F2 D2 F2 U2 B' D2 L2 U2 F D2 R',B D2 B L U' L U F L' B2 L2 F' L,34
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,L2 R U B2 D2 R' U',U2 F L' F D' F' L' D2 F' D' L2 F' U2,L' D' U B D2 B' D U' L D2,30
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,B' F' L U2 L' U2 B L D2,L F' L R2 U2 R D B D R F' L' D',F' R2 F' R F' L F R2 F D2 R' F L',35
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,F2 R' F2 L D2 L2 U F L2,U' F U F L F D2 U' B2 F U2 B2 L',D2 B U2 F' R2 F U2 L B2 L' B' U B2 U',36
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L' R U' R2 F' D2 F,L' D' L2 U2 L' B' U F L B F U2 L,L2 U' F' D' L' F L B' L B L' U L',33
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,R' F' L' B2 U B2 F' D2 U',B' R' D' F L' B D' F2 R' U2 F D' B',L B F' D B' D' F U' L D L' U L' D',36
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,U2 L R2 D F D' U R2,B2 D U2 B2 F' L' B' U L2 F L B' D' B2,B' L D2 L2 D2 B2 R' B2 L' B2 R B',34
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R B2 L' U F' D' B2 U2 F',B2 R B' F D' R2 B F' D F' D' U2 B2,R' D B' F2 U B2 U' B L B2 L' F2 D' R,36
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R2 U2 F R F U2 L U' L2,D2 B F L F2 D' B2 L2 B' D' U F' U B2,D' R D B2 U2 L D F' U F' D' U L B2,37
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U2 L' B2 F L2 F' U' B,D U' F2 U F L2 R B' L2 R' F' D' L',R D2 F' R U2 F R B' R D B D2 R D' R' D,37
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,B' U' B2 F' L U F2 R2,U2 F' D' B' L' B F' U L2 B D B' U,D2 R D' R' D2 R D R' B2 F L B2 F' D2,35
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,F2 U' R B2 F R' U2 B' R U2,F' D' L R2 U L B2 D R F' L2 R F',B' F' D' F L F' D2 F D' B D2 L D' L',37
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U2 R2 D B' L R D2 F,B F D F' U' B2 U' L2 U2 R B R2 B2,D F L' F' D' L' B2 F' D F D' B2 D L,35
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,L R2 U' B D2 L U' L2 R2,D U' F2 L2 R2 U2 L' R2 F' L' D U L2,B R' B D' F R2 B2 R2 F' D B' U2 R B',36
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,R B' U2 R D2 F2 L2 F D2,F2 U B' F' L2 F' U R U F2 U2 B D,L B' L B2 D F' R' D' R D' B' D2 F D2,36
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,F2 L U2 F' R B2 F2 U L',U B L2 F L2 R' D R' B D2 U' B2,U2 B2 U' R2 B L B' R2 U B2 D2 L D2 L' U2,36
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,L U L' U R' U2 B2 U',B' L2 F U R U' R B D U' F L' D F2,F2 D' R' D' F2 U' B2 L2 F' D' B2 F' R' D2 F2,37
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,R' U L' F2 L R2 F' U R2,D F2 U' F R U F' D F' D' B' F2 R' D',U2 B2 L2 B2 D F2 R B R U R B' R' F2 U2,38
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U2 F2 U' F' D U B U F,B' D R F2 D B' D L D B U2 L2 U',L D2 L' R D' B F2 D' F2 D B2 L B F2 R',37
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,D F' D2 L2 U F R2 U',R D U R' F2 U F D' U2 R B2 D' R2,B' F' D F D L2 D' F' L' D L D' B D' F,36
