scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,U F2 L B2 R F2,B' U' L2 B U L' U' L',L R' F' L' R' B R2 U2 L2 F L2 U',B' R' F' U' F R B L U L',36
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,L' U B' F D U2,L' D L D2 U L2 D U' L',R2 U2 B U2 B R' F' L F U L' U2 R' F2,U' F' D' U L U L' D U' F,39
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,R2 U R F' U',L' U F L U' L2 F' U' L2,L' D2 F' D' R2 F D2 B L' D L' B' L' B,L' U2 R B L B' L' R' U2 L2 U L' U',41
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,F U F D2 B U,R U' F' D F D2 U B D R',L2 U L B2 R D2 L B U2 B' U' B2 D' U' R',F' D' B' L' B D F U L U',41
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,F D L' D F' U,L D' B2 U2 B' L D L' B',F2 L' B L F2 D' R D U2 R B' U2 R' B',L' U2 R B L B' L' R' U2 L2 U L' U',42
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,L2 U R' D2 U',B U2 L2 U B' U B2 U2 L B,U R' F' U' L U L D2 R B' L' F2 U L' B,F' D' B' U' L U B D F L',40
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,B' L2 F2 R B2 U2,U B' F2 U' F L B F U2,L B2 F' U2 L2 F L2 U2 R F D2 B' D2 L' D2,B' L2 B2 L R D L' D' R' B2 L B L,43
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,D' R' U B F D',L B R D' B R' B U2 L2 B,L2 D L D' R' D B L B2 U B' U R2 U2 B2 R,U' F' D' U L U L' D U' F,42
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,D2 B F R B2 U' F,R2 B2 U' L2 U2 B R2 F2 L' D,L D' L2 B' R2 U2 F R' U F' L' B D U' F U',B' R' F' U' F R B L U L',43
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,F D U B2 L F2,D' B2 U' L' U2 B2 L B' D B',B2 L F U' B' D' F R F' R2 D B L F' L2,L' U2 R B L B' L' R' U2 L2 U L' U',44
D' U' L U2 B' D F' U R' L2 F D' R' U R2 U2 B' F U L' U,x2,L' U' F' R2 D' B2,U' L2 B2 R2 D2 F D R2 B2,R2 D' F2 R2 B2 U' F L2 B' U2 B' L F' L',F' D' B' L' B D F U L U',39
F' B' R' U D2 B2 U F' L' F' B2 L' F' R2 U' L2 R2 F L' U R L F' D',x2,U' R' F2 L' B' D',B2 F R2 F' U B2 L' F2 D F2,F R B R' U' B2 D R2 D' R' U' R U B2 F,F D2 U2 B' U' B D2 U2 F' U,41
D F' U R2 F2 D' B D' F D B D' L' R' U2 B U' D2 F' B D L2 U,x2,U B2 L F' U B',D2 L D F' D2 L2 R F2 R' F',B' L F U F U L F2 L' F' U F' L2 B L,U' F' D' U L U L' D U' F,41
U' R' D2 R2 F' R2 D F' U2 R' D2 B2 F L F' R U D2 R2 F2 U,x2,L' F L2 B D' B,B' D2 F' L' B L R2 F D2,L2 F' R U L2 D' B2 R' U2 R D U2 R B' R2,F2 L2 B F D F' D' B' L2 F L F L',43
R2 U' F2 U' D B L' U F U R' D' R2 L2 F2 B' D F' U F D2 L' U',x2,B' U R F,L2 U L2 U' B' U' L2 B,D F' R' D U R2 U R' D L' R B2 D2 F' D',L' F D2 U2 B' R B D2 U2 F',37
R B2 R2 L' U B' L R U' R' U L U' D' F2 L R' B F R U' B2 F2 U',x2,R2 F L' B2 R2 D,B' U' L2 B' R2 F R2 U' B2 L',D B R B' R' U B2 D' L' D' L R' B U' R,F D2 U2 B' U' B D2 U2 F' U,41
F' B R' D2 F' U' D B' F2 R2 L F2 D2 B U2 R' B' U' R' F2 R' B2,x2,B' R' U B' D' R,F2 D U L2 U' F' L2 D' F2,D B D' U2 L2 D' L' U' L' B D B' U' B' D',F D2 U2 B' U' B D2 U2 F' U,40
U D' F' B L2 B' L2 R2 D F L' U' F2 U' R L F' R2 D R2 F' D B2 R' U,x2,L' U R B' R2 U2 B',B2 U L' U B' U L B L2 B,B L2 F' R' D F R F L2 D' R' D L' B' L,F D2 U2 B' R' B D2 U2 F' L,42
