scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,L2 D U' L' F2 R2 B2 U' F' D,D' B F R B F2 L' F2 R U L R' B2 F2,B2 U R2 U' F' U' R' U2 R F R B2,F2 D' B' U' L U B D F L' F,47
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,F' D' L B2 D2 B D L' U' F',U' R F D' B' D F2 L U2 L' F R' U,L U2 B2 D2 R F2 D2 B2,B2 R' B F' U2 B' F R' B2,40
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,U F R' B' U' F' R F' D R,U' F U2 F' U' F' R F2 L' F' L' R' D F,B' L' B2 F2 R B R' B2 F2 L,F L F L' F2 L2 B F D F' D' B' L2,47
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,D' F' U B2 R' F' D' B D2,F2 D' F2 R' D2 U F2 U' B' D' B R D2 R',U' R2 B' R2 U2 R2 B' R2 U',F2 D' B' U' L U B D F L' F,43
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,B R D2 R2 F2 U2 F' L B' R2,D R U' R' D2 B D B' U' L2 U2 B' L B,U' L' R B R B L R' U' R',F' U' F' D' U L U L' D U' F2,45
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,U' B L' D2 F2 L' R D L B',U F2 D' F' U' L2 B' F' L B2 D2 B2 L2 B,R2 D2 F' U2 L2 U F D U' R' D B' U2,R B U L' R B2 L R' U B' R',48
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B' L D2 U' L' D B D U' F',D' R2 D2 R F D R U2 B' L B U2 F,B2 U R' U' B' D' F' R F D B',F' U' F' D' U L U L' D U' F2,45
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,D2 U2 L B' D' L2 F' R' B,B' F R2 B2 U F2 L2 F' R U R' U' B' F2,L R U L2 B2 L2 U L' R' U2,B F D' B2 L2 B2 D' B' F' D2,43
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,D2 R U' F U F' D' B' R,D' U' B R2 D B2 U' L' F2 R' B F2 U2,D' F2 L B2 U2 F2 R B2 D',F L F L' F2 L2 B F D F' D' B' L2,44
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,L2 B L R2 D U' B D2 L' R',B R D' L D' R' F2 R2 F' L D2 L2 F D B',D2 U' R2 F U2 R2 D2 B L2 U,B F D' B2 L2 B2 D' B' F' D2,45
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,L' R' B L D' F L' R2 F D,L D U F' L U2 L2 U' L2 U F D' L',B U' R' U' B' U' R B U R,F' U' F' D' U L U L' D U' F2,44
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,D2 R' U2 F' L U' L2 F,F U R2 U R B2 L' D' R D2 L U' F',L U L' R B2 L R' U L',F' U' F' D' U L U L' D U' F2,41
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,F' D L' B R' B R' D2 L' F2,B' D' B R B U' R B' R2 D U2 L' B U2,U B D' U R2 D U' B U',,33
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,U2 F R' D R B U' R D R,D L2 U L D2 L2 U R F2 R' B2 D2 U' B2,U' L' R B2 L R' U',F' U' F' D' U L U L' D U' F2,42
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,R D U F2 R' F' R2 B D2 L,D F U' L2 U L2 U' L' D' F' D2 F L U2,D' F2 L' B2 U2 F2 R' B2 D',F' U' F' D' U L U L' D U' F2,44
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,F' D L2 D2 L' U' L' D2 R' U2,F D' B L D2 F L' F' L R F' L' B' F2,B D2 F2 R' F2 D2 B2 L' B,R U2 R D U' B' U2 B D' U R2,44
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,R2 U' R U' L2 F L' D' B' F,B' L' F' R U' R2 B' D2 B2 L' B' R B D,B D' U2 B F' U B' F R' D U2 B',F' U' F D2 U2 B' U B D2 U2,46
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,U' B' D' B R D' R B2 D' L,B' R2 D R2 D2 U L' F L' F D B2 D' B',D B' F' U' B F D2 B2 R' B2 D,R F' U' B' U B F R2 B2 R' B R B R,49
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,R F U' F2 U2 L' B R2 F' U,L' B' U F' D2 L' D L2 D B' L' F U2 L B2,R2 D2 F' U2 L2 U F D U' R' D B' U2,B2 R B F' U2 B' F R B2,47
