scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,U L' D' B' F2,D2 R D2 U B D2 U2 B' D U,U' F' D U R' B R D2 L B D2 L' B' D,D R2 U R2 B U2 F' U B' F2 R2 F' D' U',43
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,R2 U' L' B' F,F L' D B R' B L' B D2 B,R2 D2 L' R D2 B D B' F2 L2 D L' R F',R B D' B2 U' B U2 B' U' B2 D B' U' R',43
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,U2 B U' B' L2,B2 U' F U' L2 B2 R' F2 L,R' F' L2 D' L' D' L' F R U' F U,L2 U R2 U' L2 U R2 U',34
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,R2 B D U,L' B' L2 F D B L2 F' L R',B U' L' D B U B' R' D' L F' U B',D B U F' U2 B' U2 B U' B' F D' U',40
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,D2 L' D' R2 B2,F' U2 F' L2 R2 F2 R F D B',L R D L D L B2 U2 B2 L' D2 L2 R',R U' L2 B2 D' B' D B' L2 F U' F' U R',42
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,U' R' B' D',L D R' F' U' R2 B' F U F2 D2,L B' L2 F' L F' L2 D F' D' B F L' F,R U' R' U' R2 D B U B' D' U' R2 U2,42
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,L2 U B' D',U B' F2 U B2 L' D' U2 F2,D' F2 U2 B D L2 B2 L2 F' R B D' F U2,U2 F' R F R2 D2 L B L' D2 R U2,39
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,U2 L2 D',B2 L' U2 B2 R' D R' D2 L2,D' R' F2 R B' F' U' B' F' R B2 D,D' B R' B U R' B' R D' R D2 B' F' L F,39
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,L2 F' R D',L F' R2 D R' D2 F D2 L',L2 R2 B2 L B R' U2 R' U' L F2 L F L' U,L R U' L' U' F L U2 L' U2 F' U R',41
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,B' F2 U2,R' D' B2 F U L' B2 F R',U F U L' U2 B2 U' R2 F2 R2 F' U' B2 L' F,U2 L2 R B' R2 D' R' D2 B' D' B2 L2 R2 U2,41
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D' B R2,F2 L' B D2 R B' L' B2 R2 B2,F2 R' D' F D' F' D2 L' D' L' F' L2 R F2,F L F L' F2 L' U L2 F L2 F' U' F L,41
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F L2 U' F,D2 R2 D2 B R' B' D2 R2 D2,B' L' U2 L B F' R2 D' R D' F' D2 F' R,L' U2 L U F' L' U2 L U F R' F2 R F2,41
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,B' R' B L,B' L' D R2 B D' B D F' U2,L B D U2 R D' B F2 U2 F L2 B2 F L',R U' R' U' R2 D B U B' D' U' R2 U2,41
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L2 F R,R U' B2 L2 D' R2 B2 D2 R,F' D' L' D F' L F' R' F2 D F2 R F2 L',D U' F R' F2 R U F D' L' F2 L2 F2 L',40
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,B' R' B D',R B2 L' R B2 F2 L',L B U B U' B2 R2 D2 L' F' R F' R,F' L2 D' U L' D L2 D' L2 U' L D L F,38
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,F D2 R' B2 D',L2 R2 D' R' B F2 R' D2 B' L,L' R F' L2 F R2 F2 D B' F2 L' B L2 R,R2 B' L' B' L' U2 F2 L' F L' B' R2 B' D2,43
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F' R B2 L,L' R2 D' F U2 L B' U2 L2,L D2 U' B2 D L2 D' F R U' B2 D2 B U' B',R U' R' U' R2 D B U B' D' U' R2 U2,41
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B2 F L' R2 B',R F' U R' B R F D' U' F2,U2 F L2 R B2 U R D R' U' R B D L2 R2,L2 U' B2 U L' D' R2 D' U' R' D2 U L',43
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,R D2 F U2,L F' U' R' B' L2 D' U2 R' B2 F2,U B' U' B F R' D' F2 R' D B' D2 L D2 R2,U2 F2 L' U' L U F2 U2 B' F' U F U' B,44
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,U' R' D' B R2,U' R F U L D2 B' L' U' B,F2 R2 D2 U B U' R D F2 L F' R U F U',U' L' U2 B' F' U' R' U2 R U2 F U' B L,44
