scramble,orientation,step_0,step_1,step_2,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,U' R F' L' U' R' B' D L' U,U2 L' R2 U F' U' L2 R' D B D' L' U2,L' D' U B2 D U' L',30
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,D' B F2 R B D F2 R2 D2 B,U' F' L2 D' U L U B' U' B' L' D L2,U R' B2 R U' F2 U R' B2 R U' F2,35
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,L2 D' R' B D2 L2 R' U B',U' F D B2 D' F2 R' B2 R B2 R U F R2,R' U2 R B F' U' L2 U B' F,33
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,B R D' L' F2 U2 L D' F',D' U2 L' U R U L2 D R' F' L' F' D R,R2 F R B R' F2 U L2 U' F R B' U2 R,37
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,D' B2 D' F' L2 R' F' U2 B L',R2 F R F' L F2 R2 F' L B U2 B' L2 R,B L2 B' L' D' B2 L2 U' L' U L2 B' D L2,38
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,B D' L F' L U R2 U2 R' B',U R' D' U' B' U' L F2 D L' D' F' U L' D,L2 F D F2 R2 B U B' R2 F D' L2,37
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,D' L F2 R U B' L D B2 F,R2 D' B U' L2 U L2 B' L2 D L F L R2,D2 B U2 F2 R F' R F R2 F2 U' B U' B2 D2,39
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F' D R' B D2 B F2 R F D2,L' R2 D2 R D2 F' L D R' F D' F2 L2 F R2,L D2 L2 D L' U' L D F' D2 L2 D2 F L' U,40
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F' U2 L' U2 B D2 U' F2,F' D U2 F2 L2 F2 L2 D2 U' R2 D L U2 F U B2,U' F R B' R2 B R2 B' D2 R F' R2 B R2 U,39
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,B' U2 F2 R D L U' R U' F,U2 F U F D2 L2 R B' D' U2 B' F2 D' F2 L2 R2,U2 R U F2 D2 L U B' D B D U' L' F2 U,41
