scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U2 B F' L D B' L' R U2 D2 R2 L2 U' B F2 U R' D2 U2 R2,x2,F' D2 U B' D' U2 L U2,L B' L' F L U B2 U' L' U B U' F',L' D2 U2 R2 D U' B' R' B' D U' L B,D L R B2 R2 B' R B R B2 L' D' R',47
R2 B2 L' D F' U B' F R' D F' R' D F2 B2 R2 B2 F2 R D F L2 R',x2,L' F2 U F L2 U L,F2 L2 F' U R D B F D2 B2 F' U' F',L2 U2 F R' F' R' U2 L' D B D' L',D L R B2 R2 B' R B R B2 L' D' R',45
F R' F R F' R F L' R2 B2 L R2 B D2 B' D F L' U2 D2 B' U',x2,D U' L' F' R' D U,D' R' B2 R' D U2 R' U' B2 U2 B' U',D' L' D2 B L U L' D2 L R2 D B2 U' B2,D L R B2 R2 B' R B R B2 L' D' R',46
L2 F' R' B R' D' F D2 B U' L2 U L2 D F' U R2 D2 U' B' D2 R,x2,L2 F' U' R D F2 D F2,F U R' D B L2 U F U' L2 D' U' F',F' D' F2 U' L' U' L F2 D B' R B F,D L R B2 R2 B' R B R B2 L' D' R',47
D2 B U L R' F U2 R F' R L2 U2 F B' R' B' U' B U' D',x2,U2 L R2 B' L2 D2 B R',R2 B' L' U2 R B2 L' R U2 B U2 L' B',F R F2 R2 U' B' R2 D2 F' D2 F2 R' B F',D L R B2 R2 B' R B R B2 L' D' R',48
F' B2 L B2 U B2 R' B R U' B' D L2 R D' B2 U R2 U F' R',x2,L U' B U' L2 F' L' U',R' U R' U' F2 L F' U2 R D R B F' L2,F' R' B2 R2 F R' F' R2 B' U2 B' U' R2 F,D L R B2 R2 B' R B R B2 L' D' R',49
D2 F2 R B' D' L' B2 F2 D L' R' F2 U' B' D2 F' U' B2 U' R2 B2,x2,L F2 D2 F2 L' D F' L',D L' R2 U L F L2 F' U' R2 D' L B,D R2 D' R' F2 L' U' R B' R' B L F2 R',D L R B2 R2 B' R B R B2 L' D' R',48
B' R2 F D' U' F2 L' D' U' B L D2 B' U2 F D U2 R' F' L,x2,F L U' B2 L2 U2 F L',D R' B2 F R' F' U R2 D' L' D2 L D' R',U2 F' L2 F D' B' U2 B' F' U' B2 F D U2,,36
U2 R' D' F2 R2 L' B2 U B R2 D' U2 R' D2 R B D R L' B2 R',x2,D L2 F D' R D' B2 L2,B R D2 F' R' D2 B' L D L B D' B',D' L2 F R U F' L F2 U2 R' D R' B' R F2,,36
R U D2 R B' R' U' R2 B2 U2 R L F' U F R' U' D' R' B',x2,D' R2 F' D' R2 B2 F2,U2 F R D2 F L F2 R' F D B2 F' U,F' R F R2 D' F2 D' B U2 B' D F2 D2 R D',,35
