scramble,orientation,step_0,step_1,step_2,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,B F D' L B L2 U' B' D' U2,U' B2 D R F2 D F2 R' D' B2 U,F2 R2 B' U2 L2 B R2 F' D' L D' L F',34
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R' D' R2 U2 B F2 R D2 L B',U2 L F' L U' F R B U B' L B' L R',L D L' D' F2 D2 L' D' L D' F2 L',36
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F2 R' U L' B2 L' B D2 U2 L R2,B2 F R' U' F' U2 B2 F R2 B' U' R2 F' U2,B' D2 F' R2 F D' F2 U' F2 D2 B2 D B2,38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B2 U' R2 B' D R' D B2 D F',D' B2 L2 F L' F L2 B2 L R2 B D B',D2 B R2 F2 D2 R2 B2 L2 U2 B D2,34
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' B L' F2 D' R' D R U' L',B' U' B2 F2 U R D2 U2 B' D' R' F2 L D,D' B2 F2 U B U' B2 F2 D B',34
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,D2 B' L' U R' F' D L2 B2,R B D' B D L2 R' U F U F' U' L2,B F U2 R' F D F' U2 B' F' L2 U L' U' L',37
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,R' F2 L F R2 B F L' D',B2 D' F2 U R B R' B' F2 D R2 U' R2 B2,D2 B F' R' D2 R B' F D' L2 D',34
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,F2 D' U' B R F2 L2 U' B,U' L2 B2 F' L F L B L2 B U L2 B U,L F L2 B R' F2 R' F2 R2 F R' F2 D2 B' L,38
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U B D' R U' R B D' B R,R D2 U R D2 L' B' L B R' U2 R U R',F2 U' B' U F R2 B F2 U' F U' R2 B' R2 F2,39
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,U B R' D R' D U L U2 R,R' U B D' R' B R U B' R2 D B U2 R,L D2 L2 D' L2 F L' D' L2 F2 U' F' U F D F,40
