scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F R2 B' D L' R U B2,F' D' U F' U2 F U2 F U' L' D F,R F' R' B' L U L' U' B' U B2 R F R',D2 B F L B' L' F' D2 B D B D' B2,47
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,B2 R D2 R' D L2 F' R2,D B2 U' F' L U2 L2 B2 D' F D' R' F',D' L' R' D R D' R' F' R F L R D,,34
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U2 L' U' R' D' L' B,D B' D' U2 B' L' U L2 U2 L B2 L2,B2 R' B' D' F' L2 U' R U L2 F D B',,32
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,F' L B2 U B' R' F R2,R' B' D L2 D' B2 R U' L' B U' L B',D F L' D' F U2 B R B R' U2 F' D F' D',,36
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,D2 F L R D L F' D',D' R B F U' F R U F2 R' B' D,B R D' B2 D2 B D2 B U R U' R D R2 B',,35
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F2 R' D U2 F L2 B,B' U2 L' R2 U' L U2 R2 B F' L2 F L2,F' D' R' U' R2 U R D U' B' R U R2 F,D2 B F L B' L' F' D2 B D B D' B2,47
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,F D B' R' F L U,F' U2 B' L D L' U B U2 F2 U' F',B F2 D2 L B' R B2 L' D' R' D2 F' R' B' F',,34
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,L' F' D F2 U' B' R' D',D L U B' D F L U L' U2 F' D2,R2 B2 R D2 R2 D' B' D' B' R2 B' R D2 R' D2,,35
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D' F D R2 U2 L2 R,U' B U' R' D2 R' B' R2 B' L' R' U2 F2,U2 F L' B2 R B R D2 R D2 B L R B' F',D2 B F L B' L' F' D2 B D B D' B2,48
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U B U R2 U L2 B,B L' R2 U2 R' B' L R' U' R' U B' R,R B R2 D' B2 D2 B2 D2 F2 L2 U L U2 L B' F2,,36
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,R' F' D R2 F' R U L2,U2 L D L' D U2 B' L2 D' B R F' R',R2 D2 R' D' L' D' R' F' R' D2 F2 L' F' L2,,35
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,R D' U2 L U2 L2 B' F',U2 F' R' F' U R U2 B2 R2 F R2 F U2,U' B' D2 U R2 D R' D2 L' D R' D' L D',,35
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,R F' L2 D2 L' D2 U,F' R B R' F' R2 F' U B' R U F' U',B2 D B' D' R D B' U R U' R' B D' B2,,34
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,R2 B' R2 U F2 D F' U2,F' D' F' D B F' U' F' R2 U R2 U B',U' B2 L' B' L' U' F' D2 L D F L U2,,34
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,D' L2 R' B' D2 U' F2 L',R' B U' B U2 B' U' B' U' R U' B U2,R2 B' L' F' L B L' F2 D B F' R' B' L R2,,36
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,D2 L F R2 B F D2 U',U2 B' U L R B R2 B' U L' R U,R' F' U2 B U2 R' B U R B U2 B' U' F R' B',,36
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,L' U2 F2 L' F D2 U F,U' R' F' R2 D' U' R' U2 R2 F' L D F',B' U2 F' D2 L U B2 R D2 R' B2 D2 U' F U2 B,D2 B F L B' L' F' D2 B D B D' B2,50
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,D2 U R2 U B' F' R,B2 D2 L' F D2 L' U R B R2 U L U,R' D2 R2 B2 D' B2 D B2 D' R U' R D2 R' B' U,,36
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,B U F L2 R2 U2 R' F,F' U2 B2 F2 R U R2 B2 F2 U B2 U F,U2 R D' L2 D R' F' L2 U L' B' L U B' D R',,37
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,F D2 L D' U2 L',L R D F2 D' F' D' L2 B2 L B2 F R',B' U' L' B' D' L' D2 L2 U R' D' L' D2 L D' R,,35
