scramble,orientation,step_0,step_1,step_2,step_3,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,B2 R F' L B D B U' L2 U',D2 U B' U' F' U' F U R' B D2,B F2 U R2 D' F' R' U' R2 D R F2,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,46
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,B L' F R' U B R' F L,D L' D B' U' B U' B2 R B2 D' L D',L' B' D' B' U2 B D F' L2 B F L,B D F' D2 B R2 B' R2 D B' D2 F D2,47
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,L' R2 D R' D L' R B,U' F' L2 U' L F D2 F U2 F' D2,B U2 L' B' L' U2 B2 L2 U2 L2 B D2 F2 D2,D2 R' D R' D' R2 F2 L' U' L F2 D2,45
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' B U2 L2 U L2 R U',B U2 L R' D F U' B2 D L' R2 F' D2,L F' U B F U2 B R F' L2 F R' B2 L',F' R2 B U' R B' L' R' B' L U R' F R',49
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,L D' R D2 B2 L' D B' D2,U F' U2 L2 F' L' F L2 U F' L F2,D2 L2 U F' D' B2 D2 U' B' R2 B R D B2,U R U' L' R' B2 R2 B R' B' R' B2 L,48
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,B F' L' R' U' B' L' B2 U2,F U R' F2 U2 B' U2 B2 D' B' F R,B2 R B R' U R2 U' R2 U R2 U2 B U,B U R2 D U' B D L2 U' F U L2 D2,47
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,L' B2 F2 U R B' L' B2,F2 L U' F2 L D2 F' D2 R2 D' B' R2 U',U' B' L' B2 L B2 D L F2 L D' U B' L2,U R U' L' R' B2 R2 B R' B' R' B2 L,48
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U L' D2 L R B' D B2 U,L B L' F R2 B' L2 B D2 L R2 B' L',B2 R2 U R U' R' D2 U' L' D2 B' U B' R',D' B L U B' R2 U2 B2 U L' D' B R2 D2 B,51
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D2 L2 R F' U2 B2 L' F2,F2 U B' F U' B2 U2 L U2 B' F2 U',D2 F' L U R' F' R F L F' L2 F D2,B D' R2 B R2 B2 D' R' D B2 D B' D2 R D2,48
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,U2 F2 L D' F R' B D' F',R B L' B L R F' D' B2 F L R2 U,U' R2 F2 L D' U L' D' L' F2 R' D' F2 D2,B D' F D2 B D' B2 D2 B L B' L' D F' D,51
