scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 R D2 U' R F' D2 R' B' R' F' B' L2 U' L U F2 B L B2 R F' R2,x2,B U' L2 F L,D2 L R2 F D' L2 R' B' F2 L,F R2 U B' F' U2 B' F' D L2 F,U F U2 R2 D R' U R2 D2 F D R,,38
U' B D2 L' U' L B' F D R L F' L B2 F2 R' F2 D' L U D2,x2,U' B U' R2 D2,F U2 B2 U L' D2 L D2 U' B2,D B D' U L' D2 U' F' D' B' F D',F' D F2 D' F' L B R' D' R B' L',L2 B L2 B' U L2 F' L2 F U2 B' U B,52
F2 B L' F2 U' B L' D2 F D' B2 U' D R2 U' L' F L B' D L2 D' U2 F' L,x2,U' F2 D' R',F' U F' R U B2 F2 D L' B2,F' L2 D' F2 R2 U F2 D L2 B2 D2 F,L' U B L' B R D R' B2 L2 U',,37
D2 F2 U2 D' R D2 R2 B2 U2 F B2 D2 B R B F2 U B L2 U D',x2,D' L F2 D' R,B F2 U' R' B' U F D U,L' U' L2 U2 B L B' L R B2 R' U2,F' L B F D2 F2 D' F D F D2 B' L',B' U' B U2 F' L2 F L2 U' B L2 B' L2,52
D' U' B F' R' L2 U2 D' R' B D2 L R2 F L F' L2 B2 L U2 L F' R D' L2,x2,L U' F2 R D2,B2 D' R2 B L' F2 R F' D2 B' U',R U2 R2 D L' U' F U L' D L2 D R,L2 U L' B2 R D' R' B2 L2 U' L,B' U' B U2 F' L2 F L2 U' B L2 B' L2,53
L D2 L D2 B2 L U D2 F2 D2 F2 U' B' U' F' D U' R' U' B U' L2 U' L,x2,B D L D2,D F2 U R' D' R2 F2 D2 F' U2,L' B2 U' F' L' U' L2 R' F D F2 U2 R,F' R' F2 R' B' L D2 L' B R2,,37
R D F2 R B' L' U' D R2 B F' L2 B2 F D' F2 R2 U2 R B F2 D2 R L D2,x2,R' D L D,R' D R2 D' F2 D' R' U F D2 U,R2 D L' R F' L' R2 B L R' U' L,R' D R2 B2 L U L' B2 R D' R2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,51
U' B R B' U2 F L2 U2 B' R2 F2 U' L2 U' F' R L U' D2 F' B' L,x2,U B R2 D' R',L2 D' F2 R D2 R' B' U R2 B2,F' L2 F R2 D' F' R2 D U2 L' D' B' L',D' F' L' F2 L F' D R F' R',B' U' B U2 F' L2 F L2 U' B L2 B' L2,51
U2 D L2 R F' L' R' B R' D' B2 L D F L D B2 U D' B F',x2,F2 R B2 F D',U2 R F U B2 L F L' B D' B,F2 L' B2 F L R' D2 F D F' U2 R F2,F' U B D' L' D B' U' F' L F2 L',B' U' B U2 F' L2 F L2 U' B L2 B' L2,54
R2 F B L F B2 R2 F2 D R' B2 F D2 F2 B2 U2 D' R' D2 L R U2 L' R2 D2,x2,B L F R D2,L2 R' B2 F' R2 D2 U' B' R',U2 B L U L B2 R D' B R2 U R,R' D' L B L B2 R' U2 R B L2 D R,L2 B L2 B' U L2 F' L2 F U2 B' U B,52
