scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U' L' F L R D2 R F' L' B2,B' U F D' R' U' F' D B2 F',L U2 R2 U' B' F R B F' L' R' B2 R',R2 F' D' F D R2 U2 R2 F L F' L' R2 U2,47
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D' L2 D' B R F D2 U2 L D2,U2 R D R' B' D B2 U' L2 D2 U',D' B2 F2 L B' L2 R D2 U2 L B R' D,U2 L R2 F L' F' R2 U2 R2 D' F' D F R2,48
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B2 L D' F' D2 R B D2 F' D2,R U2 F D' L D2 B D' F2 U2,L' D L R' B' R2 B2 L2 R2 F L2 R2 B R',R2 F' D' F D R2 U2 R2 F L F' L' R2 U2,48
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R B L2 F U2 B' U L2 F' L,U' F R2 F' L2 B U' L2 U L2,R' B' L' R' D' L R' B L' R' D L,L D2 B R' B' D2 F2 L' F' L F' L',44
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U L D' F2 R2 D' B2 L' D',U2 B' L U B2 U L B2 L',D' R2 U F D2 L B F' D' R2 B' U' R2 D,U2 L R2 F L' F' R2 U2 R2 D' F' D F R2,46
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,F2 D2 L B L D' F2 L2 B' F2,L2 U B2 U2 B' R B' R' U' B2 L2,L2 R' B D' U F2 D' U' L2 F R2 U2 R,B' U' B U2 F' L2 F L2 U' B L2 B' L2,47
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,D2 F L D' U' R F' R2 B' U' R,F' U2 F2 R U2 F L' U B2 L,L F2 U F2 U F2 L2 B2 D L R B U2 R,B' U' B U2 F' L2 F L2 U' B L2 B' L2,48
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B L U2 B' R' U2 B F D F,R' F R' D' F' D F R2,F2 R' U2 B U2 L2 D2 L' R U F2 L' F2,U2 L R2 F L' F' R2 U2 R2 D' F' D F R2,45
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F2 D2 L F D2 L' F2 L2 B' F',B' R F' L2 B R D' R2 D L2 B,R2 U' F2 U2 B' F R' B F' U' F2 U R2,D R2 F U F2 L2 B D B' L2 F U' R2 D',48
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,R' F2 U' R D' F L2 D' U L,D R2 F L' U' R2 F' L R' F,R' D U R' D U' B D U' R D U' B' U2 R,R' F' R B F U2 F2 U' F U F U2 B',48
