scramble,orientation,step_0,step_1,step_2,total_moves
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,U L2 R U F2 L R' D',D U' R2 F' L F' U B' U B D' B' U' F2,R' F' R F' U2 B L' B' U2 F2,32
B2 D2 B' U F B' D2 R2 U' D2 R' F' U' L2 R B' L2 B2 D F U' F D' B' F2,x2,D2 B' F D U2 L' U' F2 D2,L' R F R F' D L' D' R' F' L2 D2 R' D2,L F' U L U' L F' D F' D' F2 L2 F L',37
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,D R2 F' D' B2 R B' L2,U2 B' U2 B F R' D B2 R F L' D2 F2,F' U2 B L B' L U' F U' F' U2 L2 U2 F,35
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,U' R D' F L R' U' B2 F,F' D F' U2 F' R2 D2 B2 D B' U F' U B,F' D2 B2 D B' D' B' D2 F L B L' B',36
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,F U L' D2 L2 F2 R' F',R2 D' B2 U' L F2 L' U F' R2 U2 F L B' L',R' B R' B' F2 L B F L2 F R B' U2 R,37
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,L' F2 R2 U R B2 D2 U' F2,L' U R U F2 L2 U L D U2 R' U' B2 L R',D2 B2 R' B' D B' D2 R D R D' R' D',37
F2 U' R2 D' R F' B2 U2 L B' F' L' F' R' B2 U' B R' F2 D R2 F2 D2 B2 L,x2,B' L B2 D F' U2 L' R2 U2,B2 R' B F2 L' D L2 B D2 R2 U B2 L2 R U',F L' F U B D L D' B' U' F2,35
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,D R' F U B2 L' U2 B',R2 U B2 L' U2 R U2 B U L' D' B2 U R F',F2 L B' F L2 D' B2 D L2 B F R U2 R',37
F2 R' U D2 R B F2 L' B2 F2 D' B2 F' U2 L F2 D2 B2 R2 L B2 L2 U2,x2,F L' U2 R' B2 F' D2 B' U B,F R' D' L D L F L2 U R B' F R' F2 D R,F' U2 B L B' L U' F U' F' U2 L2 U2 F,40
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,F U R B2 L' D R2 B' U2 R2,D2 U R2 U2 B2 L2 F L' R U2 R2 B2 R U L',D R2 F' R F' U L' F U' F R D' U' B' U,40
