scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F D' R2 D L D2 U2 R' F' R2 U' F2 L2 B D R' U2 F' D R' F' U,x2,L2 R F L R' F' D' B,U2 L2 B' R' U' B L U',B2 U L' R U' F' L2 R' U2 L' B2 R D F,B' L F2 L' B L F2 L',38
L2 R' D' L' B' D R' U' R' D' R D F R L2 D' R2 D' U' R' F2,x2,U2 L2 B2 D' L R F',B L' B2 R' B U' L' U',U L' B' F2 R2 F2 R U' B R U L R',D2 R B' U2 B R' D2 R B' U2 B R',40
R L2 F2 D L R F' D2 L' U2 L' U' B L' R F D' L2 D L F2,x2,L' U2 R' D2 U2 B' D B2,R' U' F U R F',F R D F R U2 F' D' R U2 R' F2 R' U',B L' F L B' L' F' L,36
R' F' D2 L D' B2 F2 U D' F B D R2 U F' D R D2 L' R2 U2 D L',x2,L B' D L R2 B' R' B',B F D B2 U' B F' L,B2 D2 R' B2 L B D B D R F2 D B2,D2 R B' U2 B R' D2 R B' U2 B R',41
B' F' L U R F' B D B R D2 B' L D B D2 F' D' L2 R B U L R2,x2,D' U L B2 F' D',B' R2 U' B U' L2 U2,L B F R F' L' U L2 U' L R' B' L,D' R F' R2 B' R2 B R' B' F R' B D,39
B' U' L2 R B2 L2 U' B F' R F R D R2 L' D2 B' D' R2 L2 F',x2,B2 R F2 R D' U B2,B L2 D2 B2 U' B U' F2,B U2 B' D2 B D2 F U B2 U' L2 D' R2 F',U' B' D L' D2 F' D2 L D' B U' R' U2,42
R' L B' R' F' U R2 L2 B2 R' B D B2 D F' B2 L' D U R' L,x2,F2 D L B R2 F2,L U B' R' B L',B' L' D' R2 B2 D U' L2 R' B2 R' U L B,R' B2 R2 U F' U F U2 R2 D B D' B2 R,40
L R' F D' F' R' D' L' F D U F' U2 L2 D' F U' F' D2 U R' D' R2,x2,R D B L2 F2 D,B' F R' B U' B' F' U B,L2 U2 B2 L B R B' L' F D' B U2 B F',D2 R B' U2 B R' D2 R B' U2 B R',41
L2 B L' U2 B' D L D' U' R' U2 F L2 R2 D2 B2 R D F L2 F' L',x2,U B D U R2 D,L U L' U2 L2 U2,U B2 D B2 U2 F' L' B2 R2 B2 L F' U F2,D2 F2 L B' F L F' L' F U2 F U2 B D2,40
U F B D' U2 B L' B U L' B' R U2 B U' B2 U2 D2 F2 R' D2 U2 B,x2,U2 L D2 R B U R2 F2,B' U' R2 D' U' F2 D B,L2 B2 F2 L D' R2 B R D' B U2 R2 U2 R' F2,L' F L B L' F' L B',39
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,U L' B' R2 D R' D2 B,L B' U' F2 R' B L' F2,L2 F' U' F U' B' F2 U F2 U B2 F' D2 B',B D' R2 D R' D' U R' D R U' R2 B',43
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,B U R U L2 D' U,B' U L' U L R2 U' B,B F D' L B' F L' U' B2 R2 B2 U F' L2,D B R B R' B' D' B R2 B' R2 B R B2,43
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,B2 R2 U' L' R2 B' D,U' B2 R2 D' F2 D R' B2,F L' U' L2 D' U L D F U' L' U F2,U B2 U F' U' B2 U F U2,37
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D L' U R' B2 F' R,B F' L' D2 B' F L U,B' R' U2 R B2 D2 L F L F D2 L2 B',U R2 U' L U R2 U' L',36
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,B2 L D2 U' F' R' B',U2 L U L U,B' U2 F' U' F' R2 U F R2 U' B L2 F2,L U R2 U' L' U R2 U',33
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,B2 F2 U L D2 L2 F',B2 F R' D B2 F' L,B F' D' L' B2 F U2 R' U' B L2 U' L',D B R B R' B' D' B R2 B' R2 B R B2,41
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,B D F2 R' D R' B',B L' B2 U R' U B L' U,L2 B D2 F2 R D' L D R' B2 U2 B F2 U2 L2,D2 L' F2 R2 B R' F R' F R' B' L R,44
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,U2 L2 D' B2 F' R B',L B' U2 F R U' B F',F D U2 F' U L D L' D' F U B2 D2 B2 F',B' F' U' F U F2 L2 B D B' L2 B F2,43
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,U' B' U L F' U B2,U2 F2 U' B' U B' R' B2 F2,L' D R F2 D2 L R2 D U' F R B F' R B,F2 D' L2 D L2 B D2 F' D B' F2 L2 F,44
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,F2 R D F' R2,L2 U' B' U2 R2 B U2,U' F2 U' F' L' F2 L' B2 D2 F2 R2 D2 F D B2,D B D2 R2 D2 U' B D' B' D B' D' U B',41
