scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,B' D U B2 U F D2 U R2,D2 B' L B F2 U B2 D U' F L' D' F D2,B L' F' L B' L' F L,B' L2 B D2 F' D B D2 F D2 B' D L2,44
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,U L' D' F U L' U' R2 U2,B' D L2 D B' L2 R' U' L R B L' D2 B,U B L' B' U' B L' U L' U' L2 B',,35
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,R U' B D2 F2 U' L R B U',B' R2 U' L F L' R' F' R2 B U' R' U R2,L2 F' R2 B' D2 L' B2 L D2 B2 L' B' R2 F,,38
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,D' R2 F U' B' L' B F' U2 F,F' L B F' D2 B F' L B F2 D' B L F,B D' B D B2 L B' R' U R B L',B' L2 B D2 F' D B D2 F D2 B' D L2,49
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,D' L' D2 B' F D2 B F' U',B2 D' F2 U L' D U2 F' D R D' R2 U B2,F U B2 D' R2 D B U' B F',B' L2 B D2 F' D B D2 F D2 B' D L2,46
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,U L' F L' B' U' R' B' U L B,D B' D2 U' B2 F2 U' B2 F D' F L2 U B,U' F' D' U L U L' D U' F,B' L2 B D2 F' D B D2 F D2 B' D L2,48
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,B2 F R' F2 U' B' U L B' L',F U' R2 U' R' D' U2 F D' L D2 L F' L',L2 F' L2 F L' F' L2 F L' U L U' L2,B' L2 B D2 F' D B D2 F D2 B' D L2,50
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,B F2 U' R' D B' R U F D2,L2 F2 L' D' L F2 D' L D L2 D L',L2 F' U' F' U2 B D' L2 D B' U' F' L2,,35
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,U' F' R' D2 B F' L2 U F2 L,D' L2 F L2 B L' F' L' D2 R2 F U2 R2 D',D R U R2 D' L D R2 U' R' D' L',B' L2 B D2 F' D B D2 F D2 B' D L2,49
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,B' L B L D2 F L F L' B',B2 R' U' R2 F R' D2 U B' U' B L D2 B2,L' D L D' L B2 R' U R B2 L',L2 B' U' B U2 F' L2 F L2 U' B L2 B',48
