scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,F' D2 L2 F2 R B2,U R2 F' U L F U' R F U' L',B2 D' F2 D B2 D' F2 D,F L2 R2 F' L' F L' U B' U B U2 R2 F',,39
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,D' L B' R D' U2 B2,L' F' U F L B' F2 R2 F2 R' B,U' B R' D2 R B' L' F2 L U,U2 L' B D F U2 F' D' B L2 B2 L U2,,41
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,L' U' R2 U2 B' R,F U2 R2 B' U' F R B2 F2 U2 B',B' D' B' D2 B D2 F' D B' F D' B2,B2 R2 U' R' D2 F D R F' R2 D2 B2 L2 D',,43
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,R2 F2 D B' F2 D,L2 B2 R F D B2 L' U L' U F',L' B R2 F L' F' L R2 B',B' L' B L B U L B L' U' B' L',B R F' R2 B U2 B' U2 R B' R2 F R2,51
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,U' B2 U2 R F L',D2 B' D2 L' D B' D' L F' R2 U2 F,L B' R2 D F' D' F R2 B L',U2 L B' D F U2 F' D' B L U2,B R F' R2 B U2 B' U2 R B' R2 F R2,52
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,B' D' R' B2 R' U B,D' U F R' U' B2 L' D2 B2 D R',D2 B2 L2 B' L2 B' L2 B' L2 D2,,,28
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,B' R2 D F' R F',U F L' R2 U R' U L U R' U2,L F L' F' L D' L2 D L D' L2 D,L U' L' D L U L' D',B R F' R2 B U2 B' U2 R B' R2 F R2,50
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,R2 F' L' B' D R' D2,B' R2 F U2 F' R' U2 R2 F' U B U,D2 L' U' F2 R' D2 R F2 D2 U,U' B' U' L' B' U2 B F' L F U B L U,B R F' R2 B U2 B' U2 R B' R2 F R2,56
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,B2 D' B L2 B2 L' U',R' D R2 B2 R2 U' F2 U B' R D' L2,R2 D' L' D F L F' L' R2,U2 F L2 U F' U' F L2 F' U2 L U' L' U,,42
R B' R D F2 U' B' U R F R' D2 R2 L' F R2 F R D' L2 F' U F2,x2,B' F2 L' R2 F U' B,B F' R' U2 F R' D L' R D' B R',R B2 R' B2 L' B' R B2 D2 L B' R',B D2 U2 R' D' F' D R F U F D2 U B',R2 F' R2 F D' R2 B R2 B' D2 F D' F',58
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,F2 U B L U2 B L,U' F' L2 B2 U' R D2 B2 D2 L2 F2 D',L' R2 D' B D' B' D L' D L2 R2,B2 D' R2 F' U' F' U2 F2 R2 D2 B2 D',,42
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,B2 R U' B2 U2 B F2,U L2 D2 B2 L' R' D2 U' R' F U L',R D' B R' B' L2 B R B' D R',F2 U' B D2 F R F R' D2 B' U L' F2,B R F' R2 B U2 B' U2 R B' R2 F R2,56
B F' L' U2 F' U2 R2 L' D B R F' B' R U' D R' U' B2 D L F2 D R,x2,B' R' U' R2 F D' B',B U2 L2 R F2 L2 F' R' U2 B' R',L2 R B' F' D F D' B L2 R',B2 U2 B' R' U2 L' R2 B R' B2 L U2 B',R2 F' R2 F D' R2 B R2 B' D2 F D' F',54
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,U' R' B F' R D' B,F' D' B' R' U B U F D R B' R',F R2 F' L F R2 F' L',B' D L D' L2 D L2 U L' D' L U' B,B R F' R2 B U2 B' U2 R B' R2 F R2,53
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,D' R D2 R F',L2 D' F L' F' D U2 F L' U2,D2 L D2 L D L2 D' L2 D' L',B D' R D2 F2 D2 R' D B' R' U L2 U' R,R2 F' R2 F D' R2 B R2 B' D2 F D' F',52
R2 F2 D' B2 U L' U D' R2 F' R' D2 F2 L D2 U' L R' U B',x2,F2 D2 B L' B' D' U',F' U' R F R' B2 R B R B,B U' F' U B' U' F U,B' D' B2 F2 U2 R U' R' B2 U' F2 D B L,,39
L R2 D' U F' R' L2 D' F2 U2 B2 U B' D U' L' B U B' U' L' D2 U2 B U,x2,R' U B2 L B2 F' D2,D' F L2 U L' F U' F U2 F D,L2 R2 D' L' B' L' B D L' R2,U B2 U' B U B2 U R2 D' F' D R2 U2,B R F' R2 B U2 B' U2 R B' R2 F R2,54
D2 R2 U2 L' B D2 B' F L' D' B2 R U L2 U' F2 L2 R D2 F L' U B L',x2,D B L2 U2 R D' F2,L' U R' D' B' R2 U' R2 B2 L R,U2 L' R2 F' R F' L2 F2 L U2 R,D B2 D2 R2 F2 U2 F U F R2 D B2,B R F' R2 B U2 B' U2 R B' R2 F R2,54
L' B' R D' U F L' U L2 U' F' B2 D2 L' D' U B2 R2 L2 B L,x2,B' F' D2 L B L2,F U2 F D2 U' L B' U' L2 B D2 U2 F,L U B2 R D2 B R2 U R U2 B,R' D F2 D' R B2 R' D F2 D' R B2,,42
U' D R' B2 U2 L U2 L D B' F' L2 R' D B2 D' R' U2 D2 F D',x2,L B D U2 R' U' B' U2,R U2 F' U R' D' L' F2 L' F' D U',L R F2 U' F' U F' L' R',U2 B D' R2 B L' F' U2 F L B' D B' U2,R2 F' R2 F D' R2 B R2 B' D2 F D' F',56
L R2 F R B L D B' D' F' L2 D R' U' D B' L F2 U' D B2,x2,D' B D2 R U B2 D2,F' D B D2 L F2 L D2 R2 B' D' U2,D2 U' F2 D' B F2 D' B' D' U L2,B2 D' B' D B' L B D L' D' B' L',R2 F' R2 F D' R2 B R2 B' D2 F D' F',55
L' F D B' D' F B' U' D' R2 D2 B' U' D2 F B2 R L' D F2 U2,x2,F2 R B' F2 D U,D2 B L D' R U B D' B F2 U' B',R2 D2 R' D L' D' R D2 R2,U2 L B' F U2 B F' L U2,B R F' R2 B U2 B' U2 R B' R2 F R2,49
L2 R2 F2 L U' F' B' L2 U2 F R' F2 U2 B U L R' D U2 F U2 L B2 L2 R,x2,L2 R' U B L R',U F L' R' F2 R2 F L U R' U2 L2,B2 L B2 D2 L2 D L2 R D R' D,D' B2 L' B' L B' D L' D' B' D L,B R F' R2 B U2 B' U2 R B' R2 F R2,54
D' R F2 R F' B U2 L2 R2 F U D B2 R2 F' D' R2 F2 R2 D2 F2 B2 D2 U' R',x2,L2 R U' L' F D2 L',F' R2 U2 B U R B' R D2 U F D2,D2 L' U' F2 R' D2 R F2 D2 U,R2 D U L' U' L D U B' U B D2 U2 R2,R2 F' R2 F D' R2 B R2 B' D2 F D' F',56
U' R2 L' D F' B' L' U2 R U R L' B U D2 R2 B' F2 R D2 R D' R2 D2 F,x2,B2 D F R B' D' F2,U2 F' D' F' D R2 F' U2 R D2 B' D2,B L2 D L2 D L D L' D2 B',R2 F L2 F L2 D F U' F' R2 B2 D' U,B R F' R2 B U2 B' U2 R B' R2 F R2,55
L2 F2 B' L' D L F2 L D' R2 F' B2 R2 B' F R' U' F' L' R2 F' B R2,x2,U' B' F2 R F' L,F D B' R2 B' R2 B2 D U2 L' D2,L' R2 D' L' U L' D L U' L2 R2,,,28
F R2 L' U2 R2 U' F2 B R2 L B' L2 R B F' R2 L' U R2 B2 F' L',x2,U' L2 F2 R F' D2,R2 D R2 B D2 F D' B' L2 D F' D,B D' B' D2 B D' L2 D' L2 B' D',L B U L B' L' U' B' L' B' L B,,41
L U B2 L B' L' U' L' U2 B U' L R U2 L' B F D2 U' R U',x2,R2 B2 F L U R2 B,L2 B2 F D2 R' F' R B2 L2 F',B' L F2 L F L2 B' R U2 R' B2,B' R B2 R' B2 U' B2 D L' U' L2 D' U2 B,R2 F' R2 F D' R2 B R2 B' D2 F D' F',55
D2 R' B2 R U B2 U' B2 U2 F L' F U B R L2 F2 R' L' U' D2 L2 D2 R',x2,L' B2 L2 D2 L U',B' R' D' F2 D F U B R2 U2 R2 U',B L' R F L F' R' B' L,D2 U2 F U F' D2 U L U' L' U,B R F' R2 B U2 B' U2 R B' R2 F R2,51
U D2 F' R2 D' L U' B F U2 L2 B' F2 L R' D B F' D' R F2 L' F,x2,F2 L B2 D' F2 L2 F,U B' D' U2 L F' L' D B L' U L,D2 L' U' F' L' F L D2 U,D B2 D2 U B U R' F2 R U' B D U' L2,,42
L' U' L2 D' B2 D U B2 F D' B R' U2 F2 L D U2 R U2 F U2 F U2,x2,L' U B2 L' R2 B U2,R' U2 F D U' R2 B U' R D2 L' D,L' R B D2 B' L D2 L' D2 R',R D L D' R' D L' D',,37
B' U2 L R D2 R D L2 F' R' D' B U' F U2 D2 B' R' U2 B D R' F2,x2,D' B F2 D R' D B,F D2 L2 D2 R B R U' R' B' R' F',R F2 R' B2 R F2 R' B2,U' L' D F L D F2 D' U L' U' F' D' U,B R F' R2 B U2 B' U2 R B' R2 F R2,54
L2 U' L' U2 L D2 R U L2 R' U' F2 L B2 D' R B' F2 L B2 U2 L D R,x2,L R' U' B L2 D' F,D2 R2 D L D' F2 U B U L2 B2 U F2,L U F' U2 F' U2 F2 U2 F' U L',L' B2 D' U' B D B' U B2 D' B D L,,44
D' L2 B' D' B' D U' F B' D B' R' B' D2 R' F' L2 R' U R',x2,L F D U2 R' U L',R' U B2 R2 B2 D2 B U' B' D2 R,L B' L' R D' L2 D L R' B L',U' L2 R2 U L' U' F' L' F L' R2 U,,41
D L' D' F2 R B L2 F U2 L' D F2 D' R2 D R2 U L B2 U' F D2 U2,x2,B F L' D' U2 R,B L2 D F D B' L' U L' F',D2 L U2 F' R2 D2 R2 F U2 L' D2,L' B' L U' B2 U2 R' U R U B2 U B,B R F' R2 B U2 B' U2 R B' R2 F R2,53
L F R2 B' D F2 R' U2 F2 R B2 F' U L F' D B D' L U D' F' L' B,x2,F L2 R' U2 R' U B2,R F L U F R' U2 L' F' U' F',L2 B2 R2 D' L D L' R2 B2 L2,B2 L' B U F2 L R B L' R' F2 U' B L,,42
R2 U2 B2 F' U' F2 B L' F' R F2 L2 F' B D2 F D2 U2 R2 D' R' F U',x2,F2 L F L2 B2 R,R B' R B U R' U2 B' U B R',D' B2 D' L D L D' L2 D B2 D,D2 F L U2 B2 D L D' L' B2 U2 F' L' D2,,42
L R' B F D2 R2 U' L' F U L2 U L B D' L' R2 B U2 F B L2 R',x2,D L' R2 U2 F D' B2,B' R B F2 R D R2 D U B' D2 R',D U2 B' D2 B U2 L' B' D2 B D',U' L2 U L' U' L2 D F' L F U L' D',B R F' R2 B U2 B' U2 R B' R2 F R2,56
