scramble,orientation,step_0,step_1,step_2,total_moves
F' L R B R L B F' D' U L' D B' F' U2 B2 U B2 U' F,x2,B2 R' F' U F2 L' F,D B2 D2 R' B2 L2 U' L' U2 L' F D F' D',R U' F' U L2 D' B D' B' L2 U2 R2 U2 R',35
F U' L' U' F R2 D2 U L' B' D' L2 D R' D2 F' L F' D2 R2 L2 F2 R2 L2 B,x2,D' F U B2 D F2 D' R',L2 F2 L' F' L' B' L' D' L B' D U' B,U' B2 L' U R B' D2 B R2 U' L U R,34
L2 B2 U' B L' B2 R' B L' B' F U F2 L' F L' U2 L2 B F,x2,B2 R' D' R' U' R' D F',D' B R2 B2 D2 R D2 L2 F' R U' L2 R' B,L' B D' R D' R' D2 F' R F D' B' D' L,36
L' U2 R2 U2 F R F' L' D2 R2 U' B' R2 U2 B L D B' F2 D R U',x2,D' U2 B' D' F R' B2 U2 L',L2 F' L2 D2 R' B L F R2 B' F' L' R2 D' R,B2 R U' F2 U R' B2 R U' F2 U R',36
L' F' B R L' D2 B' R B' U2 R D L' R D U B' R' L F D L2 D' F',x2,F' R2 U R F' D2 U' B' U',D R F R B' U2 F' L D2 B U' L2 U' B',L2 D2 R D F' R' F D' R' D2 F D' F' D L2,38
B' L' B D B' R' L2 F2 U2 L R' B2 U L' D2 L' D2 F2 D R' F R' U' D F2,x2,L2 R U2 F' D B F U2,D' L' D2 R' D' L' R2 U R' U' F2 U F' L2,D2 R' D U F D' F' R D2 R F' R2 F U' R,37
U' F2 D B2 R' D2 F B2 R L D2 F' U B R' L2 D' F' B2 U R2,x2,D F D' B' R' B D2 L',D' B F' D' F' D B2 F2 D2 F' R D B' R D,U' B2 L' U R B' D2 B R2 U' L U R,36
B' U B2 R' D L' R' U2 L U L U2 B2 D' F D B F L' R2 U R' L2,x2,D' B U B L B' F2 L U',D L B U' B U2 L' D2 R2 D B2 D2 R' B',L' D F2 R2 B F D R D' R' B2 D2 F D' B L,39
L2 F D B' U F2 D' R U F' D' L2 R' D B2 L' R' F U' B2 U2,x2,B2 L' U2 B2 R2 F' R,D2 R' D' R2 D2 L2 F' L2 R2 D2 L U' L' R' D,L' D2 F2 L D' B' U' B D L' F2 D2 L' D L2,37
L' F2 U' F2 U' L2 D2 F R2 L2 B' F' L' D' B U' F' R' U F' L2 R2 B,x2,F U2 L U' R2 B' L' U',D L2 F2 L F D' L D2 F2 R D2 B' D2 R' F2,D L' F' D B' L B' L' B2 R' D2 R' D F L,38
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B' F2 D R U L2 B2 L2,F' D' L2 B U' B2 U B U F' R' B L2 B,L2 D' F D F' L2 F U' L D' L' U F',35
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L F R D L' F2 R,L B2 U L U2 L2 D2 L' B R' B' L R2 D2,L F' D' B' L2 F2 U B' U F' U B2 L,34
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,B D2 U' R' B F L B2,L2 R D F R D' F U' L2 U B' U B R',R U' F' U L2 D' B D' B' D2 L2 R',34
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L' U' R' F' U R' B2 U,L' R F' R' D R' F' D2 F D L D' B' R,L2 D' F L2 B' U B' U' B2 L2 F' L2,34
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,D' L B2 L2 B2 L' F U',L2 F L F2 L B D2 R2 D2 R2 D' R B' D,B F' R' F D' B' D B D2 R2 D' R' B R' B2,37
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,R' D2 F U' L U' F,B U2 B' L' D2 B U' L' U' R F' R2 B' F2 D2,L2 R F' D' F D' L2 U B' U R2 U2 R',35
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F' L' U B2 U B' U2 B' U,L U R B L' R D2 B L2 U L' B L' R2,R2 D' B F' R2 B' F D' R2,32
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,F2 D L' R2 D2 B' R2 U,F U' L' D2 B F D2 F D B' D' F2 U F',R U R U' R2 B R B2 U' B' U B2 R' B' R,37
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B R' U' L' F U2 L2 U,L2 F2 L2 B U' B2 U R D' U' B2 U R2 B' D,U' B2 U L' R B' D2 B L R',33
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,D2 F' L' B' R B' L U',D R2 B D' B2 L U R' B U2 R B2 L' R2,R' U' B2 U R' D' R2 D L' D L R B R' B',37
