scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,R D' L' D2 R2 B' R' F U2,B D2 U' L' D' L2 D L D2 U B',R' B' D' L' D L' U' F2 U L2 B R,B2 R' B R2 F' R B' R' B F R2 B,44
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F D' L F' D U2 R B' L,L B2 D' B' U2 F D U2 F2 R B2 F2,R' F' R2 F' U2 B' L U2 F2 R D2 R2,B2 F2 L' B U' B' L F2 R D R D' B2,46
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D' R2 F' U' L2 F' U2 L',L D2 L D' L2 D2 U B' R D R' U',D2 R2 F D2 F U' B2 U2 F U' R2 F D',F2 L' B L B2 U2 F R F' U2 B F2,45
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U2 F2 L2 U R D2 F' L',U' F U B' L2 B F' R' D' F D',F' D2 L' D L B' L2 U' L' B L' D2 F,L' D2 L B F' D' R2 D B' F,42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' R U' L F2 R2 B',D F R' U2 F2 R F' U2 F' D' U2 L',L' F' L R' D L' D L' R F' L2,U' B' R2 U R U' R B' D B' D' B' U,43
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B2 R2 U2 R2 U' R' U' F',B R B D2 L F U' F' R' D2 B2,B U2 R U2 L' U' L U B2 L D' B D,B2 R' B R2 F' R B' R' B F R2 B,44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,D' L2 D B R B' U2 L,B2 D' F U' B L2 B L2 F' D L B2,D' F2 L2 B R2 B' L2 F D2 F D',L' F2 U B' U F R2 B2 D' F D' B' L',44
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,L' F R' B' L2 U B' L2 U2,U2 F' U' L2 D' U' F' D2 R B' F2 L',L B R' B R' B F' U B F L' F D F',R B' U2 B R' D2 R B' U2 B R' D2,47
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,R2 F2 L' U2 F L' R2 D',F' D R2 B D R' B R' B2 R2 D' F,R2 D R' D' R' D R D' R D2 R' D R2,F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,47
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,U F U F2 U2 L2 R U,R B2 F R2 U B2 F' R2 B' U2 B R,B R' F' R2 B' F D B R B' R' D R,L2 F L F' D L B R2 F' R' F D' R' B',47
