scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,U2 L F2 U',D' R2 D F U R2 F' R B U2 R2 B2 R,L2 D' R' U' F' R2 F D B U L2 R2,L' B' U L' R B2 L R' U B L,40
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,F D' R F U,B D2 U B2 L B U B D2 U' B' R,U L' U' B2 D' U2 R2 D L' B2 L B U' L,B2 L' B' F U2 B F' L' B2,40
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,D R' B R D2,D B' D B2 L' F' U L' D' L2 R2 D',B L' U2 L2 D F D' L' F U B' U F' U',L' B' U' L' R B2 L R' U' B L,42
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B' L' U2 F2,D2 L D F2 R' U R2 D2 L B' D' U2,D' U R2 U' R' U' R' D' U' F D R D,B R' U' L' U L R B2 L2 B' L B L B,43
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,U2 R' B' L' D,U' B R F2 D' R D2 U' B2 R2 D',B L' U2 L B' U L' U' B2 D' U' R2 D L U',U2 B2 D U L U' L' D' B2 U B U B',44
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,F2 D' F' U,R D' F2 R2 U' R' F' D U2 R' U2 B2,U L' U' R2 U2 B L B' F R2 B F R F2 R2,B2 L' B' F U2 B F' L' B2,40
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,L F' U L2 B,R D2 B' F2 R' D' F U' R B D2 R U',L2 B D B2 R' D R B2 D2 R B D B2 L2 U,,33
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,B2 L U' F' L,R U2 R2 B' F R' U' R' F' R' U2 B' R2,B' U L' D F' U' F2 U2 L' U2 F' D' B' L B2,U' L' U' L U2 L2 D' U' B' U B D L2,46
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,B L' B F',U' B' L F2 U R2 U' R F2 L' U',B' D2 L F L' D B2 R2 U' R B U B2 D' F' D2,L' B' U L' R B2 L R' U B L,42
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,F R D' L,F' R B2 D R D2 B2 D2 U' R D L2 F',L U' R' U L2 R B2 D' R U R D U B' L U2,U2 B2 D U L U' L' D' B2 U B U B',46
