scramble,orientation,step_0,step_1,step_2,total_moves
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,U2 B2 D U L B' R' D2 L' B2,F U F U F' U' F' U2 F' U2 R2 U' R2,B' D2 B' R U2 R' B D2 B' R U2 R' B2,36
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,B2 U B2 D' L2 U2 R' F' R2 D',D U R' D' U' F2 L2 F2 L2 R' U R F2 L2,B R F' R2 B U2 B' U2 R B' R2 F R2,37
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B2 F2 L D2 F' U' B' D2 U L2,U L' U F' L' F D' B2 D R' D B2 F' D' L2,,25
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,R2 D2 R' B' L' D2 R2 U F R,L' B2 L' R2 D R D' F2 R' U L U' F R' D B2,U' F L2 F' U R2 U' F L2 F' U R2,38
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,L F' R' B2 U B R B' U,B' R' F U2 F' L' U F' L2 F L' U B' R B2,R2 U R2 U' B R2 D' R2 D B2 U' B U,37
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,R2 F D L' U R' F' U L U,B' L' F' L R' B2 F' L' B' R B2 D B2 F U R,,26
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,U' R2 F L' B D R' D' U2 B2,U2 R F L' U' L B2 U L U' B2 F R' F2 U2,B U' B D2 B' U B D2 B2,34
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D' F L B' U L' R B L' F,B2 F D' L' F' L' D2 L2 D2 F' D' R F' R' D B2,U2 F2 U B2 U' F2 U B2 U,35
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,F2 L2 F2 L' D B L2 R2 F2 D2,L' F' D' L F' D B2 L' R' D2 R2 D B2 L2 F2 R,F2 U2 F' D2 F U2 F' D2 F',35
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,L B' D U L F R2 B L' R',B' D2 R F D2 R D2 R2 D F2 R F2 R' D B R2,R F R' B' R F' R' B,34
D B D F' L D' B2 R2 B D2 U2 R L' F2 L2 R D2 F' L B' R' D2 B' R2 L,x2,D' L2 F' D' B' L2 R F' D2 L',R2 U2 F R U R' U2 F' U2 L F' L' F R2,U2 F2 U B2 U' F2 U B2 U,33
L2 F U D2 R L2 U B2 R2 D' L' F2 D' L' U2 D2 R' L F' B',x2,B R' F2 L' R2 U B U L2 F2,B2 F' L2 F' L' D2 B2 F2 U B L U' B',U' B2 U' F2 U B2 U' F2 U2,32
D B' L' F L2 D' F2 B' D B' D' F R' B F D2 L U F2 D',x2,R D2 U2 L U2 R B' U F',D2 B U B2 D2 B2 U' L2 B D B' L' B' D2,F D2 F U2 F' D2 F U2 F2,32
U F' B' L' D' F R' L' D R' F U D2 B L' U L B D F L,x2,F' R' F2 U2 R D' F2 R2 F U,B2 F D2 R' D L' R' F' L B F' R2 B L2,B2 D2 B' U' B D2 B' U B',33
F' L R2 B D2 U L R' B2 L' F' D2 F' U L' B2 U' L D' B F' D2 B D' B',x2,R' U' B' D F D' U2 B' L F,F' L' U' L2 F2 U2 B D' B' L U2 L' U F',R2 U' F L2 F' U R2 U' F L2 F' U,36
U F R2 B F2 U2 F' U L B U' D2 F' R2 B' U' F R2 F' U2 L' B',x2,L2 R B' D L R D' F D2,R' U2 B L' F L F2 L F2 L2 B' R F' R,D B' D B' U' B F L2 F' D2 B2 U B',36
F' U D2 B2 D' R2 L2 U F R' L F2 B' D2 L D' B' R2 D F2,x2,L U B' F2 D' U2 L' D U' L,B F2 L' B D R' D2 R B2 F2 U' F' U F,D B' D B' U' B F L2 F' D2 B2 U B',37
D R' D2 U2 B U F U D2 L F2 U2 F2 L R2 D L D F' L2 U2,x2,D2 L' B2 L2 D' F2 U' B R U,B L U' F2 U B L2 F D2 F' L2 F D' B' L' B',R2 U' F L2 F' U R2 U' F L2 F' U,38
U B' U2 L D R2 B' D F' R' B' L B' L2 U2 F D L2 F U F' D' R2,x2,B L' R' D R' F2 U B L2 F',B2 F' L2 U' F' U F' D2 B2 R U' F2 R2 U R,F' U R2 U' F U F' R2 F U',35
R U2 F2 D F R2 F B' R D F D2 F2 L U2 D' F2 U2 B F' D U F B2 R',x2,R2 F2 D F2 L F R' B L' R',U F2 U B' R2 F' D R D B2 F U' B' R F2 R2,U F' U' B U F U' B',34
