scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B R2 F2 R2 F' R2 U2 R L U2 B D2 L' D2 U' B R2 B' F' U2 L2 R D,x2,F U' L B' F2 D' L' D,F' D2 L D' F U2 B' U2 L',R2 D R2 D' F2 D' B U B' D R2 F2,F' L2 B D2 R D2 R' B2 L B L2 F L',42
L D2 F2 U' R F' B' R L2 F2 U2 R2 L2 F B U' B D' L' F' R2 F' U R F,x2,L' U' L R D' B' L U2 F2 R',B2 F' L B D' B F,L B2 L' F' L B L' F' L B L' F2,L2 D F D' B D F' D2 B' L' D' L D L2,43
F2 D2 F2 D2 R2 F2 B L' R' B R U F2 L F2 L' F L' R B D' B U2 R,x2,B U R' F2 L F2 D2 B' U,B2 L' U L2 U B' U2 B',B' F' L B' L U' L2 U B F L D' B D,L D L D' L' F2 D' F2 L' U L' U' L,44
B' L2 B2 R' L' B D2 U B2 U2 F2 L2 D' R L2 B' D' B' D2 L' B F' D2 U' B',x2,B L2 U' L' R2 F' R' U R2,B' F' L2 D L' B F,L2 U L' R' U' L' U L2 R U' L,D' L' D' B F' R D R' B' F D2,38
D2 U F' L D2 R L' F' B D R2 F2 R2 F' B' L D2 R' B' F2 U' B' L U2,x2,R' B F' U R' B R B2 D2,F2 R D' R' F D' F,B D2 U' L' B' U B L D2 F U B' F',R2 B F' U' F2 U B' F R' F2 R',40
L2 D L' F' B D' R2 F2 D2 R' L' D2 U' R2 L F' L U L D B,x2,D2 F' L' R' D' U2,L' F' L D' F' D' F2,B F L R2 F R F' L' U2 R F' R B' R',U2 F2 R' F' U' R2 D' R U R' D R2 F' U2,41
L2 B' D B L' B L D L D B' L2 U L2 D2 U' L' U' B2 U D2 B' F2 D',x2,R B R2 U F2 L' U' F' L',L D L' D',F' L' U2 R2 F2 D2 L' U2 R' B2 D' R' D' F,D2 R B' D B2 L' B2 D' B R' D2 F U' F',41
D' U2 F' L F2 L' U2 B' R' U L U' D R' B D' U' B2 R F,x2,L' U2 L2 R' B2 U2 F',B2 U' B' U2 B L' U B2,U F U' R2 D' B F R' F' R U B' D F',D2 F2 R2 B U' B U B2 R2 F D F D2,42
L2 D' U F' L' R2 F' L R' F' L' U F' U2 D R L U D F2 U2 D2,x2,R F' L' F U' F2 U' F2,B2 L' F' L2 B2 F,R B R' F R D' F U' F2 U F' D B' R' F',U2 F2 R' F' U' R2 D' R U R' D R2 F' U2,43
R' F R B' F D2 L' B R' B2 L2 B U' B F U' R F2 U2 B2 L2 R',x2,U' B' D' R' U' B' L2 R2 D2,F' D' B' L2 D F L B,B' D F' L2 F2 L2 D' B F2 D F2 D2 F D2,R2 F D' F2 D2 B2 U B' U2 R' B' R2 D' R' F,46
