scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,U' R D' U2,B L D2 U' F2 L2 U R D2 L2 R',U' B R D2 U2 L2 D2 U2 R B' U,R2 U' L' U' F2 D2 R' D' R D' F2 U2 R2,,39
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' B' U R2,B' R2 D' R' U' L D R' U' F L' D R,D2 R U L' D' U B D U2 R' D2,L B R F2 L U L U' F2 R' B D' B2 L',,42
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,B2 R' D,F L B L' D B D2 U F2 U2 L' D' F,L B2 F2 D' B2 F2 U L',B D' B' D' B' D' B D B D,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,48
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,F' U' L R2 D,F2 R F' U B F L2 D' F2 R2 U2,L U' B F' L B' F L',D U' B R' B R B F L2 B L F' D U,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,52
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,U2 L D2,U F2 U B' D' U' L' R2 B F2 L R,U' B R D2 U2 L2 D2 U2 R B' U,L' U B' U2 F U L' U' F' U2 B U' L D,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,54
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B2 D2 L' U L,D2 F' L' U L D2 F2 R D2 F' U' F',R D2 F D U' R' F2 D U R2 U2 R,D2 R2 U' R2 F2 L U F2 R2 D U R D R,,43
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F' D' L2,U2 L D2 B L B2 F' L2 D' F' U' R B,L' B' F' L' B' F' R2 B2 D' F2 L',D2 L D2 R F2 R' U F2 U' F2 U' R2 U2 R2,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,55
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,L' B R U2 F',U' B' U F2 R B L' D R D' R2 F2,U2 L B2 F' D' B' F L B' L' U2,R D2 R2 B' R2 B D B' D R2 D' B D B' R,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,57
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R' D2 F',D2 R D L R2 B D' R U' F R' B' U',L' B F R D2 B' F L2 D' F2 L,D' F' D B D' B F R' B' R B' D R' B' R,,42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F2 U L',D2 B L D B' F2 R' D' F' L2 U' B D',L' B F' D L' D B' F L' U,R' B' L B R' U2 B U2 B' U' B' U' L' B' R2,,41
