scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L2 F' U2 B2 L' B2,F2 R D2 B2 U' B R B' U' L D B2,D U R B R' B' L2 D' R D L2 D' R2 U',R U2 R' B D2 B' R U2 R' B D2 B',44
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,D F' U2 L2 U' L',R2 B' D2 F2 L' F2 D2 R2 D' R B D2,F R2 F2 L F R' F' L' F2 D R' D' F' R,,32
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D B' L R D2 F,U2 R B U' R2 D' F2 D F L2 B' F,B' F' R' F2 D' F2 R2 F R D2 R2 D' B,B D2 B' R U2 R' B D2 B' R U2 R',43
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D B' F L U' L2,R D2 B' F2 L F2 D2 R2 B R2 D,R F R D L' R' B R' B' L R D' F' R',,31
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,D' L2 U' B D L,R' D2 F2 U' B' L B2 L2 U' B' F2 D2,U2 R2 U2 B R' U2 R' U2 R U R U' R' B',,32
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U B L' F' R2 U,D' R' F L B' D' F L B2 U' L2 F2,R D B R B' R' D' B' R B R B' R2 B,R U2 R' B D2 B' R U2 R' B D2 B',44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,L2 U' B D' U' L2,R B R F2 U' L2 B' F R U2 F,U R U F' U' F R2 U' R2 U R' U',,29
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L' B' U' F' L B' U',B D B R2 D' F2 L' F2 R' B' D',U R2 U' R B' R' D B' D' B' U' B' U R2,B D2 B' R U2 R' B D2 B' R U2 R',44
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F' R B2 F U,B' F' R' B2 R2 U2 B F D' B2 D,B' D2 F D F2 R' U' R U F R D B R2,,30
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B2 U2 L U' B' U2,L2 F' L2 R2 B2 R U' F R B' D' L2 F',R2 U F R F' R' B' D2 L' F2 L D2 B U',,33
