scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D L B2 L2 R2 D2 B2 F U2,F2 U2 L D2 B2 D U2 R D,D R2 U' B2 R' U2 F2 L' U' R2 D2 R,F2 D' B D B2 L2 F U F' L2 B F2,42
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F' D' L2 D U' B D2 B' F2 D' R,D' U2 L F U2 L' R2 D L B,F2 D' R' D' B U R U' B' R2 F' R' F',B F R' B' D2 F2 L' F' L F' D2 F',46
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R' B2 F2 U R2 B' R' F' R2,U2 L' U' R2 U2 B U2 R2 U2 B2 U,F' D B2 R2 B2 D' B2 R2 B2 D2 F,R B R' B' F' U2 B2 U B' U' B' U2 F,44
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L' B D L' B L D B' F R',D B2 U' L D2 U2 R' D2 F U' B2 D',U' B L2 B' L' D L2 D' L U,R2 B2 F U R2 U' B2 F' R2 B' L U2 L' B,46
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,U L' R2 F D2 R2 U F' R' U2,B F' D R' D' F L R D L' B',U L D L' F2 U L2 D2 L2 U' F2 U',R F L F U2 F' L2 D2 B L F' R B2,46
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,U' L2 U2 B R' U2 R' U B2,R' D' U' B D2 U' B D' B' U2,U F U L2 B D2 B' D' L2 U' F2 U',B' U' B U B' D B D' B R2 U R2 U',44
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,F2 L U' L2 U' B' L D R F,D' R2 U2 L' D B L B2 D L' B' U2,B2 U F2 U F' U B L2 B' U2 F' U' B2,B' U' B U B' D B D' B R2 U R2 U',48
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L U R U' R U2 F2 L' B',R' D2 R' U2 L U B2 D' U2 F2 U',U F' D2 F' L' U F' D' F D U' L F2 U',R2 F' D L2 D' F R2 F' D L2 D' F,46
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,B' F L2 D2 U2 L U' R' B' F' L',B2 D R' D' B2 U2 L' U B D U,U2 L' D2 L D' L' B' L' B D' L U2,R2 B2 F U R2 U' B2 F' R2 B' L U2 L' B,48
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,L2 F2 L U2 B' R D2 U B' L2,R2 D F2 D2 U2 B' D B' U2 R2,R2 D' B U F2 R' F D R U2 B2 L2 U B,R2 B2 F U R2 U' B2 F' R2 B' L U2 L' B,48
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,L2 D2 B2 D B D B2 R F R2 U,B2 D U' L2 D2 B' D' U R D2,F R2 B' F' L' F' L F' D2 B R' F2,B' U' B U B' D B D' B R2 U R2 U',46
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,R' U F' R2 F2 R U F2 D' B,D' U2 L2 D2 U2 R D R D',B2 U' B2 D2 B2 U' L' U2 B2 R D2 R' D,B F R' B' D2 F2 L' F' L F' D2 F',44
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,L B2 D2 U' L R F' D2 U',D2 B2 R B' F D' B' D' F' D',F' L2 D B F2 U' R' U R B2 F' U2 B,B U' L2 D' B' D L2 U' F U' F' U' B',45
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,L2 R2 D F2 D B' L R' F',D U2 F2 D' U L' B2 L' U,L2 R2 B R' B R' B2 R2 U' B2 U L2,R B R' B' F' U2 B2 U B' U' B' U2 F,43
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,L F R2 D' L' D' R2 B' R' F,D R U' B U2 F' D2 F U' R' D',B' U L2 D L2 D' L2 F' D' F U' B,R B R' B' F' U2 B2 U B' U' B' U2 F,46
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,B2 U2 R' U B D R' U2 F' L,R B2 F D F' U F D2 R2 F' U',R D' B' L2 B U F2 D U2 L' F2 L U R,F2 D' B D B2 L2 F U F' L2 B F2,47
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U' B2 D B' F' L2 D B' R2 U',D' U2 B D L D2 U2 F2 R' F' D2,U2 L D L D' L' F' D F L' U2,B' U' B U B' D B D' B R2 U R2 U',45
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,D R2 D2 R' F U2 L F D2,B2 D R2 B2 U R U' B R2 D' B2,F' L F2 L2 D L' D' B2 U' R2 B2 L F',B U2 L' U' L U' F2 D R' D' B' F2,45
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,F R' D' F' D' B U' F2 R' D L,R2 D' B' R' D B R D B D' R,D L R B R D' L B L' B' L' R2 D',R B R' B' F' U2 B2 U B' U' B' U2 F,48
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,L F R2 U L' F D' B' D2 R,R D2 U F U L2 U2 B' D2 B D2,B' U L' U' B F2 L B R B' L' D' F D F,B F R' B' D2 F2 L' F' L F' D2 F',48
