scramble,orientation,step_0,step_1,step_2,total_moves
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,F D R' D2 L U' F2 L2,D2 U' L' B' L' B2 U' F L F' L' R' D2 R U2,D' U B L B' D U' L F' L',33
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,U' B' U' F' R' F L D2,R2 D B R2 F2 L' B2 F2 R' F' R2 F' D B2 U',R U' R' U' R2 D B U B' D' U' R2 U2,36
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D2 L' B2 U' B' R' D2 F,L D2 B' D2 F' U2 B' R' B2 R' F L D2 R2 D' U2,F L2 R2 D2 B L' R D' F2 D' L' R,36
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L2 D U2 L B2 U2 R D' L F',U2 L' D U2 F2 U2 R' F R2 U' F L2 U' R2 F' L,R' U B' F R2 B F' U R,35
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,U' F' L2 U2 B' F2 L2 F' R',F D2 U' B2 R' D2 B U2 L' B2 D B2 R' B L2 R2,U' R' F' R2 B F U F L U L' B' F2 R',39
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,D' B' F' L2 D F R' B2 D',B' D2 L' F' D2 L2 U2 L F2 L2 R' U F U F2 U2,R U' R' U' R2 D B U B' D' U' R2 U2,38
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,F' R2 F D R2 B D R' U2,R2 D' F' L F L2 F L R D B L D U2 R2 F2,F' L' R U F' L F L R' D' L' D,37
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,F L2 B U2 R' U R B F2,F2 U2 B U2 L2 R' U R' B' R2 U' L2 R D' F2,F' R2 F2 R F' D' L' F U' L D R,36
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,U' L D2 B2 R' D' L F D',B L2 F' L F' R' B' L' B2 U L B2 R' B D2 L,R' D' L F D F2 D' L' F' D R2 U2 R',38
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R' F D2 L D F L' F,D2 R2 U L D2 B F R' B L' U' L U2 B2 U' F2,R' D R2 F' L2 U2 R2 B' L2 D R,35
R2 U2 F L' B L' B' U2 F2 U2 D F D R' L U B D2 B' U',x2,D' F' R' D U L F' D2 B',D2 L' B' D U' L B L2 F R' B' F D2 U' R',B U B2 D2 L' U2 F2 D2 R' U B',35
B F' U2 L F' R' U' B' R2 U2 F2 B U R' F' B2 D F U R U' L D' B',x2,F U B2 R2 B' U2 L D F,U R2 F U F' U' R2 D L2 U L' U' F U' F2,R U R' D' U F U' F' D U',34
F2 L2 D U R2 B' D' R' L2 U2 L' F2 B2 U' L' F2 B' R' F2 U B L R B2 R2,x2,F' D L B' F' L R B D',D' L' D' B D2 U B2 D2 F2 R D2 F R' U2 L' R2,R' D' L' U F' L D F R' F2 R2 F,37
U2 L B D' B' U R2 B2 F' R U D2 F L2 B' L R B' F' D' L R',x2,R2 F L U' B2 U2 B U' F,L' R2 B2 L' B F' U' B L2 R' F' D B F L' D,U' F' U F D' U L' U' L D,35
R2 D2 U F L B2 U' B D2 B' F2 R2 L D2 U' F2 L2 R2 F B' L' B D2 U,x2,D' R B' U' L D' R' F2 D2,L2 U L' B L R2 D U2 B2 U B' D U R2 D' U2,D' U F U' F' D U' R U R',35
D2 B2 F2 L2 F2 L F' R2 L2 U2 F' R' F' L' D' F U' D2 L' D' L2 D2 B F,x2,F2 D' R2 F' R U2 B' D F2 U',D2 L' B2 R B2 D2 U2 F L2 R2 U R F2 D2 F U',U' F2 U F R U' F' U' F2 U F R',38
B2 R' F2 R D2 B2 R U' F2 L2 U' D2 B' D' L2 U F U' D' F D' U' R2 D R2,x2,B R2 F L F U2 B' L' U' B2,F L B L' F2 D F U B D' B' U' R D' R',B D U' L' U2 L' D U' F2 D2 U2 B' U2,38
U2 L F' L F' B2 R U' F' B2 R' D U' L U D F' U F' D U' F' D' U',x2,U F D2 R' U L' D R2,F2 L F L' F2 R2 B D U2 B' D2 F' L B' U' F,U2 B L2 D U' F2 L' U2 L D' U B',36
B F' D2 F' R B' F L B L' D2 L2 B' L' B F' R2 B U2 F2 D U,x2,F R' F U' R' B' D F2,D' B2 U2 F' R' B L2 U R' F D R2 F' L B2 U',L F' U' B F' L F L B' F U' L',36
