scramble,orientation,step_0,step_1,step_2,total_moves
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,B' U2 F' L2 U' L2 B2 R' U',D' R2 B2 L U' L D L2 B2 R' U,,20
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,U' L' B F2 R2 U R' F D2 B',D B2 U2 B D' B U' B' L R2 U2 L2 F2 L U,D F' U' R' F R U F D' U' F U F',38
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,B2 F U R2 D2 F U L' B,F2 D2 B' D2 R2 B L R B R F2 L2 D' B,L2 B L2 B' U L2 F' L2 F U2 B' U B,36
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,R2 F U R F2 D B2 L D2 B R',D' L2 F' L2 D U B2 U2 R' F2 D2 U F2,D' U B2 D' R D B2 U2 L U L' D,36
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,D2 B2 R D R' B L2 B' L U,R' D2 F' D2 B D' F2 U' B F' L B2 L D2 R F,F L F L' F2 L2 B F D F' D' B' L2,39
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,B R B R2 F U R' U B R,U B2 L U2 R' F2 U L' D2 U2 R D2 B' D2 U2,L2 B L2 B' U L2 F' L2 F U2 B' U B,38
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,F D F2 U R2 U' R U' L',B2 R' U2 B' D' B R B2 U2 R' D' B2 U R U,L2 B L2 B' U L2 F' L2 F U2 B' U B,37
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,D2 R2 B U' R' B2 L U L' U2,F2 L B R F' L' D2 R2 U2 L' R D B' F' D2 F',D F' U' R' F R U F D' U' F U F',39
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,L2 D' B D' F' L2 B2 L2 D' R2,R2 B2 U' F' R2 U R B' U F D F' U2 F D2 B',U L' U B L' R' D' L R B2 U' B U' L F',41
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,F2 R U' F2 U' R2 B2 L F' R',F2 D R2 D B2 D L2 R' D R D R2 U B' D' B,D F' U' R' F R U F D' U' F U F',39
