scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,U' L' F2 D',U' R D' R' U F2 D,R' B F U F' U' F' U B' R,R2 B2 D F L2 B2 U F2 U2 B' D B U2,,34
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D' U' B2 D2 F' L U L',D R F2 D2 B R' B' F2 R,D' F D' F2 R' D' B2 U2 F L' B2,B2 F2 U' F U F L' F' U L U' F L B2,,42
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R B L' D2 B L B',L2 F D' B' F' L F' L' B L2,L' R' B R U2 R' B' L F2 R,B2 R2 U F R2 D2 L2 B D2 B2 L2 D' L2,B R' U' L' U L R B2 L2 B' L B L B,54
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B' D2 L D B' F' U',B' F2 L' B' R U R' B2 F,U' B L' U' L B' F R U F',B2 L F L' F2 D F' L F' L' F2 D2 L2 D B2,,41
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,R' D' L F2 U B' L' F,B' D' B2 F' U' F' R' U2 B' F2,U R U F U R U R2 F U',U2 F' R' B2 L' B' L2 U2 F' L' B' R2 F U2 F',B R' U' L' U L R B2 L2 B' L B L B,57
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,B2 D' L2 B U2,D F D B U B' R' F D2,F' D2 L' D' B R D B' D2 F,D' F2 D L F2 U' R' B' D R' D R B U L',B R' U' L' U L R B2 L2 B' L B L B,53
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F2 U L' U' L2 U' L2,B2 L2 B L2 B D' F' R,D' L' D' B L D' L' B2 L U B D',B2 U2 L2 U F' D' U2 L D2 F2 D' U2 F U B2,,42
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,R' D F U2 F L U,U' L R B' L U L2 R' U,D R2 D' F2 R F R' U F2 U' R2,U L B D' B L2 D2 L B D2 B' L' U' L2 D',,42
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D2 R B L' R' D' L,B2 L B2 F R' D' B' L' B F2,R B L F' L' R' U' B L U L' B2,D' R2 F2 R2 F D' F R' F2 D2 F2 D' R F' D2,B R' U' L' U L R B2 L2 B' L B L B,58
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L F2 D L R2 U2,F' D' B' F' D B R2 D' R,R2 B U F R U R' U' B' F' R2,L B' R2 B2 L' U' L B2 R2 D2 F' D2 F D B L',B R' U' L' U L R B2 L2 B' L B L B,56
