scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,U L' U2 B F,L D F2 D2 U2 L' F2 U2 F2 R B U2 B' R,R' B2 R' F L U2 L' F' R2,L' F' D' B' U' L U B D F,38
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,F' L D2 U B,B2 D' B2 D2 R2 F R' U R2 F2 D' B2 R D',L R' U2 R F L' B L F' L' B,U' L' B' R' F' U F R B L,40
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,F' U' F2 D' L2,R U' B' F2 U F2 R B' U F' R' B U B',D2 F' D F R F' R' D,F2 L2 B F D F' D' B' L2 F L F L',40
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,R U' F L2 F R',L2 B2 U2 R' B2 R' D F R' D' L' D2 B2,L' D2 F2 L R' D' B' L' B2 L B D' R,F' D' B' U' L' U B D F L,42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,B L' B R F',R U' F' U2 B D R' B2 R2 D2 R2 F' D,D L' U' L2 F2 D F D' F L' D' U,U F' L2 R2 B L B' L2 R2 F L' U',42
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,F D' F2 R' B' U2,F' R U' B U2 R U R2 B2 F R' U B2 F2,B' U2 B' U' L R' F' U2 F R U' L',L U B D F L' F' D' B' U',42
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,U' R2 D2 L' U2,R D' U R D' U L U B D2 R2 U B' R',L' D2 R' D B2 R D' R F' U F' R' D2,U F' L2 R2 B L B' L2 R2 F L' U',44
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B L2 D B,D' U F2 R2 F L D U' B2 F2 L' R2 B' L,D L' D' B' L' D' B2 D L B,U B D F L F' D' B' U' L',38
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,D' U2 F2 L2 B' L',D B2 L2 U' F2 R' B2 U' F R2 U' L F' D2,B' R' U' B U2 R D' R F2 D R2 U' B' R,L' F' D' B' U' L U B D F,44
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,R' U B' F' L' F',U R2 U' B U R' F L2 D' R' F2 R F L2,U' R B2 L2 D' R' U2 B2 R D B2 L' R',F2 L2 B F D F' D' B' L2 F L F L',46
