scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,F R2 D U B' D B,D' B2 F R B' D' B D F' D U' L2,L R' D R' D' L' R F R F',L2 B D2 L2 B R B R U2 F2 R F' R B,43
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D2 U2 F2 D L' D' B R,L' B2 L D R U F R' F' L U' L' D' F',R2 D' F' L' D U' F D' U F D R2,B' U' B U2 F' L2 F L2 U' B L2 B' L2,47
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,F U2 F D2 L2 D F L2,R' D' U' B2 R B U R' U' R' B D R,F U' B' U B F' L' B L B',,31
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,F D2 F' R2 D' L' B2,L2 U B' R' U R' D F R U' R U' L2,L2 F2 L' F L F L' F L' B' U' B,D F' U F U2 R2 D B D' R2 D' U,44
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,R D' U2 L B' D' L' F',R U L2 B D B2 L U R B L R2 F2,U' L U' L R' F R B2 R2 D' R2 B2 L2,L2 B D2 L2 B R B R U2 F2 R F' R B,48
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,R U B' R' F' L' D,U' B R' F L2 U2 L' U' L' F U' L2 R,L B F' D' L' D B' F L' U,B' U' B U2 F' L2 F L2 U' B L2 B' L2,43
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,B2 R2 B D' L' B2 F' U2,L' B' L2 B2 R F D F2 D R2 U B R,F2 D' B' U' B F' L F D F2,L' U2 R B L B' L' R' U2 L2 U L' U',44
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,U2 B R U' B2 R U2 L2,B R' F2 L B L' B' L R' D' L2 R2 U',U B2 L2 R2 F' D L R' B' D' B' L R',U L U' F' U L2 F L F' L U' F,46
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,R' B L2 D L' D' R2 D',R2 F2 D R U2 R' D' L' R' B' R' U L,F L' B' F' U' B F' L F2 L F',U2 L2 U' F' D2 B D B' L D F L F U' F',47
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D L D2 U2 L2 B D R2 D2,D F2 L' U2 B R F' R' B2 R2 F R B D',D B U' B2 U' B' F R B2 R F' D',U2 L2 U' F' D2 B D B' L D F L F U' F',50
