scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L2 F' R' B R' D' F D2 B U' L2 U L2 D F' U R2 D2 U' B' D2 R,x2,L F' U' F R',L B' U L R2 F' L2 R,D R' B R U' B L B' R U B' F' D R',B F U' B2 R2 B2 U' B' F' U2,37
F' B2 L B2 U B2 R' B R U' B' D L2 R D' B2 U R2 U F' R',x2,B U' R' U' L,D' F' R D B' D' F,D' R' B' U F' D2 B' L2 B F U' B R D2,L F R2 U2 B2 D2 L2 B2 U2 F L',37
D2 F2 R B' D' L' B2 F2 D L' R' F2 U' B' D2 F' U' B2 U' R2 B2,x2,B L D L2 F2,D2 L B' L2 D2 L D,B' D' R F2 D2 F D2 F2 R' D B,B' R2 U2 L2 F U2 R2 D2 B2,32
R2 B2 L' D F' U B' F R' D F' R' D F2 B2 R2 B2 F2 R D F L2 R',x2,D B' L R2 F2,U2 L D' F2 D2 F2 L U2,D2 R2 D B R B' R' B L2 U' L2 B' D2 R2 D',D U' R2 D' F' R2 F R U R F2 R' F,41
R U D2 R B' R' U' R2 B2 U2 R L F' U F R' U' D' R' B',x2,F2 D' L F2,R D' R2 F U L' R U',B' R2 U F' D' U' B L' F2 U' L R2 F R2 D',R' F' U R F2 R' F' U' R F R F2,39
B' R2 F D' U' F2 L' D' U' B L D2 B' U2 F D U2 R' F' L,x2,U' B F2 U',U F U' B2 D2 R B,B2 D2 L B' L D2 R' U' R B2 R2 F R2 D2 L2,R' F' D' U L F L' D U' F,36
U2 B F' L D B' L' R U2 D2 R2 L2 U' B F2 U R' D2 U2 R2,x2,F D L' F2,F' L' D L B' R F,U R' B R2 U R2 F' D U2 R D' R2 B' R' U' R2,R2 D' F2 D2 B F R2 B' F' D' R2,38
F R' F R F' R F L' R2 B2 L R2 B D2 B' D F L' U2 D2 B' U',x2,F U' F2,B R' B2 D U' B L2 U,L2 F L' F2 L B R' U' R2 D F2 D U2 R2 B' R,F2 D' L' F2 L F D R' F2 R2 F2 R F,40
D2 B U L R' F U2 R F' R L2 U2 F B' R' B' U' B U' D',x2,U B F2 L,B D L2 R2 U2 B' L2 R' F,B D2 L' B2 L F' U' R D' B R' F2 D B' L2 U,U2 B' L D' L R' B R U2 R2 F' D2 R2,42
U2 R' D' F2 R2 L' B2 U B R2 D' U2 R' D2 R B D R L' B2 R',x2,F' U' B U2,D L F2 L2 R D2 U2,D2 L R' F D' B R' D R B' F' R U2 B' U2 L',U' B2 D B D B' D2 B2 D U R D' R',40
F2 B2 D U R L' F2 D2 B U' F' U2 F2 U' L2 F2 R2 F R U2 F,x2,L2 D L2 D2 F2,B2 D' U2 L D2 U' F' U' B',F' L2 F2 D U2 B U2 R D' R' F2 L2 F D',U2 L' R' U' L2 F2 L2 U' L R,38
U L2 B' U' D2 L2 R' U2 F2 L2 F2 B2 L' U' F R F' L2 U' B' L2 U F' D,x2,B2 D' U2 F R2,B U' R D' U B2 F',U R D F2 D R2 F' D B F U B' R U',F R' D2 U2 L B' L' D2 U2 R,36
L' R2 D' F2 R' B2 R' U L R F' R' L F2 R' U D2 B' D' B,x2,R' D B2 L2,U L R' F L R' U' F2,B2 R2 B' R' U R U' B R2 B D2 B,B' R2 U2 L2 F U2 R2 D2 B2,33
L2 B U' F' U' B' L B' U' L B' R2 B2 R2 D2 R U D' B' D R',x2,U' B' F R',L R2 U' F2 L D2 B' F2 L',U B R' B2 F L D2 B F2 R' F U',F' D F L B R D' R' B' L',35
R B' U' B F U' F U2 L' D R D2 R2 D2 B' D2 F2 R2 L B F' D L2 D,x2,R' F L' R' F',B' F' R2 F D' B',L2 F D R D L2 D F D F R' F L2 D2,B' L' D B' F L' U B' U' B F' L B2,38
