scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,R2 U' B' D L' R',B F' U' L' U2 B U L U' F,D U' F2 R2 D B' D2 U2 F U' F2 L2,L F L D2 R2 B R B' R D2 L2,D2 F' D B2 D' F D B2 D,48
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,D U2 L R2 B D2 L',B R' U' R D2 F' D2 U2 B',R2 D2 L D R' U2 R F D2 B2 D' R2 U',L' R2 B L' F2 D F2 L B' L R2,R F' L F' L F' R' B F D2 B' L2 F2,53
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,B F' D R2 F2 R,L' B L R B' U2 R' U,U B' D' R' F2 R' D B U' R U R,D' F2 R' U' L F L' U R F2 D,R' U R D' R2 U' L2 U R U' L2 R D,50
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,R' D' B' F L' R,D L' U2 L' D2 R' F R' F' D,U2 R2 U2 F R2 D' U' F2 D U' F,F L U' R' B D2 L' D2 B' R U L' F',D2 F' D B2 D' F D B2 D,49
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B2 L2 F U2 R' D',D' R' F2 R' F' U2 F' D B',R2 U2 R2 D' L F D F2 D' L' F' D,D' F2 R' U' L F L' U R F2 D,D' R D' L2 D R' D' L2 D2,47
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L' U2 B U B2 L2 R,F' U R2 B R2 U2 F2 U,U2 F' R2 F R2 U' B U B' U2 F,L U L' F' U L B L' B' U2 L' U F,L F2 L' B' L F2 L' B,47
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,R' D' R2 B2 L' R,U R D L2 B' U2 B' D' R',L' B' L D B' L' D' R' B U2 R,L' B' R' U R B L F U' F',D B D F' U F2 D F2 U' R2 F D B',49
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,R U2 B' L' D' B D',U B R2 B R U R,U B U2 F L U2 L' F2 U' B' F,L' R2 F U B2 R B2 U' F' L R2,R U2 R' D' R U2 R' D,44
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,R2 B2 D' F L2,B R D2 L2 D2 R' U2 B U,R2 F D2 L B' L B U2 L U L D2,F' L B2 L' U L' U' L2 B2 L' U' F,B R' B2 L U2 L U2 L2 B L B2 R B2 L',52
R2 U2 F2 D2 R' B' D' B2 R' B' L' B R L F2 L B2 R' D2 U R2 U' B' D2,x2,D' F2 R D2 F' D',R' U2 R U' R U R' B,F L U F2 L D2 U' B D2 L U L2,B2 F2 R F U L2 B L2 U' F' R' B2 F2,D' L2 F U' B D F2 R2 D B' U F D',52
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,U2 L2 B' U B2 R F,D B' L2 B2 D2 U2 F' R' D,D' R2 B2 U L' U' B' L B' R2 D,B F' U2 B2 F U' R U R B R U' R,L' B R B' L B F R' B' R F' R',52
U' D2 R2 D' R' F' D' L B F L' R F' R2 B' R' F2 D L' R U' F,x2,U2 F' L' D2 F,U R D L U2 B D' R' U2,R B' F R' B F' U R',L' U' B L B L' U B L U' B2,B2 U' F2 U B U' B F2 D B' U B D',46
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,F' R' D' B L2,R D' F2 R U' F2 D R' B,F' L2 B' D' F2 D' F2 D B L2 F,L2 R' U2 B' U2 L B L D2 F' D2 R,L2 F2 U' F' U F' L2 B' D2 B2 D B2 D B,51
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,B2 D2 R2 U' F',B' D L2 D2 L' R U L D,F L D' U2 L' U' B' L' B' D L,R U B' L' B' L B U B' U' B U' R',F L2 F' R F L2 F' R',46
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,F' L2 R,R B2 R2 B D L' D' B' R,D' F U F U F D U2 R' U' R',B2 L' U' B F' U' B' U B' F U L B2,F2 R B' L U2 F2 L B R' F D2 L2 F',49
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,U2 F D B D2 F,B D U2 R U' L' U R' D',F U2 L F L D2 R2 B D2 L U' L,R2 F U R U' R' B' R B F' R2,B2 R2 U' F2 D B2 L2 D' F2 U,48
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L R B F D F',B R U' B R2 U R2 U2 R',L' B' L D B' L' D' R' B U2 R,L2 F2 D2 R2 B F D2 L2 B F,R' B2 R2 U2 L U L' U R2 B2 D' R D,49
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,F L2 U L' B2 D2,F R' F' R U B2 D L2 D',R D2 U' F L2 U' L2 F' D2 U R',F' R' U2 F' U' R' F' R F U' R F,B' D B D L' B' D L D L' B D2 L,51
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,R2 U B2 L' F' L',L' D L' U' F2 L2 D' B',D U F2 L2 D2 B' D' U R' D2 B2 L2,B2 U' R2 F2 D L R' B' L R D' F2 R2,L2 B' U2 F U' F' L2 F' L2 F U' L2 B,52
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,B R' B' D F2 R2,B U B2 D2 L' U L D2 B,U2 L' D2 F2 U2 F2 D2 B2 L U2,F2 U B2 D F' L' F D' B2 R' U R F2,B2 U B' F D' F2 R2 F2 D F' D2 B2 U' B D2,53
