scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L U L2 F' B R2 L D2 L B2 L2 B F U2 R' B2 R2 D' B' U' B2 D2,x2,F D' F R,U F2 R' F2 D F' R D2 U2 B U,D2 U2 F2 L F2 L' D' F' L U2 L2 F' L2 D',L2 U B F' L2 B' F U L2,38
F2 D L' U L D L B2 F' D R F D' B2 L D' B F' L2 R B2 L2 F2 D',x2,R D F2 R,U F L2 D F U2 B U F' R2 U2,L2 B' L' B2 U L U2 B2 U B F U B2 F',L' D2 R2 F' U2 R2 D2 B' L',38
F B2 R2 U L D' L2 F D2 B2 R2 D R' D U L2 B F D' L2 F' B R' L2 B,x2,B2 D2 R F,F U2 L' R' B F D F R B2 U2,L B' L B' U R' F' R U L' U' B2 L B2 L2,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,44
F2 U2 R' B' U2 D' B' F U' D' R' U2 B2 U B U2 D' F2 U2 L R2 B' D' R' L',x2,L U2 L D' F2,R D L B U F2 U' R' B2 F',B' D2 F' U' R2 D' L' B F2 D B2 F U2 B D' L',F2 L2 B F D F' D' B' L2 F L F L',44
U D2 R2 B2 R2 D B F2 L2 F2 D' R' F R U2 F2 D' U2 R U L F L' F' L,x2,B2 U L,U' B2 U' F2 R2 B2 U' F' D F',L R2 F L2 D2 R' U' L' B D2 B' U R' B L,,28
F2 D2 F' L D F2 B D R2 D F R' D F L2 R' F' B' R2 F2 U' F' D R,x2,U L' U2 R' D',D2 B F L U' R' B' U R2 D2,B2 L2 D2 U L F2 R' F2 R F L R U2 R2 U' B2,L' D2 R2 F' U2 R2 D2 B' L',40
B' F D R2 D' U2 F' B2 L' F' D' U L2 D B' U B D B2 U2 F' R',x2,F U R2,L2 F' U L2 B2 U B' U R' U F2,B2 L' U L D2 L' B' L D B' D L' B U' B2 U',F' U' F R B L U L' B' R',40
B' L B D' F' U2 B D' U2 F' L' B U2 D2 F B2 D L' F R2 F' D' U R2 L',x2,U R2 D' L U,L D' B' U2 L R' B2 R' D' F2 R',D2 U2 L2 U2 R U B' D U2 L' F' D' U R' D2 U,F' U' F R B L U L' B' R',42
U' D R' B2 U' B' R L' B U' R B L U2 L' F R D L2 U B2 U' R2 L2,x2,R D' R F,F' U2 L R2 B D2 F L R' F,R B2 R' U2 B2 U2 R2 D' L2 D F2 L2 F L' F' R2,L F L2 D2 R2 B R2 D2 L,39
L2 U B R' U' R' L' D2 L R B L U' F U2 L' D2 B' U B' L' B U2 D B2,x2,U' L B' L2 B',U2 L2 R B U R' F2 U B2 R F2,U' F' L2 B2 L2 D' L' B' L D B2 F U2 B',F2 L2 B F D F' D' B' L2 F L F L',43
D2 F D U' R B R' D U' R' F B U2 F' B' R' U2 D B L2 B2 F' D',x2,F D' L R2,L F2 D F2 R D' R' B L' D' F2,B2 U2 B F2 L' F' D R2 F D' L F2 U B,U2 F' L2 D' U' B2 L' B2 L B2 D U L2 F,43
U' D R' B2 U2 L U2 L D B' F' L2 R' D B2 D' R' U2 D2 F D',x2,D2 R U2,F' U B2 F2 R F2 R U' B' D2 F2,R' B2 R F D F' D' L' D2 L2 D2 F' D2 L',L F L2 D2 R2 B R2 D2 L,37
L' B' R D' U F L' U L2 U' F' B2 D2 L' D' U B2 R2 L2 B L,x2,F D B2 R2 F,U L U2 R' U' R' U2 F D2 L,D' F' L' F D U R D L' D' L2 B' L' R',,29
R B U L U2 R U' L' R' F' L U F U' F2 L' R' B2 L2 F' U',x2,R U' B2 D,U2 R B' R2 B' U' L B2 U' F D2,L D F' D L D2 L' F' D' F2 U L' D' U' L',L2 U' B F' L2 B' F U' L2,39
R2 F2 D' B2 U L' U D' R2 F' R' D2 F2 L D2 U' L R' U B',x2,D' F D' B2,R' F2 L U2 R2 F U2 R D2 R2,R' F2 L' R2 D2 R2 F U F' L' F R' F D R2,L R' U L' U' L' R B L B',39
R' U2 F2 B' R' B F' D B' F' U' L2 R' U R2 L U2 B' L U2,x2,R F2 R F L2,U2 R2 B2 R U' B' L' D U' F2 L2,U' F2 D2 L' F2 U' B U' B' L R2 F U' R U2 L',,32
