scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,D' U2 B D U',L' B L2 D2 L B' U' B' F2 R2 D' F2,D B' D L D2 F2 D2 B D' R2 D' R F2,U2 L' B F' D' B' L' D' L D F L U2,R' F2 R D' B2 D R' F2 R D' B2 D,55
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,L2 B' U2 B2 U',L B F' R' B' L2 F' U B' F L F,F' D' F2 R B U' B' R' F2 D F,D' U' F L B L' B' U' L' U F' D U,,41
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,U' R' F L' B',U2 B' F R F2 R' B D R D' F U,D U2 R U B U' R' B' U B D' U,F2 R B R' F2 R B' R',R' F2 R D' B2 D R' F2 R D' B2 D,49
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,U B D2 F U L' U',L B' F2 R' F' U2 B2 R' F' D U' L,R' D B2 F' U' B' U2 B' F D' R',B' F D B' U2 B2 U2 B D' F R2 B F2,R' F2 R D' B2 D R' F2 R D' B2 D,55
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,F2 R B' D' B F',D L' F U' B R' F' L2 D' U',F' D' L D' B' U' L' U B L' D2 F,,,28
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R2 U' F' L',U R2 U B' U F' R' F R' D2 F' D2,U F R2 U R B R U' B R' B' F',L B F D' F' U2 F D B' R2 F' L',D' B2 D R' F2 R D' B2 D R' F2 R,52
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R B2 F' L R2 B,L2 R2 B' D2 U B' L B' F2 D R2 F,D2 B2 L D2 R B' R2 B F2 U2 F' R,D' B' R' U2 L F L' U2 R U' B D U,,43
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,F2 U' L' B D R,F2 U' R F D' U R D R U R' B' R2,L D2 L2 F2 L' F L' F L2 D F2 D L',R' D B2 D' U L' R2 U' R U L U',,44
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U R U2 B' R2,B' R' B2 F' U' B2 U' L' U L B2 R,F' L' D B D2 B' F L F' L' D L2 F,U2 R U2 R' U2 B2 R' B2 L U2 L',R' F2 R D' B2 D R' F2 R D' B2 D,53
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,R' U F' D' B F',L2 D' L U' R' F U' R D2 B U' L2,B2 L U' L' U' B2 D' F R F' D,D2 U2 L' D L U2 F2 U2 B L B' L' U2 F2 D,D' B2 D R' F2 R D' B2 D R' F2 R,56
