scramble,orientation,step_0,step_1,step_2,total_moves
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,L F U2 L' R B' F2 L2 F2 D,B L B' D L D L' B2 L2 D B2 L2 D2 B L2,F' D2 F D' U L' D2 L D U',35
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,F' L B L' B U2 L D2 R2,B' U' L2 B2 D B U' L2 D' U2 L D2 L2 D2 L,D2 R2 U2 B L2 U2 R2 F,32
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,R2 F' D2 F R2 B L F D2,D' B' L D' L' B R' B' L2 B2 L2 B R D B,B' L' F' D2 B D B D' B2 D2 B F L,37
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F' U' R' D' U' F2 L2 B2 L R',B D B' L U2 R2 D2 F R2 U2 L B L D',F' D2 F D' U L' D2 L D U',34
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,R' F2 U2 L' F L' R' B' D B2,R2 U2 F' U2 R' D2 R' D' B2 U' L' U B D2,L D L' D2 L2 D U B D' B' U' L2 D,37
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,B' U' B L D' L2 F U' B L',D2 L F2 U' B2 F D' R2 B2 D F D2 L' D' B',F' R2 U2 L2 B' U2 R2 D2,33
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U2 B' D2 U2 F2 U' B D F2 L2,L B D2 B2 D L2 B' L' B L' F L2 B2 F' D2,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,39
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,R' F2 D2 B F L2 D L D' U' R2,R' B L2 U2 B2 U2 B' U' B' U' B' U' L2 B R,D' L B F' D2 B' F L D,35
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D2 U2 R' D2 U R U' L2 F' R' B2,U' F' U2 R B' D2 U B U' L2 B' R' U' F2 D F',B' L' F' D2 B D B D' B2 D2 B F L,40
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,D2 B R2 F U' L' F L' F,R' B2 R D F' U2 L' F2 L U' R D' R' U' F D',B' L B F' D' B D B' F L',35
