scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' U2 B D' R2 L2 D' L2 B' F U2 B' D2 B2 D2 L2 D2 U B D B U,x2,B2 F' L2 R2 D' B' R2 U2,B L B' L U' L2 U' B U B',U' F U2 B' U F' L2 B2 L2 U B,B R' B' D2 B D2 L B' L' R D2 B',41
L2 R' B2 L D2 R' L' F B' R' B2 R D2 F D U' B' L R D2 U' R,x2,L' F2 L' U L F U' B2 D F,B2 L B2 U' B' R B L' R',D2 B D F2 R2 D' R2 F2 D' B' D2,D' L' U L D L' U' L,38
F2 L U F' U D2 R U2 F B R U' L U' L U' L R' U D R B F D B2,x2,L2 R' B' U R' U L' D2 B2 U,L U2 B U' B' U' L',F D2 R' D2 B2 D2 R' D2 B2 F',L2 B2 R' D R B2 R U R' U' L2 F2 U F2,41
D' R U2 L2 F' U R' F U F2 L2 R' B2 R' U R' L2 B2 F' D' F2 D F2,x2,B2 D' R D' U B2 U B' L' D' U',B2 L B2 L U2 R' U' R U L2,L' D' L' F' L2 B L2 F U2 L D L,L2 D2 R' U R D' R' D' U' L2 D R D',46
F L2 U2 L B U' R2 U F' R' L2 U2 R2 L F2 B' D' F' D' U',x2,F' D' L' B U2 R' D2 U L,L2 R' U2 R2 B' R' B L' U' L',B L R B' L R' U L2 B',R' D F' R F D2 B2 L B L' B D R,41
L' B2 U' D2 L2 B2 R B2 F2 D2 R' D L' R' U R' F B' L2 F D L B2,x2,D F U' R U' L' D' R2 F2,D' B2 D F2 R' U R U' F2,L U L' D' B' U' B' U B D,F2 D' F' D F2 U' B' F2 D B F' U' R2 U2,42
D R F D2 B2 D B D' F2 L2 F' R F' R2 B2 R2 U2 B F' D2,x2,U2 L2 F' U2 R D B D' L2 U,R' D' U' B' U B2 D B' R B,D2 U R2 B' R U2 R' B R2 D2 U',D2 B D2 R' D2 R2 F R' B' R F' R2 D2 R,45
U2 B2 R B F2 L' D2 L' U2 L2 D2 U2 L' F' L2 R' U' F' U' R' L' B2 F',x2,R F2 L' F' R D' B' F2 L',D B D R2 D2 R2 D B' D',D' B2 D L2 U L' B' U2 B L',B R F' L2 U2 F D2 R' D2 F' U2 F R' B' U2,43
D2 L2 F D2 B U L R B' D' R' D2 F' B U R U2 B' F2 U,x2,R' B R' U F U L' U R' D,B2 L U' B R' U L' R B2,L B2 L B' F U' B2 U B F' L2,B2 D2 U2 B' L2 F U B2 F' D F2 R2 B D2 U' F2,46
D2 L R' U F2 L' R F R2 L' D B' F2 D' R2 F' R U' F B L R' B R2,x2,B' U' B2 L2 D2 B' L' F2,L2 R' F R' F' R U2 R U' L2,B2 U' B2 U B2 L2 U' L' B' U2 B L',D2 R' D F2 R B' R D' R' D R' B F2 D' R D2,46
R2 B2 L' D F' U B' F R' D F' R' D F2 B2 R2 B2 F2 R D F L2 R',x2,D' B' U F D' L' B' R2 B2 D,B L U' R B U2 B U2 R' B' L',B' U' B2 R2 F2 L2 F2 R2 U B,U R2 U' L' F2 L2 D B2 D' L2 F2 L,43
U2 B F' L D B' L' R U2 D2 R2 L2 U' B F2 U R' D2 U2 R2,x2,R2 U B2 D2 B' D' U2 L R' B,L' D L D2 R' B2 R D,F D2 R' D2 B2 D2 R' D2 B2 F',L2 F2 U2 R U2 F' L' B' L2 F' L B D2,41
D2 B U L R' F U2 R F' R L2 U2 F B' R' B' U' B U' D',x2,D L B L D F L' R2 B,L2 R2 F U2 F' U L' U L' R2,L B' R B R' B U L' B' L U' L',D' L D' R2 D L' D' R2 D2,40
L2 F' R' B R' D' F D2 B U' L2 U L2 D F' U R2 D2 U' B' D2 R,x2,L2 F' R' U2 R2 D2 B D' B' U,L2 F R U2 R' F' L2,L' D' B U F U' B' F' D L,B L' U F2 U' F2 R U2 L' R' U L2 B' F2,41
F' B2 L B2 U B2 R' B R U' B' D L2 R D' B2 U R2 U F' R',x2,L2 B2 U R B' F2 U' L B,B' U' L' B' U' L U B' L B2 U,R' B R' D R' D2 R D' R B' R,D' U2 F2 U' R B F2 R' B' F2 R' D R2 U',45
R U D2 R B' R' U' R2 B2 U2 R L F' U F R' U' D' R' B',x2,R F' U2 R F' D F2 L R',B2 D2 B' U' B2 U B' D2 B2,B U B2 L2 B2 U L2 B F U2 F',D2 R2 B2 R B2 R2 B2 R B2 R' D2,40
D2 F2 R B' D' L' B2 F2 D L' R' F2 U' B' D2 F' U' B2 U' R2 B2,x2,U2 L' F R2 D R' F L2 U' L,R2 B L' F2 D2 F2 L B' R2,L R' F2 L2 F L2 F U L U' L2 R,B D B' D' B L B2 D B2 D' B' L' B',44
U2 R' D' F2 R2 L' B2 U B R2 D' U2 R' D2 R B D R L' B2 R',x2,F R2 D' B L' R' B' D' U L',L R' U B' U B L R U L2,D2 R' D U' B2 D' U R' D2,D2 U B' D2 F' D B D' F U2 B' D' B U,43
F R' F R F' R F L' R2 B2 L R2 B D2 B' D F L' U2 D2 B' U',x2,U' R' B2 R2 B R' B F' D',L U L R' U2 R U' L2,D' B' L2 U2 L' U2 B L2 D L,B F D' F' R2 B R2 D' R2 B R2 D2 B D' B2,42
B' R2 F D' U' F2 L' D' U' B L D2 B' U2 F D U2 R' F' L,x2,U' B' F2 L U' B2 D2 U' R2,L2 R' U R D' F U' F' D L2,B F2 U F U' F L2 U L F L B',R' B F' U F2 L' F L F' D F2 U' F D' B' R,47
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,D2 B F' U' R' B' D' L' R F',B' R2 U2 F D2 F' U2 R2 B,R D2 F2 U2 B2 U2 F2 R',B L2 F' U F U F' U2 F U L2 B',39
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,R' B U L' B2 L' B' R F2 L2,R2 B D' L2 F L2 D B' R2,L2 B' R' F2 R U F U B L2 F',B F2 R' F L B2 L B L2 F' R D2 B' F2,44
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,R' U2 B U' R2 B D' U R U2,L R B2 R' U2 L' B L U2 L' B2,D2 F' R' U2 F' D' F L U2 F D',R2 D B2 U' B D B2 U B2 D' B R2 D',45
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,B R' B2 L' U' L' B' D2 F,B2 L' R F2 D' F2 L R' B2,L2 U L2 D2 L R2 U' R2 U' L' D2,L2 D' U F' D2 R2 B2 F' R2 B F2 D' U',42
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,D R' D2 U' B' U' F' R U F2,B' U F D2 R2 D2 F' U' B,F U F L D F2 U' R' F' D' F,D R' D' L2 D2 L' D' R D L D2 L2,42
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,L2 F L B' U2 R F2 L',L2 F' R B L2 D2 B' R' F,L U B' L' B2 L B U' B' U' B L',D U' R2 D2 B R2 B' D2 R2 D' R D2 R' U,43
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,L' U R D' R B2 L2 R2 B' L2,L2 B' D' F U' R U R2 F' D B L2,D2 U B U' B' U' R B' R' B D2,D B2 F' U' F D' F' D U B2 D' F,45
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,F' R2 B' L B' U B F2 D2 L2,B' U B2 F' U2 L' U2 B2 F U' B,L' D B R' F' R B' D' L,B D2 B D U2 B D F2 D2 B D2 B' U2 F2,44
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,D F L2 D B2 R2 B U2 R D2,L2 R B' R' B L' B2 L' B2,L B2 L B' F U' B2 U B F' L2,B' D' R2 B D R' D' B' R2 B' D B R' B R,45
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,F L' R2 D2 L B2 D L' R2,F2 R B D' F L2 B' L2 F' R' F2,L U L' D' B' U' B' U B D,R B2 F' R F2 D F' D' R' D2 F D2 F' D2 B2 R',46
F' B D2 B U' D2 L R U2 R' L' U2 R' D' B D' U L2 D' L D2,x2,L R2 U' F' D B L' U' R F,R2 B D R' D' R D' B' R2,L2 F U' F' U L' B' U' B L',R' F L F' R F L' F',37
D R B2 L B2 U' L' U' D R U2 D2 B U2 D' B F' L' R D2,x2,B' R2 F2 U2 R F D2 U' L,R F2 L U B' U' B' L' F2 R' B2,D' R D' L2 R2 F L2 R2 D R' D,D' L' D R' D' L R U2 R' D R U2,43
R U F2 L' B' U2 L2 B2 R U' F' B2 D' F' L D R2 U2 D' F' B2,x2,B' L2 B' F2 L' R2 D' F2 L2 U',B2 U2 B' U2 B' U2 B2 U2 B,D' B R2 F D' R' F D F2 R' D B',D2 U B' D2 F' D B D' B' F D' B U',44
U2 B R2 B2 F L2 D2 L2 D F2 L2 D' B L' U D' L B L2 R2 F',x2,L2 R' U F2 D' L R B F2 D',D' L U L' R B' R' D,L' D' U2 F L' B L F' D U2 L,B' L R2 B R2 B2 R2 B R2 B L' B,41
U R' B R' U R B' F L D B2 L2 U F D R D' L F2 U2 D' F' L R',x2,R2 D' B2 L2 U' L B U R' B2,R2 D2 R D L U2 L' D' R' D2 R2,D U' B U L B' U' L' D' B,D' B D F2 D' B' D F2,39
U2 L R D' R2 B' L2 D2 B' D2 F2 D U' F2 B U D2 F' L2 B R F2 R2 F2 U',x2,L2 F L' R2 D B R2 D B2 U,L2 B L' U L B' L2,U R F' L B F' D' B' F2 R' U',U2 B R' D' R B' U2 B R' D R B',40
U' L U F2 R' B' R' U' R U2 D2 L' U' R D U' F R L2 F2,x2,D' U F2 L2 B' R' B U2 F R2,R' B2 F R D' R' B2 F' R,B2 U' B2 U L U B' U' B2 U' L',F L' D2 R U2 B2 R' D2 L U2 F,41
L' D2 B' F' D' F' L F2 R2 F B U2 L F L2 F' B U2 D' R F' U L2,x2,U' L2 B' R' F L' R' F2 D' L',D R' F2 L U' L2 R U2 L D',L2 U' L' U L U F' L F L,B L2 R B U L U2 L' U2 B' U' R' U2 L2 B',45
B D' L' R' F' U' D2 B2 R' U F' B' L2 B' F U D' B2 D' F2 D L R2,x2,L' R2 B' F L' U L B2 R2 B2,U' B' F R2 D2 R' D2 R' F' U B,B' F2 R2 D R F D F' D' R B F2,D' U B2 L' D' B2 D' B2 D2 L B D2 B D' U',48
R2 L B2 U D F B U2 B' U' D' F B' U2 R' D2 L2 B R' D,x2,U' L' B' F2 L' F R' F U' F,F R2 B D R2 B' R2 D' B' R2 F',D' L U2 R B2 R' B U2 L2 D L,R2 B U' B L2 B' D U' F2 U' F' D' U' B' R2,47
R' F2 L B2 D' L2 B2 R' L U D' B U D R2 U' F' B R' B R' F2 R',x2,F U B2 F' U R B' L2 R2 U',L B' D' F R2 F' D U' B L',F' U2 L U2 F2 D' U' B D U F',U' B2 D' L2 D L' D' L' D L' B2 U,43
B L R2 F' D' L' D' U' B D' U L D L B D2 R' F R2 L U' B R',x2,U' L' D U' L' F' D2 B F2 R2,B L' D' L' B U' B' L D2 L D',R2 B' L U R U' B L' R' B R',B F L B' D2 B D2 B' L' R D2 R' B' F',46
U2 L2 F' U2 D2 R B2 L' B R2 L B2 U F B L' D2 B' F D F2,x2,L' R2 F2 L U' R' B U2 F D2,L U' B U B2 U2 B2 L U' L2 B',L' D' B F2 D R2 D' B' F2 D L,B L' U2 L' R U L2 R2 D' F2 D R B',45
B2 F' L' D2 F2 L' B U2 B' U2 F L B2 U' B2 U R2 L' F' R2 D2 L2,x2,L B2 D R2 B2 D2 L' B L2,B' F D2 U R' D2 U' B F',D' B' U' R U B' U' R' B' U B2 D,B F2 L B2 L B L2 F' R D2 R' B' F',43
L' R' U' R' B2 D' U' F' U B U F' U D B2 U2 B' D' B2 F2,x2,L2 R D L2 U' L B R' F2,L R B2 R' U2 B U B U L' B2,F D2 L' B2 L' U2 B2 L D2 R2 F,B' U' L' B2 L2 B L2 B L D' U B' D B2,45
R F B D2 R' B L D B L' D L F' B' R2 L2 U' R F' L U L2 D',x2,B U2 L F' U' B D2 L2 R U,U' B' U2 R' B R' B' U' R' B R2,L2 U' L2 D' U' B' L' B' L U B' D,B D B' D' B L B2 D B2 D' B' L' B',46
F B2 R L' F L' R2 U2 B' D2 R2 D' L' D B' L' F L2 R' U F2,x2,B' D2 L' F' L2 D' U L' D2 U',L' F2 R D R' F2 L2 U L' B2,L' D' B D2 F2 D R' F' R2 F' D2 B' L,B2 L B' F2 D2 L U' L' D2 U F2 L' B',46
R D L2 F2 D2 U F D B' L R2 U2 B' U2 L F' B2 R' D R',x2,D' U2 R F U' L' D' L F' U,B L U B' U2 L' B U' B' U,U L D' U B' U B' D U' L U2,R2 U B' F D' B D2 B' D2 F' D B D' U' R2,46
L' D F' U2 L' D F2 B' R' D U B2 U D L2 B2 R2 F B' L' D R',x2,L2 F2 R' U' B' D2 B' U' B' R',B2 L B' L' B2 R B R',F D2 R D U' B' D U F',L2 U' R2 U F2 U' F R2 U L2 D B D B' D2,42
L U B' L' F' U L' F' U L' F D' R2 U F D' F2 L2 B R' F',x2,L F L2 U2 F L R2 F' D' B2,D' R' U R U' B2 D U R' U' R,R F2 U2 B2 L U2 F2 D2,D2 U B' D B U2 L2 D' R D L2 D2 R' D' U,44
F2 B2 D U R L' F2 D2 B U' F' U2 F2 U' L2 F2 R2 F R U2 F,x2,B' F L U B2 R' B R' U2 F',R B2 D B' D' B' R',D2 L U2 B U' B' U' L' D2,D' U F D F' U2 B' D B U R2 F' R2 F,40
U L2 U2 R L F' U R2 U D F L' F' U R' U' B R2 D2 F U' L2 F2 D F,x2,D' U' F R' U2 L2 R' D F' R',B2 L B U2 R U B U' L' R',L B' U B U L' U2 L2 U L2 U,D L' U' R2 B2 U' L D' R' U2 F2 R',43
U L2 B' U' D2 L2 R' U2 F2 L2 F2 B2 L' U' F R F' L2 U' B' L2 U F' D,x2,B2 U' F2 U' F' R B2 R2 D',B2 L B U' B2 L' U' B2 U B,F' D' U' B' D U' L U2 F,B R2 F2 L B L B' U L2 F2 R2 B' D,41
L' D U2 F D' R2 D2 L U L2 D' L' R' D' U R U2 R' L' U L2 B2 F2 R2,x2,D L' U2 B' F2 L R2 D' F' R2,F' R' U2 B' U2 R B F R,,U2 B D2 B' L' B R2 B' L U2 F D2 L2 F',33
B L' F2 R' F2 U B U' F' R D' F' B2 L' B F R' B' U2 L R U' F B2 D2,x2,B2 L2 R D' B2 F R B U2 R2,L R B2 L2 B R' B' L B2,D2 F2 U2 L' B2 U2 F2 R',R F' L F R' F' L' F,35
