scramble,orientation,step_0,step_1,step_2,step_3,total_moves
F2 B2 R F2 B2 D' B L U' R D2 L2 U2 D L2 R2 B' L2 D' L2 B',x2,F2 D' F2 L' D2 B2 F' L,U F' L' F' D' L' D L D2 F2 U',R U' L2 D F' D2 U B2 U2 R' D U2 B R',F' D B' F L2 B F' D F,42
D' R' F U' B' F' D' B2 D' U R2 D2 L F D B2 L' R F' L2 R2 U F,x2,F' U B2 F' U R',U2 R2 F' L' U2 B U2 B' L2 B' F,B U' B' L D R' U R D' L' U B',D B' F2 R U' R' B F2 D' B' L B,41
R2 F U L2 U' R U' B U2 B' D L' R2 U2 L B' F2 D' F2 L',x2,B D2 R2 U F L2 B',B D' L2 U2 R B' D' L2 R F R2,R2 B D L B2 F U' F' D' R' U' B U R',D U' B L' B' D' U R B R',42
R2 B F U R' U' L R U2 B' R U2 R' L' U R U' D2 B F' L' B2 F U' R,x2,L F L2 U2 L' R' D B',D' F2 D' B' U' R B F L F D2,U B R' U' R' B' U R2 B' U R2 U2 B2 R2,B' L' B U L B2 L' U' L U B2 U',45
U D' R F D L F' B U' L' D' F' D' F' B D' B' F R2 D' B2 U',x2,U' R D F D2 F' D,U2 L' F' L2 B' L2 F' R' B F2 U',F' U' B' R' F' D R B U' R D' U R2 B,B' L' F' D2 B D B D' B2 D2 B F L,45
L2 F' B U' D R U F R2 L D' B D' U2 F' U' R2 U' R' B F',x2,F2 L' F' L2 B2 L' U,F2 D' F2 U' B2 U' B2 U2,U L' B F D2 F' L U' R U B R2 B2,L F R2 B U R B' R F2 D L' F,40
U' R F2 R2 B F2 D' U' F2 U B D' B2 L' D2 L' F' R2 D' L D' F,x2,D L' F' R' B2 L2 R2 U',L D2 F' L' U2 F U2 F D2 U L',B2 U' R D L' D2 F R2 B' R B D B' U,U B2 U' L' U L B2 L' U' B' L B,45
B L U L2 U R2 F' L2 R' U' R D B R' B' U B F2 R2 U' R',x2,D U2 B D2 L2 R2 F2,F' U' L' D L' D2 U F2 U F',L' D' R' B R' B2 F' R' F' L2 B2 U' F2 L,F' D B' F L2 B2 D' L' F L B' F' L D,45
F L B' U2 L B R F' B2 U F2 R B L' U F2 B' D2 B U' D F' L' F2,x2,B' U F' R' B2 U' F' R2,F L U2 B' U' L R2 U' B F' D2,U2 B' R2 D' F' D F' U2 F R2 D B D' B,U2 R D' B' R' B2 R D B R' U2 L2,45
D' R' L' U2 D2 L2 R2 B' F' U2 B2 F' L D' B' U L R2 F L D2 L2 D F R,x2,D' L' F D2 U F2 R F,F' R F' D' F D2 F' D F R' F,F' L R U' F L D' L2 U B' L' D L R' F,L D B F' R' D' R B' F D',44
