scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,B' F' R' D,F L' R' F' U L R' F R2 U',F U R' U' L2 U R U' F',D2 R2 U2 L2 F' D F L2 D' U2 R2 D',F2 U' L' U L2 D' L U' L' D U L2 F2,48
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,D' F' R F D,L' B L' B' F2 D' L D L',D L D F' L2 D L2 F D' L' D',L B F' L' B' L B F' L' B' L F2 L',U R' F R' F' R2 U' R D B' D' R',50
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,F D L R D2 B,B U B D' R' D L B' U' L2 B',U' R U' F2 U F' L2 F2 L F R' U,U' L U' L' D' L D U2 L2 D' L D L2,R2 B U' B2 D B2 U B D' B2 U R2 U',55
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,B2 D' U' B,B' L' B2 U' L D2 R2 F2 D2 U B,R F L U L U' F' D' L' D R',U R2 F' U' L' D2 L D2 U F R2 U',F2 U' L' U L2 D' L U' L' D U L2 F2,51
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,F' U' L' D2,B2 L D2 L R' B U B R F2,F D L' B2 D' B2 L F' D',D' U' R B' F L' B L F' R' D U,,35
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F2 U L' D B,U L' B' U R2 U F2 D U B,D2 F' R' B R F D2 F L2 F',D' U' B' U L U' L' B L U L' D,R2 B U' B2 D B2 U B D' B2 U R2 U',50
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,R' B D R' B',U' F U2 B' U' B' L2 B2 L2,B2 U L B2 L' U' R D2 R' B2,L B2 U F' U2 B' U2 F D' R2 D U' L',U' R2 D2 B L' B' L D2 R2 D2 B' U B D2,51
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,U2 R B R B,D' L2 D' B D2 U2 F' U' L2 U' F,L' D L' B2 D2 B2 L D' L,D R2 D B' R2 B R2 U' B2 D U B' D,F2 U' L' U L2 D' L U' L' D U L2 F2,51
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,R2 U F2 R D2,D2 L2 F' R D R B' U2 R2 F',B2 R2 F L' D L D' L F' R2 B2,U' L' D' R F' D2 F L2 R' B2 L' B2 D U,L U' L' D' B2 U B U B' U2 B2 D U,53
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,L2 U' L' B F2 R',L2 U' B' F2 R D B R' F',F L' D B' U B D' U' L F',D2 B' R' B' R' B2 R2 D' F D2 B D2 F' D',B U2 B D B' U B D' U B U' B2 U,52
