scramble,orientation,step_0,step_1,step_2,step_3,total_moves
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,L' F2 R2 D',R2 U' B' U R' B2 U2 B' R F,R' U' L2 D2 R2 B D2 U' L' D F2 R' D' F R,F D2 U2 B' L' B D2 U2 F' R,39
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,L B F D R2,U2 F' D' F D2 L' D B L D2,F2 R F2 U F R' D B' D' R D2 L2 D2 U' F',R' F D2 U2 B' L B D2 U2 F',40
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D2 R B',F R' B2 U2 F' R' U R B,R2 F R' U' F D2 U' L' U2 L' D' R D' F2 R,F' D' F D B R2 F' R' F' R F2 R2 B',40
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,B D' R2,U B2 F' U2 B D R B2 D' R2,D B' D2 L' D U F D2 B2 D' R' B R2 B2 R2 D',B' L' F' D' F L B R D R',39
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,D2 R' B R2,B2 L U R' U B2 F R D2,F D2 B D' F' L' U L F R2 B' D' L F' L' F,F' D' U L F' L' D U' F R,39
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,F2 U' B' L' R2,L2 R' D' R' D F2 L2 B R B,F' D' L' D2 B2 F2 U B2 U' F' R2 F' D' R2 U,,30
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,U2 L F' D',U' F' D2 F D' L' D' U B,F' U R' U' F2 L' F2 L' B' F2 R' B L U F',D L R B2 R2 B' R B R B2 L' D' R',41
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,F' L' R2,U L F' D2 F' D F2 D U2 L',U R D2 B' L' B D2 R F2 R2 D B' D U' L D2,,29
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D R2 D F',B2 L F' L2 R2 B' L B2 F,U' R2 B2 F D U' L2 D B U2 B' U' B D2 F2,D L R B2 R2 B' R B R B2 L' D' R',41
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D U' F' L' U2,U2 R B' R2 U B' R U2 B,F' R F U' L B' F' D' U' B2 U L B F L' B2,R' F' D' U L F L' D U' F,40
