scramble,orientation,step_0,step_1,step_2,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' F' D B F L,R2 D F L R2 U' L' F2 D' L2 F' L',U2 F2 U' L' U L' F L' B L' B' F' L2 F2,32
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,D' U' L' F D,F' R B2 L' B F D' B F D R D',B U L' U B2 D2 F2 D2 B U B L B',30
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,D' F2 R' U2 B L2,R' B D F2 L' B' U' F R U L' R2,R U B' L2 B U' B U B F U2 B2 F' R',32
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,D L' U2 B' U L2,D U R' D2 F D R' F' D R' D' F2 U',R B U' L U L' F' L B' F U' R' U',32
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,D2 R U' L D2 B,U' F2 U B' D2 L D L' B2 U L2 B' U',L U F' D' L U L2 D L2 U2 F L2 U2 L U2,34
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,R2 D L2 F' L R,U' R2 B' R' D F' R' B R2 U2 R2 U' F,R B U2 B' R D B' D L2 B2 F' R2 U2 B' F2,34
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,R2 B2 L F' D2 B,F2 R B' F' R' D2 R2 F2 D2 L' F L B,B F' L' B' F L D2 R2 D U2 B' D' R2 D2 L,34
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,B' L' B2 D' B' R2,D2 B2 U2 L' R D' U' R2 B' D' U2 L U2 F,F' U L2 U2 L U' L F U F' L2 U' L2 U2 F,35
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,B2 L2 D' U B,L' D' B2 D' U2 B U' B R2 F2 U2 R' B2,U2 L' U' L D2 B2 U2 B' R B U2 B2 D' U' F D',34
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,D' B2 U R' F2 L,R2 B F2 L' B2 D' F R F2 R D B,R2 D R D2 F' R2 B2 U' L D L D' B2 R' U' F,34
