scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,L2 D U' F' L2 U' R B2,F' D B2 U' B2 F' R' F2 R,F2 D R' U' B' D2 B U2 F' R' D' R U' R' F2,B D2 B2 D' B D B D2 F' R' B' R F,45
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,B L2 B' U' F D R,L B L2 D2 L' D2 L2 B' L',L F2 D U2 L' D' U2 R2 B R2 B' R2 F2 L',D F L R' D' B' D L' R F',40
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F' D R' B2 F' U' R F',B' D2 L D' U' F U B D',B U R U2 L U2 R2 B' D2 B U' B D B2 D2,R F D2 F' L R' D B2 D' L',42
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,D' B2 R2 U L' U2 F2,U L' U L' R B' U2 L2 R' U',L2 B L' R B' R2 B' D R B' D B2 R' D' L',R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,46
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,B D R D' L2 U2 F R',F2 D B2 L' B2 L2 B' L2 D' F2,U B L' F' R U F U' F' U' L R B' F D2 U',R' B' R B F D2 B2 D' B D B D2 F',47
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D' B U2 R' F' D2 B2,D' L F2 D' R2 D F2 L' D,D2 U2 B2 L' D2 L' D L2 B' U B2 R2 B U R2 D2,R B D' U R2 D U' B R',41
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,F' R D' L2 F' R' B L,B2 R' B' L2 B R B2,D' F' D L' R F R' F' L D2 R' D R2 D2 F D',R F D2 F' L R' D B2 D' L',41
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B U2 B2 F' U2 L B2 U' L,R B2 F' U B2 F' R F2 R2,L' B' D2 F U' L F D2 U2 L F' U' L2 B' L2 F,R2 U B' F R D2 B2 D2 R' B F' U' R2 B2,48
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,L' R D B U' R2 F,B D' B' D2 B' D' L R' B' R,F2 R' D' F U F R' B U B' F2 D R' F' U' F',D B2 D' L' R F D2 F' L R',43
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,D U2 F' D2 F2 L' F,D F' D' L2 U F' L2 F L2,R' F2 L D2 B L R2 B U R B L U2 L F D,D F L R' D' B' D L' R F',42
