scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
U R' U2 B2 L2 U' F L R' F' B2 D' B F R' D' L2 B' U' F' D F2,x2,L' D B L2,D B' L2 U2 L2 B' D,L F R U' R' F' R2 U L D2 R2 D' L2,B' F' U2 L2 B2 D2 R' B F' U B2 D2 L2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,51
B' L2 B R' L' U2 F' D F B R2 B2 D U L R' F2 R B2 U,x2,U L' U2 F L2 F2,B R B2 D' B R',B F' R F2 R' F' U L B L U' L2 B' D',L R' F' L' F' L F R U L U' L',,38
L2 R2 F' U R' L2 D R2 F' R2 F2 D' B' U D F2 B' U R B' D2 F',x2,L2 D R' F L' D R,D2 B L U' B' L' D',B R U' B' U L U' R D' B R' U B' F',F' R U2 B F' L2 U' F2 U B' F R' F',,41
B' D B' F' U' D' R' U' R' D B' U2 R L' D2 R D' L R2 F2 B R,x2,R2 U' F' U B2 R F2,R B F L' F' R' D B',R' U2 B2 L U2 F' R F' R D' F' D' R F2,D F2 L2 B2 U' B2 L2 F2 D2,,38
F B2 D B L F' B' L' U' D' R' F2 R2 U2 R2 D' R F2 R' U,x2,D F2 L' D2 U2 R,R' D2 L B2 R2 B' L',D2 L' D2 U' B2 R2 U2 B2 R2 D B2 L' D' R2,U2 L2 U' L R' F L2 F L' R U,,38
L U' B2 D R' U L D2 F' L2 B2 L U' B2 D2 B' L' D2 B' D2 U2 R B2,x2,D2 B' L U2 R',R D2 R' D2,F2 R2 U2 B D' L2 B L B L U2 R2,L2 B2 U B' F R F2 D2 F2 R' B F' U' B2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,49
L2 B' L2 U2 F B2 U B F D' U2 L R2 B2 F D' B F L' D' L D,x2,B2 L F2 U' B2 D F,L2 R' U' R U2 L2,L' B' U B' F2 U2 B' R D' B R B2 F2 D',F2 U' L' R' F L' R U' L2 U F2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,52
F' B L' B D' L' D B2 D R' L' B' D R2 U2 D2 F2 B D' R' L' D F',x2,U B F D B' L2,R B D' F2 L' U2 B' L F2,B L B2 U B2 L F' L R F D L B',R' B F' U L D' L2 D U' B' F' R U',F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,55
F D' F D' R2 F2 U' L' U' L2 D2 B U2 F D' U R2 L' D R' B U,x2,F2 U F L' U' R',D B' R D' B R' B2,U2 L2 F' D B D2 L2 B' F R2 D' R2 D,B2 L F L F L2 B' U' F' U' L2 B' F U2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,54
R' D U' R2 D U R L B2 R' B F' U F' R' B' R2 U' B2 D U',x2,B' D U B2 L' U2,D' B2 F L' B2 F' D2,U' R2 U' L' D2 B L B' U B' R2 U B R2 B',U' L2 B2 R2 D' R2 B2 L2,F2 L2 D B F' R D2 F2 D2 R' B' F D' L2,50
