scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,R2 D' U2 L2 R' B' F' L' B' R2,L U' L2 R2 B R U B' U' L2 R U L',F' D B R F' R B' F2 D2 L D L' D',,36
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F U L2 F D2 L' D B' U R2,B2 U2 R F' U2 F2 U' R' F2 U2 F U2 B2,F R' F R' D' R2 B R' F' U' R U B' F',,37
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,U2 L2 B2 R' B2 F2 D2 U L2 F R',F' D' B D2 B R2 B' R D2 F2 R2 B' D2 F2,L2 B' F' L' B' L B' U2 F R' B' L2 R2,,38
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,B' L' F D' R' U F D2 B D',F2 D' U' L D' L' D U B' F2 L' B,F R' F R' D' R2 F D' F' R' D R F2,F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,49
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,B F2 U' L' D B2 U2 R2 D B' U2,L' F L R D U' F D' F2 U R' F' D',B F' D' R U' R D' R' U R' D B' D F,F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,52
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U' B' D' B2 L B R B2 F2 R',F' D B2 R2 B2 F L' F L' F' L',B' L' B' U2 F2 R B' R F' R B2 U2 B F',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,49
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F D2 B L2 D F' L R' U' R2 B2,U' F' L' R2 U2 L R2 D' L D L2 F L U,L2 B' F' L' B' L B' U2 F R' B' L2 R2,,38
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,U2 B2 F2 L' U2 F R2 D L2,B' L B' R' U' F U' F L' U2 L B2 L' D2,B' U L' U' B F' D' F2 U' B R B' U F',,37
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,U' F2 U B R2 B2 L' B R2 U2,D2 U' R F R2 B' D2 B R2 F R' D2 U,F' D2 R2 U R' D R U' R2 D' F' R' F D2 F,,38
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,L B2 U' L R' F R2 B L' D2,B' U' B2 U2 F2 U R' U B2 D' F D' U B,F' D' F L B R' D2 R D2 R D' B' D2 L' D',F2 D' B' F L' B2 U2 B2 L B F' D F2 R2,53
