scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L2 U' L' U2 L D2 R U L2 R' U' F2 L B2 D' R B' F2 L B2 U2 L D R,x2,B' U2 B2 D',F2 U' F2 L U F L',F2 D L U L' D B2 R' F U2 B2 D2 L',D U L U L F U F' U' L2 D' U',U2 R2 U2 B' D B' U B2 D' B D' R2 D U',50
L' U' L2 D' B2 D U B2 F D' B R' U2 F2 L D U2 R U2 F U2 F U2,x2,U2 L D R D2 B,B2 R F R2 F' R' B2,L' U' R' F D R F' L F2 U F2 U2 F U2,R2 B' D B2 L B U2 L' D2 U2 R D B2 R,B R F' R2 B U2 B' U2 R B' R2 F R2,54
L F R2 B' D F2 R' U2 F2 R B2 F' U L F' D B D' L U D' F' L' B,x2,B L D2 B D' L,D2 L U2 F2 L' D2,F R U2 R' F L' U R2 B2 L R2 U F',B' F U2 L' U R' U' L U2 R B U F',,38
R2 U2 B2 F' U' F2 B L' F' R F2 L2 F' B D2 F D2 U2 R2 D' R' F U',x2,R F D L' F',F' D U L2 D' F,U' L' B' D' B2 D B L2 F U L',L' B' U2 B2 L2 D L D' L B' U2 L U,L2 U R' U R U2 B2 D L D' B2 L2,47
D L' D' F2 R B L2 F U2 L' D F2 D' R2 D R2 U L B2 U' F D2 U2,x2,F' D' U' L' R2 D2,L2 F L' F2 L',D' B F2 L D2 L F R2 B' L2 U' F D',U2 B U' B U2 B' U' L' U' B' U L B' U2,U' L D2 F' D B R D' R' F D B' D U,52
D' L2 B' D' B' D U' F B' D B' R' B' D2 R' F' L2 R' U R',x2,R' D B D',U2 R B U' B2 R',U2 F2 L D R F L R' D' L2 F2 U2,F2 R' F D' R2 B L2 B' R2 D F' R F2 U2,R2 F' R2 F D' R2 B R2 B' D2 F D' F',49
B' U2 L R D2 R D L2 F' R' D' B U' F U2 D2 B' R' U2 B D R' F2,x2,F U L' D B2,L' D2 L B2 R B2 U2,U' L' F' D L2 F D' B' L2 B F U L,F R B' R' F' R' B U B U' B' R,U2 F U' B U F' U L' B' L B U2 B2 U' B,52
D B' R2 U' D2 R' B L2 F' U D B2 F2 R U' L' U L2 R2 D',x2,R2 B' L' B2 L',F2 L F U L' U F,D U L U B2 U' R U B2 U L' D' U',D L U2 L F U F' U' L2 D' U2,U2 R2 U' R2 U' B U B' D B' D' B U' B',50
L R' B F D2 R2 U' L' F U L2 U L B D' L' R2 B U2 F B L2 R',x2,B' U2 L2 D F R,B' U2 B L U L' U2,L2 U B' D L2 F L2 D' B U F2 U2 L2,B2 L' B D2 F' R F D2 B2 L B',R2 F' R2 F D' R2 B R2 B' D2 F D' F',50
F' B2 L2 D2 U R U2 R B' F' D2 L U2 B' F2 R' B' D R2 F2 R2 D2 R',x2,B2 D L2 U' B R D',L' R2 B D L R2 U',B F2 L D2 R' D2 F' L F' L2 B',D B' L F L' B L F' U' L' D' U,U' L D2 F' D B R D' R' F D B' D U,51
