scramble,orientation,step_0,step_1,step_2,total_moves
R' D' U2 B2 U2 B' L B' L2 F2 R2 D2 B' F2 L2 F' L D R F',x2,D2 U' R D F L2 F2 U R' B2,B F D' F' D' B R2 F' U B' R' F D' B',R2 B' F' R B2 U2 B2 R B F,34
L U' L2 D' U L D' L' U2 L U2 L' B2 R' F U2 D F' L2 U2 R L D' U' R,x2,L2 D' U L F' D' L D' U,B' U' B R2 B' L2 F2 L' R2 U F2 U' L' B2,R B F' U' L' U B' F R' U,33
U2 L B2 U' F' D' U R2 D R2 L F2 R' F L' B' U F' U L F2 R' L B2 R,x2,L' R2 U L B' L U' F D F2,U' R' F2 L D F L F L2 F' L2 R2 U' R',D' B U B2 U' L' B' U' L2 U L D,36
B2 D' B' D2 B' U' B2 F L' F2 R' F' B2 L' F2 R2 F' D2 U' L U' F2 R,x2,R2 F L2 U' L' R2 D2 L2 U R2,B' L B' R' B2 R' B R' B' U L F2 L2 B2 D2,B' F' R D2 R B' F D' B2 F2 R2 U' F2,38
L2 D2 U2 F2 R B L2 F' B2 U2 L2 U' B' L' B R2 D' R2 U' B,x2,B' U' F U' L2 F' U B2,U' F U' B' D R2 D' U2 B L F R2 B2 R2 U,D' R2 F2 U' B' F R U2 R' B F R2 B2,36
B2 L2 D2 F2 U' L2 U2 L' F' R' U L B2 U' F R U' B2 U2 D B',x2,B2 L' D' F U R' B' D F D2,R U2 R2 U2 B R' B' U2 L' D L' D2 R F2 L2,U' B2 R2 F2 D' F2 R2 B2,33
L2 R D U' B R U B2 F2 D2 F2 U' R L2 D' B D2 L' U R2,x2,D F' L2 U2 F2 R' F D2 B2 U2,F2 R2 D' L' R2 F R' F R F U' R2 D' R2 F,L2 F' D R' F D' L2 R2 U B' R U' B R2,39
R D2 R U L U' D2 L R' F2 U' F2 B' R' D2 F' D R F2 B2 U F',x2,D F U2 R2 B2 L' D' U2 R' D',F' U L U' B R2 B2 L' F2 U2 B D' F L2 D2,D' L' B' D U' L2 D' U B' L D,36
U2 B' F2 D' L R2 B' D U2 F2 U' D2 L' R F2 R2 U' F L B U' F' R2,x2,U' L D' R2 U' B' L2 B' D B2,R U B R D' B L2 R D R F2 U L' U' L',B' L D' U B2 D U' L B,34
B2 F2 U F2 L D' U F L2 B' F R U L F2 U B2 L D2 L' R' B2 F D,x2,D2 F U B' R2 F R' F U',D2 L U L U' B2 F2 U' B2 D U L' U' L F L2,U' R B F' U' L U B' F R',35
F L2 U2 F B' R L F' U B F2 U2 L B' R' B' U2 B' F U',x2,F' L2 R' D F2 R2 B U' B D2,L2 F' R' F2 L B L U2 R' B2 U2 B' R U,B2 D B' F L2 B F' D B2,33
F R B R U D R' B L R' B2 R U' D' R2 F B' R B2 U' R L B' D2 B',x2,U' L R U R' F2 D' B2 D' U2,R' D U2 B D' B' U2 F2 L' F2 R' B' R2,R B F' U' L' U B' F R' U,33
U' D2 L2 R2 F2 L U' D2 F B2 R2 U F' U2 F2 U' R D2 B' F' R' F2 R',x2,D U B' L2 D B U' L D' F',R U B R B L2 D L' R2 U2 L' F' U' F,B F2 U L U' L' F2 D' L' D L B',36
L R B2 L2 R D F' L' D2 L2 F R' L' F' R B' U2 D L2 U' R2 B2 D,x2,B' U2 L' F' R2 D2 B U F2 R',B' U F D B R' D2 U L2 D F R' U2 B,F U L' F' L2 R2 B L D' B' L2 R2,36
R B U2 B' R2 L B' R2 B2 D' U' R2 B2 D2 U R2 D' U2 B U,x2,B L' R' B' F2 U B U2 B L2,L2 R B' D' R B' D' R U2 L R B2 L' F2,F2 U R2 B2 F2 D B F' R' D2 R' B F,37
F2 U' F' D F2 R2 F L' R' F2 R B R D2 U' R2 L B2 L' F L' B2,x2,R2 U2 R D B' L R' D2 B2 D,R' F2 R2 U2 R B D2 R' U L2 B U2 R' F2 U,F2 U' B F' L2 B' F U' F2,34
R2 F U L R2 F D U2 F2 U' F2 R2 L B2 D2 F B D' R F2 R2 L2 B U',x2,F' R' U' B F U' B2 U F L',F2 R2 B F L F' D B' L' D' B2 R2 U' L2 U',B D' L' D B L D2 L' B' L B D2 B2,38
