scramble,orientation,step_0,step_1,step_2,step_3,total_moves
D U B' U B2 L2 F R2 L D' B' D R2 L B D2 U2 F D2 B2 U2 B2,x2,D' R2 B2 R' F2 R' B F U',B L' B' L F R B' R' F',B D2 F2 R B U' F U' F R B' D2 B' L,D L' B F' D2 B' F L' D',41
U' B' R B R' U F2 L D R' D' R2 L U2 L2 U' F2 D R2 D L' D',x2,D' B2 U' L D' B2 R2,B L2 R D R' D2 L2 B',B2 D U2 R2 U' R D' U2 F2 U B2,L D2 R' B' L' B L R D2 L2 D' L D,39
U' R' U' L2 F' L' U2 R' D' R' L F2 U' L R' U' L D R' F R2,x2,R' B L R' F2 D' R,U' R' B2 R U,B' U' R' D2 L D2 R F' U B U' F U,F L B D2 F' D' F' D F2 D2 B' F' L',38
D' U B L' B2 F R2 F' R B2 F2 L' F' L D' U B' D F B' L2 U L B,x2,D2 U B' D' F R' U2 L U',B D2 F' R' B' D2 F L,D' R2 B2 L' B' U2 L U2 R D B D2 R D2,L D2 R' B' L' B L R D2 L2 D' L D,44
D' F B R2 B L2 F2 U R B R L2 U L F L' U D2 L' B F',x2,L U' F2 D2 B F U B2,D B' D2 F' D' F D2 B,B D' B L R D2 F D' L D2 F' R' D2 B,F L B D2 F' D' F' D F2 D2 B' F' L',43
R D' L2 B L U2 D F B U2 D' F' D2 F2 R L2 U' L D' F',x2,D' R D' F D2 R F L',U L2 F' L D L' F L2 U',D' F' D' F D U L2 D2 U' L D L' D2 F2,L' B F' D F D' B' F L F',41
R2 L2 B U' D L D2 U' B F' U2 D B' D L D' L2 R2 D U,x2,U' F2 D F R D2 F L' R',U' L2 D' F D L D2 L U,B2 D L' D B' D' L U R' D' U F2 U2 B2,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,46
D B' U D L R2 D' U R2 B R2 D U' B L' R2 D' L' U2 F' R D' B F,x2,L2 U B F' L F2 L2 F L2,D' R2 D B' D B D' R2,D' R2 B' L2 B' L U2 L F' L2 F U2 B2 R2 D,D R F2 R' D' U F L2 F' U',42
R2 U2 D2 B2 F2 U F D' F' U D' L' D' R2 U2 B2 D R' F' D' B',x2,D L2 F D F' R B' R2 F,U' R2 D' B' R' B R' U F2 D,R' F' D2 B2 F2 L B' F' L2 D B L2 B' R D,F D2 R2 U2 B U2 R2 D2,42
F' U' R2 F D' R' L2 F' B' D' U2 R2 D F2 U B' D' F2 D' B D',x2,L D' F' L U2 R' B' D F2 R',D' F' D2 B' L2 B' U2 B2 D',D2 U' L' D F D' F L R' B D2 B' R D2 U,B' L2 D' U' B2 R' U2 R B2 D U L2 B L2,48
