scramble,orientation,step_0,step_1,step_2,step_3,total_moves
B' R2 L B' L' B' D2 U2 F2 B2 U2 D' R2 L U2 F' L' R U' F B',x2,D' L D' R B R2,B' R2 F' R D' B' R' B2 U2 L' F,B2 F' U R U F' L F U2 B' D' R F D2,F' R D R2 F R2 F' R' D' F R',42
L' R' U' B R B' L U L' R F R F L B U' L D2 R2 F' L2 R2,x2,B' R2 F' L' D',U B D' B D' F L' F D2 B2 U,F2 U' F2 L' B F' D U2 B' F D' L2 D R2,U R B L' U L U' B' R' F U' F',42
D U R B D' U' L2 F' L F' B' D' F' B2 U R U L2 R' B D R' L2,x2,B' R U F U',L' B2 R2 D F2 L2 B' L D' U B' U2,L B2 R2 F' U2 F L' R U' B L U R B2,D' F' D F' D' F2 L2 B' U' B L2 D,43
L2 R D' L2 D U B' R F L2 U F' U2 R' U' D2 F2 L' B2 R,x2,U L2 U' F R D,F2 L U' F U L' D2 L D2 F2,U L B F2 L2 D' L2 B R' D' R B2 F2 L',D' B U B U' B' F U' F R2 B' R2 F2 D,44
R B' D2 L2 B U' D' L2 B F2 L2 R U2 L' D2 B R D F' D,x2,D' L R' D' R2 B,D' U F D L' D2 L D2 U R' U2 R',R2 U' L' U B F' D B2 F' R F' D2 B F',F' R' D2 B' D2 R' D R B2 R2 B' R' D' F,46
R2 B F R2 F' R2 D2 U' B R2 D2 F' B2 D2 F' D' R2 D2 R2 L D' L',x2,R U F' D2 R2,B2 L B R U B R F' U F R,R F2 U' L D2 U' B2 F' U2 F D' F' D' R',L' U' R U L U' R' U,38
L R2 B U F' B R B F' D L2 B D U R2 U' L' D' R U2 F2 R D' L' U2,x2,U2 B U' B U',U R2 F U R F' R D F' D',B2 D2 F2 R' F R' D' R' B' D' B2 R B F,D' F U F' D F U' F',37
F2 B2 D2 F2 U' D R' D' L' R' F2 L' F' R' D' R L U' D' F L2 U B',x2,U L R B R2 B2,D' U' F D U2 B2 L B2 L' U',B L' U2 F' D' B2 F2 U B2 F' U2 L B',L F L2 B' U2 L U F U' L' B L F2,42
F2 U2 F R2 U' F D U' F D2 L2 R U D2 R' B2 U' F2 R D2 R' D2 U,x2,F2 D U F' U,D U' F' D2 L U F' L' B' D U L,B' D' F' D B' D2 B' D B R' D F D B2,F R' U' F2 U2 F U' F' U' F2 R U F',44
F2 U D B' D U R L2 D' B2 D' F' U2 L' U2 R F' L F2 B2 U' F',x2,F2 U' F R B',F L2 R D' F' D' B' R B2 D2 R U',D' R' B D2 U2 F' L' D U B2 U2 F2 U',L F2 U F' U' L2 U2 L U F U F2,42
