scramble,orientation,step_0,step_1,step_2,step_3,total_moves
L F2 U2 R2 L D' F' U' F' R' L F L2 B' F R' L' F R B' U' F2 L R2 F',x2,L2 F2 L2 U F2,R D2 L D2 F L2 D2 B U' F R B',F' R' D' F2 D F R U F2 U',F U' L2 R2 D B' D' L2 R2 U,37
F' R' L B2 U2 R D' R D' B' F' D' B2 D L F' L' D R D' L2 B R' U' D',x2,L D L U F',B2 L2 R' F2 L B' U2 R2 B' L' D2 L',B2 R2 D R D2 F D R B U' F U B,D2 B' F L' D2 L B F' D' R2 D',41
D L B' F D' U B' R2 B2 L F L2 U B2 R F2 U2 F2 R U,x2,B F D2 L D2 F',L U2 B D' U B' D R' U R2 D2 R',D F' L F' L B2 R' B2 L2 F L F2 L' D',R' B' D2 B D R B R2 B' D',42
U' D2 L B' U R B L' D' L' D R' U B2 R2 L' U D2 B2 U D2,x2,U B' U2 R B' F2,D2 F' D' F2 L2 F D' R2 D F2 R2,F D' B2 L U2 L2 B L' B D2 R D',U' L B' D2 R2 D2 B2 R2 D2 R2 B' L' U,42
B2 R U2 D2 B' F2 R' U2 L R' B' U2 R U' D2 L' B U2 R' L B2 U' L2 B',x2,F' R' F2 R' U',D' L D F' R' F' U2 R U' L2 B U',L' U' L2 D2 R F2 D2 B' L U2 B2 L2 U,D2 F L D2 L' D' F' L B2 R2 B2 L' D',43
D F2 U2 F B' U2 B D2 F2 R' U2 R' U' L' D2 L' U R2 D2 F B' U L' B2,x2,L2 R2 B' D',R D' B' F2 U2 B' R' U' L2 B2 F R,F' L2 B' L F L' R U' R' F U2 B,L' F L B2 F2 R' F' R B2 F2,38
D' R2 F' D U' R' D U' F L F U2 D' R2 F2 B' R' B' D2 F2 D2 L' R2 F',x2,U2 L B R B' L',L D' U' B' D F' R U B2 L R' B2,D2 B R' B U B' R B' D2 F L' F' L,B F' R2 F D R2 D' R' B' R' D2 R D',44
R F2 U2 R' B D' R2 U F2 R' U2 R' B R B U' D2 F L2 F D F' D L,x2,F2 L2 R' B' F2 R2,F D2 F' D2 U F' L2 B2 L2 U2 B' U,F' D F2 L2 F D B D2 B2 U2 B' U' B2,U' L2 R2 D B D' L2 R2 U F',41
B' F' D' L F2 R' L B F R' L2 D' L U2 R' F2 U' L' B2 U',x2,D L' B D' F',L2 F2 D F' D2 R2 B L2 D B2 F U2 L2,B' F L' B2 D2 F R' F' D2 B' D F D' F',U B' R U R B' F2 R2 B2 L' U' F' L',45
B2 F2 U' L2 D2 F L2 U2 R2 U' R F2 D L2 F' L' F' B R' F2 U2,x2,B2 D2 B' D2 R U',R B2 R2 B D2 L' D L' D' B L' D2,B' F U F L2 F' U F' U' L2 F2 L2 B L2,F D B R2 F' R' F' R F2 R2 B' F' D',45
