scramble,orientation,step_0,step_1,step_2,total_moves
L' U' F' U D2 F' D U R L' B D R' U F' R2 B2 L' U D' B2 F2 D' B2,x2,B2 D B' R2 F2 D2 L D L2,R2 F' R U R U' R' B2 F' L2 B2 F U' F,B' D2 B2 D U R D' R' U' B2 D B D,36
F R U2 D' F2 D2 F U R2 D' U' R B2 R2 D2 R2 B D' U L' F R' U' D2,x2,B2 R' D' B2 L' U B L B2 F' L,F2 D2 F' D' R' F D2 F2 D' F2 R D' F2 D2,B' U' F' L' F U B D L D',35
F L' F2 D' R' F B' L B2 U' L2 B' R2 L2 D F' R' D2 B2 U' L U D2,x2,L' F D2 R' U2 R' D2 U2 R',D' U2 L F2 R D F2 D R2 D2 R' F2 L' D U2,L' B D2 U2 F' R F D2 U2 B',34
F2 U2 R D' R' D R F2 B' D' L R' B' R' U' F' U2 R' B' L R',x2,U F R U R2 B R2 F2 R',B' U2 B2 F2 U B U' B' R' B' F D L2 F R,B D2 U2 F' R' F D2 U2 B' L,34
L2 U2 L2 F L' R' F D' F' R' D2 B2 D2 F' D' L' B2 R2 F' L',x2,U2 L' F R2 B' L2 U F L U2,F' U2 B2 F D B U' B U' L D' U2 R2 B R2,B D2 U2 F' R' F D2 U2 B' L,35
R2 D U' F2 B L2 B' D' L2 R F L' R' D2 B2 R2 D R' U L' U F',x2,L B2 R' F L B2 U2 B' L' F D',F' L D2 F2 D' R' D F' R F' D' L' U F U',L B' U' F' D' L' D F U B,36
D F2 U2 F2 B L2 D2 U R2 F R B L' B2 U2 D2 F2 R' B' R2 F2 R2 F' U',x2,F2 L F R2 F U R2 U' L' D,F' D B D' L2 F' R' F2 R F D F2 L2 F R B',B D2 F2 D' F D F D2 B' L' F' L F,39
U R L F U L2 U2 L R2 F2 R2 U2 F2 B2 R2 F2 R' U' L' F' D,x2,L' B F2 D' L2 B' D R2 F2 R,R U L U L2 D U' R' U2 R F L D' B2 U' R',D' B D2 U2 F' D F D2 U2 B',36
R2 D' F' R L2 F' R' U2 F D2 L R' F2 U2 L B' R2 B F' L' F L R2 U' B,x2,F2 D U2 F' R2 B' L U R' F',B2 R2 B2 F' D R2 B D F' U2 L2 R' F U2 F R2,B D2 U2 F' D' F D2 U2 B' D,36
R2 B2 R' B' L D' R2 U2 R2 U B' R U F L' U' D2 L' F L2,x2,B2 R' F' U' L2 B' U2 L' F2,D B R F' U2 L U R2 F R U' L' B' F R2,,24
L F' D2 B D' U2 R' F2 D U2 F R' B2 R' F2 R2 D2 U R U' L2 D2 F2 D2 U,x2,U B' U2 R2 B2 D B' L' R F,R F D2 F2 R2 B' F2 L' D B' L2 F U' B2 F2,B' D2 B2 D U R D' R' U' B2 D B D,38
R2 D R F L B' L2 R D U2 F' R D L' U2 B2 R2 F2 U2 L' R2 D' F2 B2 R,x2,D2 R' D2 F' U' F' D' B' L2 F,D R D U2 B' R2 F' D B U2 F D' U2 R' D',,25
B2 R2 B F R F R' F' U' D2 B' F' L2 R U' B' L2 R' D2 B' U2 F',x2,D' L2 F2 U2 R' B' L2 D F2 L2,F' L' R2 B2 F U' B U B L2 F' L' D' R2 F,L' B D2 U2 F' R F D2 U2 B',35
R2 B U' B' D L R D2 L U B' U R' F' L' F' U L' R2 B' U B U,x2,L' B2 U2 R2 D' L' R' U F L,R' D' F L2 B' L F2 L' B' R D L F' L U F2,D L' D' B' U' F' L F U B,36
U2 B2 R' F2 U2 L2 R U' F2 D2 U2 L' R2 F2 B2 R F2 R' B' R,x2,F2 L' B2 D' L2 B2 D L D2 F,D L2 R2 B D R D R' B' R2 D F L F' L2 D2,D' B D2 U2 F' D F D2 U2 B',36
L B2 U B' U' L B' R B2 U2 F U' B F2 D2 L' R B L2 D2 R B2,x2,B' D2 R' B L2 R U' B' L F',B2 F' R' U' L' U2 R U F2 L B2 L' F2 L' F,D L' D' B' U' F' L F U B,35
F2 U F2 D2 L' U' F' B' L D L2 B2 F2 R L D2 B R2 U' D' L U,x2,L U L U2 R U B' F' R' D2,B D2 B L D2 B' D L2 R' U2 L U B2 L F2 U,L D L' D2 L2 D U B D' B' U' L2 D,39
U L2 U D' R' D2 U F' D2 L B L B2 L' D L' D R' U2 F2 U' F',x2,L2 R' D' U' F' D' R' F2 D2,D' U F' L' U' L F2 D' R' F R D2 U' F' U F,B D2 U2 F' D' F D2 U2 B' D,35
