scramble,orientation,step_0,step_1,step_2,step_3,step_4,total_moves
L' U D2 R' L' F R2 F R2 F' D2 L2 D2 U2 L2 F2 U' B2 R' L' D' F2 U',x2,D' B D2 L' R2,D' B' R2 B D,L2 F' U B D2 B' U' F,B2 R D2 F L' B' L' B' L' F' R',U R' B F' U L U' B' F R U2,40
D' U2 B2 L2 B L2 B F' R L' U F2 B2 L2 U L U L' R' B2 R' D2,x2,F2 L' F2 L2 U,D R' B2 D' B D2 R2 B,D2 R2 B' R2 B R2 D2,B2 F' L D' B2 D' B' D2 R D R' F L2 B,U B2 R2 F2 D' F2 R2 B2 U2,43
F2 D2 L R B' F R2 F' B D2 U' L B' F' U' R2 B R2 F' B2 L',x2,F' D' U' L D' U,D2 F' D' L2 R' D U' L2 F',D F L' D B' L D' L F',L U' F' L' F' D F' U F D B R2 D2 F2,D2 B F' R' F2 R B' F D' F2 D',49
B2 F2 L2 U2 L' U' R2 U' F2 L F' R2 F' B L2 U L' D2 B2 L2 D',x2,F D' U2 L U2,B' F2 L F R' B U' F,L2 F R' U' B' U' B U' F',F2 R2 F' L' R2 U2 R' F L2 D2 L' D2 R,B2 F2 U' R B' U R' B2 F2 L D' B L' D,49
F R B2 L' B2 L' D' B2 U2 F' L' U R' L F B2 D' L B' L2 B2 D2 U R F',x2,B' U B' R2 D' F2,R F' D' R' D U' F,U2 B2 L F' D2 B2 F' R F2,L' F' L B' F2 U F' U2 B L2 D' B' D,U B2 R2 F2 D' F2 R2 B2 U2,44
L' F' L B2 R2 F' D2 R' D' B2 L F L' U D L' D2 L F R' D,x2,R2 D' F U' R',B' L2 R' B F D2 U F,F R' U2 R' U2 R F' U,L2 B U' B L' B2 L' D B D' L' D B' D',U R' B F' U L U' B' F R U2,46
B F R2 B2 U F B2 L' U D2 L' U R D2 R' U2 D' F B2 D2 B L' F' R2 L2,x2,U L' F' R2 U2,D' L B' L U L2 R2 D,L' F2 D R' D' R F2 L,B' U L' B L B U' L2 B' L2 F U2 B2 F',L' F' L B F D2 F2 D' F D F D2 B',48
B2 R' U' L F U' R U' L' B' L' R F2 B' R U' D L' B' R L D' L',x2,D' B2 D L D L,L' F L D B' D' B D',B2 F' D2 F L2 B' U L2 B',B R' F2 D2 B U B2 U' B' D L D F2 R B',U B2 R2 F2 D' F2 R2 B2 U2,47
L2 D L F B2 D B2 U F' L' U2 L' F R2 F2 R2 D' L2 U' R L' U R F2,x2,B F R' U' F2,B2 R D2 B' F L F2 U' F,U' L F2 R2 F2 L U' L2 U2,B2 L B' R' F' U F R U' B2 L B L2 B' L2,D F2 D B F' R' F2 R B' F D2,49
U2 D L' R2 U' R D2 F2 D' R2 D2 R2 U' R D' R' B R2 D F B D',x2,F' R B2 F D2 U,B2 D' B R B D,D' L R' U F' R U' L' D U2,D2 U' R' F2 R2 F R2 U F R2 F R U R2 D2,D2 B F' R' F2 R B' F D' F2 D',48
